id,name,position,league,team,season,gamesPlayed,timeOnIce,goals,assists,points,plusMinus,pim,ppGoals,ppAssists,ppPoints,ppTimeOnIce,shGoals,shAssists,shPoints,shTimeOnIce,gwg,faceoffs,faceoffWins,fights,fightWins,fightLosses,hits,giveaways,takeaways,shotsBlocked,shotsOnGoal,gameRating,offensiveGameRating,defensiveGameRating,advancedStats_PDO,advancedStats_GF60,advancedStats_GA60,advancedStats_SF60,advancedStats_SA60,advancedStats_CF,advancedStats_CA,advancedStats_CFPct,advancedStats_CFPctRel,advancedStats_FF,advancedStats_FA,advancedStats_FFPct,advancedStats_FFPctRel,pos,pos_broad
46,Gylfi Eriksson,LW,1,KEL,53,48,49508,14,15,29,5,17,3,1,4,9304,0,0,0,114,NA,NA,NA,1,0,1,95,10,11,44,111,64,67,58,100.6,3.9,3.2,31.3,27.6,671,575,53.9,-2.1,502,421,54.4,-1.7,Forward,Wing
47,Kalevolaripaavo Kaspertom,RW,1,KEL,53,49,43590,8,19,27,10,24,3,2,5,6106,0,0,0,84,NA,NA,NA,0,0,0,51,16,22,32,105,63,61,63,100.9,3,1.7,34.2,22.2,661,447,59.7,6.9,486,317,60.5,7.8,Forward,Wing
48,Theo Golury,LW,1,KEL,53,49,41784,13,5,18,1,20,1,2,3,3087,0,0,0,3984,NA,NA,NA,0,0,0,44,15,14,55,116,66,63,65,98.5,1.9,1.6,31.1,20.7,566,401,58.5,5.8,425,286,59.8,7,Forward,Wing
50,Andrey Barbashev II,RW,1,KEL,53,48,49666,16,21,37,1,26,3,9,12,9915,0,0,0,17,NA,NA,NA,0,0,0,57,17,10,22,140,64,64,62,99.8,3.6,3.4,31,28.2,659,572,53.5,-1.4,490,427,53.4,-1.8,Forward,Wing
51,Rocco Berni,C,1,KEL,53,49,52704,7,25,32,6,12,1,8,9,11581,0,0,0,496,NA,NA,NA,0,0,0,45,12,19,60,101,68,65,66,100.9,3.6,3,30,27,662,567,53.9,-1.8,496,414,54.5,-1,Forward,Center
52,Ethan Duncan,C,1,KEL,53,49,44429,2,11,13,2,33,1,2,3,3424,0,0,0,5436,NA,NA,NA,0,0,0,42,10,18,34,65,63,58,63,99,2,1.7,30,22.2,576,421,57.8,3.9,428,302,58.6,4.7,Forward,Center
54,Ebenezer Virtanen,LD,1,KEL,53,48,55152,8,6,14,4,19,1,0,1,3713,0,0,0,4964,NA,NA,NA,1,0,1,42,18,10,35,86,70,56,81,99.5,2.7,2.4,31.3,26.3,765,608,55.7,1.1,557,452,55.2,-0.2,Defense,Defense
55,Morgan Forestier,C,1,KEL,53,49,47212,7,20,27,9,10,1,5,6,4960,0,0,0,3827,NA,NA,NA,0,0,0,40,10,11,48,85,62,63,59,100.3,2.9,1.9,34.3,23,683,469,59.3,6.2,500,345,59.2,5.8,Forward,Center
57,Luke Spinelli,RW,1,VAN,53,41,38715,8,10,18,-23,26,0,1,1,2686,0,0,0,1223,NA,NA,NA,0,0,0,19,11,6,25,81,54,58,50,95.4,1.7,4,24.1,35.2,442,606,42.2,-2.3,304,458,39.9,-4.3,Forward,Wing
59,Jaska Seppala,LW,1,KEL,53,49,48404,23,16,39,8,10,6,5,11,10119,0,0,0,118,NA,NA,NA,0,0,0,47,24,9,41,153,63,64,61,100.4,2.9,2.1,32.8,24.5,659,496,57.1,3.4,475,357,57.1,3,Forward,Wing
62,Chris Goodname,RD,1,KEL,53,4,4087,0,0,0,-3,4,0,0,0,0,0,0,0,220,NA,NA,NA,0,0,0,1,1,1,3,2,49,47,51,90.4,0.9,3.7,17.7,25.1,46,58,44.2,-10.9,35,41,46.1,-9.5,Defense,Defense
73,Simon Moreau,RD,1,MET,53,50,49005,2,12,14,-2,18,0,0,0,10,0,1,1,3125,NA,NA,NA,0,0,0,50,14,27,47,60,59,52,64,100.3,2.4,2.6,28.9,33,702,787,47.1,3,522,588,47,2.6,Defense,Defense
75,Alexader Kazur II,RD,1,KEL,53,9,9697,0,0,0,2,2,0,0,0,72,0,0,0,482,NA,NA,NA,0,0,0,12,4,0,1,8,52,47,57,101,2.4,1.6,26.4,19.7,131,98,57.2,-6,99,72,57.9,-4.2,Defense,Defense
79,Valentin Kalashnikov,RD,1,MET,53,50,70029,9,14,23,-13,82,2,3,5,9478,0,1,1,7870,NA,NA,NA,4,1,3,166,20,27,85,76,58,51,65,99,2.2,3.1,25.1,32.5,728,936,43.8,-2.1,518,693,42.8,-3.8,Defense,Defense
80,Marty Sertich,RW,1,MET,53,50,44686,6,13,19,-7,6,0,1,1,2963,0,0,0,343,NA,NA,NA,0,0,0,37,31,9,43,81,59,61,59,100.7,2.2,2.7,24.6,33.1,555,732,43.1,-2.7,394,541,42.1,-4.2,Forward,Wing
81,Lucas Hellquist,LW,1,MET,53,50,45554,7,7,14,-11,26,2,0,2,3773,0,0,0,198,NA,NA,NA,0,0,0,33,17,6,45,75,56,59,52,99.2,2.1,2.9,26.5,34,617,763,44.7,-0.5,453,546,45.3,0.1,Forward,Wing
82,Partario Scarangella,RW,1,MET,53,50,29043,4,8,12,-8,10,0,0,0,74,0,1,1,5443,NA,NA,NA,0,0,0,31,10,12,34,42,56,53,58,95.9,2.3,3.7,26.2,28.5,318,379,45.6,0.6,235,267,46.8,1.8,Forward,Wing
83,Indigo Trevino,LW,1,STL,53,53,50009,15,15,30,-12,8,4,4,8,7722,0,0,0,0,NA,NA,NA,0,0,0,27,28,6,26,126,58,60,55,96.8,2.4,3.3,31.1,30.6,653,662,49.7,1.5,500,490,50.5,2.3,Forward,Wing
84,Thicc Cheezy,RW,1,MET,53,50,58122,5,13,18,-14,22,1,6,7,10349,0,0,0,4480,NA,NA,NA,0,0,0,41,19,28,108,127,69,62,73,96.9,1.8,3.1,29.8,33.2,657,732,47.3,3.1,491,542,47.5,3.3,Forward,Wing
85,Al Kayhall,LW,1,MET,53,50,57113,11,15,26,-7,34,5,6,11,9836,0,0,0,6603,NA,NA,NA,0,0,0,49,23,32,69,130,70,65,72,98.9,1.9,2.7,28.1,33.3,617,729,45.8,1,460,531,46.4,1.6,Forward,Wing
87,PeaKay Soupcan,C,1,MET,53,44,24069,7,5,12,-4,28,0,0,0,181,0,0,0,2056,NA,NA,NA,0,0,0,28,10,5,26,45,56,55,55,98,2.5,3.1,27,28,298,334,47.2,2.7,221,241,47.8,3.4,Forward,Center
90,Julien Villeneuve ,RW,1,MET,53,23,24663,7,7,14,-6,8,4,4,8,4799,0,0,0,162,NA,NA,NA,0,0,0,21,8,5,27,53,61,60,62,100,1.8,2.9,22.5,35.8,270,372,42.1,-2.1,193,269,41.8,-2.4,Forward,Wing
91,Terrence Smith,RD,1,COL,53,1,894,0,0,0,1,0,0,0,0,0,0,0,0,29,NA,NA,NA,0,0,0,0,0,0,0,1,63,54,70,116.7,4.2,0,25,12.5,12,7,63.2,15.3,10,5,66.7,25.5,Defense,Defense
93,Alexander Roach,C,1,MET,53,50,50123,4,12,16,-9,14,1,1,2,4167,0,1,1,4751,NA,NA,NA,0,0,0,29,24,12,52,100,60,60,58,99.5,2.1,2.9,26.9,34.9,613,780,44,-1.5,452,557,44.8,-0.6,Forward,Center
103,Sven Yxskaft,LD,1,VAN,53,50,76899,5,19,24,-17,28,3,4,7,8671,0,0,0,10738,NA,NA,NA,0,0,0,92,29,29,77,116,72,57,84,98.4,2.1,3.1,24.7,29.9,764,908,45.7,2.7,552,668,45.2,3.3,Defense,Defense
112,William Hartmann,LW,1,VAN,53,50,59806,13,14,27,-17,20,4,5,9,8649,0,0,0,4411,NA,NA,NA,0,0,0,72,19,9,22,122,64,64,62,97.3,2.1,3.2,26.7,30.7,638,751,45.9,2.8,460,552,45.5,3.3,Forward,Wing
114,Marcus Ohlsson,C,1,VAN,53,50,56945,8,19,27,-23,56,4,4,8,7690,0,0,0,4991,NA,NA,NA,0,0,0,38,17,11,80,95,68,65,68,96.8,2,3.7,25.1,33.2,590,733,44.6,0.8,419,546,43.4,0.3,Forward,Center
115,Jason Desrouleaux,RW,1,VAN,53,13,6265,1,2,3,-5,2,1,0,1,61,0,0,0,582,NA,NA,NA,0,0,0,4,4,0,5,5,52,53,49,93.1,0.6,3.8,10.9,30.1,38,108,26,-8.2,26,80,24.5,-8.2,Forward,Wing
117,Kolja Kekkonen,LD,1,DET,53,3,3394,0,1,1,-1,0,0,1,1,466,0,0,0,0,NA,NA,NA,0,0,0,2,2,1,0,7,62,57,66,84.8,1.2,2.5,41.8,13.5,67,25,72.8,-3,48,18,72.7,-4.8,Defense,Defense
118,Stracimir Petrovic,C,1,VAN,53,50,65931,11,24,35,-5,40,2,10,12,8594,0,0,0,8427,NA,NA,NA,0,0,0,40,15,32,115,137,73,69,73,99.9,2.3,2.6,26.1,29,682,775,46.8,4.2,496,559,47,5.7,Forward,Center
119,Austin Powers,C,1,VAN,53,50,32591,3,6,9,-7,8,0,0,0,82,0,0,0,649,NA,NA,NA,0,0,0,22,6,12,49,60,59,56,59,98.8,1.6,2.4,24.2,30.8,408,511,44.4,0.5,296,386,43.4,0.3,Forward,Center
121,Lligma Broomstick,C,1,VAN,53,50,30761,4,7,11,2,16,1,0,1,2910,0,1,1,4907,NA,NA,NA,0,0,0,30,14,15,36,33,57,55,58,105.7,2.5,2.2,20.2,32.8,245,429,36.4,-9.1,174,317,35.4,-9.2,Forward,Center
124,Mats Marner,C,1,NL,53,44,26467,7,9,16,8,0,1,0,1,754,0,1,1,2525,NA,NA,NA,0,0,0,41,13,15,49,27,57,56,57,106.8,3.6,2.5,24.4,31.7,286,381,42.9,-1.5,214,278,43.5,-0.1,Forward,Center
125,Francois Breton,LW,1,VAN,53,50,64759,19,9,28,-5,28,3,4,7,8590,1,0,1,7881,NA,NA,NA,0,0,0,33,18,16,33,145,64,63,64,98.9,2.5,2.8,28.2,28.1,699,748,48.3,6.4,515,542,48.7,8.3,Forward,Wing
126,Jacob Rizzo,RW,1,VAN,53,37,23668,5,4,9,4,10,0,1,1,2428,0,0,0,4115,NA,NA,NA,0,0,0,13,13,2,21,39,53,53,53,105.4,3.2,2.3,24.4,30.9,214,307,41.1,-7.8,151,224,40.3,-8,Forward,Wing
129,Nicholas Corrigan,RW,1,VAN,53,50,52969,6,14,20,1,39,0,0,0,3451,0,0,0,2137,NA,NA,NA,1,0,1,40,19,18,44,78,62,59,62,101.1,2.7,2.6,26.8,29.2,669,756,46.9,4.4,487,548,47.1,5.7,Forward,Wing
131,Alexander Oscarsson,RW,1,MET,53,12,4435,1,0,1,-2,0,0,0,0,41,0,0,0,0,NA,NA,NA,0,0,0,1,2,4,4,2,51,51,50,93.8,0.8,2.5,18,22.9,49,66,42.6,-7.8,34,43,44.2,-6.8,Forward,Wing
142,Jukka Timonen,RD,1,NL,53,50,80080,7,21,28,11,26,0,6,6,10089,0,1,1,8116,NA,NA,NA,0,0,0,41,44,42,94,155,68,58,75,102.8,2.8,2.2,28.9,31.3,900,999,47.4,3.8,660,736,47.3,4.4,Defense,Defense
143,Rikard Bjerg,LD,1,MET,53,12,12380,1,2,3,-1,6,0,1,1,91,0,0,0,1273,NA,NA,NA,0,0,0,14,8,1,6,18,56,49,61,99.4,2,2.3,28.1,30.4,167,175,48.8,-1.1,129,129,50,-0.5,Defense,Defense
145,Johnny Shuffleboard,RD,1,VAN,53,13,11517,0,0,0,-11,20,0,0,0,11,0,0,0,232,NA,NA,NA,0,0,0,42,4,2,6,6,52,52,53,92.7,0.3,3.8,14.4,40.2,94,226,29.4,-5.3,59,176,25.1,-9.3,Defense,Defense
148,Steve Harrington,LW,1,NL,53,50,60102,11,15,26,-9,42,3,3,6,10347,0,0,0,120,NA,NA,NA,0,0,0,33,13,18,56,100,65,67,61,99.8,2,2.5,27.3,33.1,721,859,45.6,0.7,527,631,45.5,1.2,Forward,Wing
150,SLATT Potts,RW,1,NL,53,50,65645,20,14,34,-7,39,4,5,9,10446,0,0,0,5782,NA,NA,NA,0,0,0,53,19,35,53,177,69,65,70,100.1,2.3,2.6,28,33,729,860,45.9,1.1,536,626,46.1,2.2,Forward,Wing
151,Patricia Reichardt,LW,1,CAR,53,46,37368,2,13,15,-19,6,0,3,3,4226,0,0,0,775,NA,NA,NA,0,0,0,16,13,8,24,45,56,57,55,97.6,1.6,3.7,21.1,37.7,354,610,36.7,-2.4,257,452,36.2,-3.1,Forward,Wing
152,James LeBlond,LD,1,ANA,53,50,56219,3,15,18,-2,24,0,3,3,4840,0,0,0,3360,NA,NA,NA,0,0,0,66,30,12,32,84,56,50,62,100.4,2.8,2.8,27.2,29.2,658,748,46.8,-7.3,489,544,47.3,-6.5,Defense,Defense
154,Patric Twist,LW,1,NL,53,50,45530,8,16,24,13,10,1,3,4,2158,0,0,0,2823,NA,NA,NA,0,0,0,65,20,19,61,78,61,61,59,104.7,2.9,1.7,28,29.2,571,597,48.9,5,423,448,48.6,5.2,Forward,Wing
157,Mack Daddy,C,1,COL,53,9,5313,0,0,0,1,2,0,0,0,5,0,0,0,216,NA,NA,NA,0,0,0,6,4,0,3,3,52,50,51,101.9,0.7,0.7,17,31.8,51,82,38.3,-10.4,39,58,40.2,-6,Forward,Center
159,Ryuuji Minamino,RW,1,NL,53,50,55463,17,19,36,5,30,7,6,13,10337,0,0,0,2208,NA,NA,NA,0,0,0,46,26,16,24,126,65,63,65,103.2,2.9,2.2,26.7,29,588,663,47,2.5,422,495,46,1.8,Forward,Wing
160,(Clean) Andrei Kostitsyn,RW,1,NL,53,50,36403,5,8,13,-7,45,0,1,1,2919,0,0,0,1627,NA,NA,NA,1,0,1,82,11,7,36,60,57,58,54,100.3,2,2.7,23.1,31.6,407,551,42.5,-3.4,286,400,41.7,-3.8,Forward,Wing
161,Mattias Birdstrom,LW,1,NL,53,50,38185,3,11,14,6,23,1,2,3,3273,0,0,0,2812,NA,NA,NA,0,0,0,23,9,12,24,33,55,56,53,105.2,2.8,2.1,24.4,34.2,419,580,41.9,-4.2,296,443,40.1,-6,Forward,Wing
169,Andreas Stacks,RD,1,ANA,53,50,47893,3,6,9,-14,18,0,0,0,54,1,0,1,5262,NA,NA,NA,0,0,0,84,17,11,61,47,53,50,55,96,1.9,3.2,28.3,29.5,638,627,50.4,-1.9,467,467,50,-2.5,Defense,Defense
174,Alex Petrenko,LD,1,ANA,53,50,76181,6,26,32,11,22,2,7,9,9739,0,0,0,6426,NA,NA,NA,0,0,0,68,18,34,71,123,71,54,84,100.1,3.1,2.3,31.6,23.8,983,728,57.5,9.3,718,536,57.3,8.9,Defense,Defense
177,Taylor Johansson,C,1,ANA,53,50,52834,1,20,21,-4,16,0,7,7,5072,0,0,0,4737,NA,NA,NA,0,0,0,33,14,12,29,70,64,61,64,98,2.4,2.8,28.4,26.3,672,574,53.9,3,486,423,53.5,2.3,Forward,Center
178,Elias Kierkegaard,LD,1,NL,53,50,40521,2,15,17,11,18,0,0,0,409,1,0,1,5287,NA,NA,NA,0,0,0,26,30,15,35,50,58,53,62,106.7,3.4,2.4,25,34.1,452,610,42.6,-3.4,330,467,41.4,-4.3,Defense,Defense
180,John Forfeit,RW,1,ANA,53,50,48734,7,10,17,-1,24,1,3,4,4970,0,0,0,6050,NA,NA,NA,0,0,0,31,14,14,33,64,54,53,54,99.1,3,3.1,30.5,28.7,557,537,50.9,-1.2,418,400,51.1,-0.9,Forward,Wing
181,Ethan Price,LW,1,ANA,53,50,59680,21,20,41,2,26,4,4,8,9236,0,1,1,2671,NA,NA,NA,0,0,0,36,32,13,31,150,61,65,57,100.2,2.7,2.5,29.7,27.7,731,705,50.9,-1.3,534,513,51,-1.2,Forward,Wing
185,Rhys Pritchard,RW,1,ANA,53,50,51596,13,14,27,1,20,4,1,5,5100,0,0,0,161,NA,NA,NA,0,0,0,34,11,29,93,125,63,64,61,99.8,2.6,2.6,30.1,28.5,717,701,50.6,-1.8,528,509,50.9,-1.3,Forward,Wing
186,Bale,RW,1,ANA,53,50,53696,20,13,33,-7,8,6,7,13,9461,0,0,0,44,NA,NA,NA,0,0,0,23,35,10,33,166,60,61,58,97.9,2.5,2.9,28.7,26.1,680,570,54.4,3.6,497,430,53.6,2.5,Forward,Wing
192,C.T. Carragher,C,1,ANA,53,50,62668,12,24,36,0,18,6,7,13,9284,0,0,0,5883,NA,NA,NA,0,0,0,32,18,21,35,124,70,64,71,100.1,2.7,2.6,29.9,28.6,727,704,50.8,-1.5,535,521,50.7,-1.7,Forward,Center
193,Pooks Halloway,RW,1,ANA,53,50,28829,4,5,9,1,14,0,0,0,173,0,0,0,5317,NA,NA,NA,0,0,0,21,16,8,61,53,58,57,60,99.7,2.6,2.5,27.8,25.3,323,312,50.9,-1.1,248,229,52,0.2,Forward,Wing
196,Ziggy Tambo,LW,1,ANA,53,50,47580,13,11,24,-6,12,2,1,3,4757,0,0,0,0,NA,NA,NA,0,0,0,26,15,12,43,107,58,61,53,97.6,2.4,2.9,28.8,26.3,675,568,54.3,3.5,492,419,54,3.1,Forward,Wing
197,Rikard Hammarberg,C,1,ANA,53,50,41998,11,18,29,-2,34,0,0,0,330,0,1,1,2718,NA,NA,NA,0,0,0,25,18,9,24,90,60,60,57,98.3,3,3.1,30.3,27.5,570,536,51.5,-0.3,425,397,51.7,-0.1,Forward,Center
208,Bradley Barkov,RD,1,COL,53,50,71962,6,21,27,-9,26,3,8,11,10400,0,1,1,7399,NA,NA,NA,0,0,0,31,42,19,69,116,62,58,64,99.6,1.9,2.5,24.4,30.6,703,870,44.7,-0.2,510,629,44.8,0.1,Defense,Defense
209,Bryce Turner,LD,1,COL,53,50,64484,15,24,39,-12,30,8,11,19,7877,1,0,1,3961,NA,NA,NA,0,0,0,95,50,24,68,113,63,57,68,100,2.3,3,24.5,31.6,675,833,44.8,-0.1,515,638,44.7,-0.1,Defense,Defense
210,Anrijs Asts,RD,1,COL,53,49,49984,7,10,17,-10,28,0,0,0,158,0,0,0,5064,NA,NA,NA,0,0,0,68,22,9,32,48,53,48,58,98.3,2.5,3.4,25.6,29.6,604,699,46.4,1.8,433,519,45.5,0.8,Defense,Defense
213,Hariken Urawa,RW,1,COL,53,50,47741,8,24,32,1,16,4,4,8,6054,0,0,0,71,NA,NA,NA,0,0,0,32,31,5,39,124,63,64,64,102.6,2.9,2.8,25.7,31.2,545,703,43.7,-1.6,398,506,44,-1,Forward,Wing
215,Sven Svenson,LW,1,COL,53,50,55825,18,15,33,-4,14,6,6,12,9609,1,0,1,130,NA,NA,NA,0,0,0,40,30,16,45,135,63,63,63,101.2,2.5,2.7,24.9,31.1,596,736,44.7,-0.1,447,547,45,0.4,Forward,Wing
217,Ragnar Skallargrimson,LW,1,COL,53,49,38487,4,10,14,-15,16,0,0,0,0,0,0,0,3367,NA,NA,NA,0,0,0,29,25,9,28,60,56,56,54,98.9,2.2,3.7,21.6,33.3,412,573,41.8,-3.7,288,434,39.9,-6.2,Forward,Wing
218,Tomas Grygera,C,1,COL,53,41,26365,3,6,9,5,16,0,0,0,232,0,0,0,1135,NA,NA,NA,0,0,0,20,10,12,18,39,61,58,61,103.4,2.2,1.4,24,25.8,355,352,50.2,7.3,258,264,49.4,5.9,Forward,Center
220,Henrik Lundqvist Jr.,C,1,DET,53,50,47640,6,19,25,2,16,0,3,3,6976,1,0,1,3407,NA,NA,NA,0,0,0,46,10,19,81,81,64,62,63,102.4,3.1,2.8,27.4,31.5,509,606,45.7,-5.6,375,445,45.7,-5.1,Forward,Center
221,Simothy Drunkebird,C,1,COL,53,50,59994,18,18,36,-9,47,3,7,10,6110,1,1,2,6812,NA,NA,NA,1,0,1,85,11,23,46,119,70,67,68,98.8,2.1,2.8,25.4,29.4,617,734,45.7,1.3,466,546,46,1.9,Forward,Center
225,Chris Cerullo,C,1,COL,53,49,37909,5,8,13,-12,10,1,0,1,74,0,0,0,2857,NA,NA,NA,0,0,0,35,10,14,26,57,58,58,56,98,2.2,3.4,25.1,32.1,463,563,45.1,0.4,347,425,44.9,0.3,Forward,Center
226,Hiroshi Ohira,RW,1,COL,53,50,54619,4,12,16,-17,17,3,3,6,8165,0,0,0,2257,NA,NA,NA,0,0,0,34,25,19,82,85,64,62,64,97,1.7,2.9,25.7,30.4,583,693,45.7,1.3,443,515,46.2,2.2,Forward,Wing
230,Walito Gretzky,LW,1,VAN,53,15,10371,0,3,3,0,4,0,0,0,11,0,0,0,130,NA,NA,NA,0,0,0,3,7,0,12,6,53,51,53,102.7,1.4,1.4,19.4,30.6,100,170,37,2.3,69,125,35.6,2.1,Forward,Wing
235,Magnus Liljestrom,LD,1,DET,53,50,65810,6,14,20,33,12,0,2,2,3226,0,1,1,7122,NA,NA,NA,0,0,0,25,36,23,50,116,61,54,66,100.4,3.9,1.9,39.5,19.8,1136,567,66.7,-1.4,852,425,66.7,-1.3,Defense,Defense
236,Toki Wartooth,LD,1,DET,53,47,52253,5,15,20,37,38,0,0,0,164,0,1,1,6564,NA,NA,NA,2,2,0,63,32,16,22,66,59,51,65,103.7,4.3,1.5,38.8,19.9,933,475,66.3,-1.2,696,359,66,-1.4,Defense,Defense
237,Jack Kanoff,RD,1,DET,53,50,67944,11,23,34,29,14,3,5,8,10260,1,0,1,4425,NA,NA,NA,0,0,0,24,21,25,14,169,68,67,67,99.7,4,2,40.2,19.2,1115,530,67.8,0.3,838,397,67.9,0.5,Defense,Defense
240,Guy O'Shea,RD,1,DET,53,50,66253,10,26,36,44,2,0,9,9,10629,0,0,0,1222,NA,NA,NA,0,0,0,17,18,27,45,164,71,72,67,103.5,4.2,1.3,40.2,17.9,1129,531,68,0.6,843,391,68.3,1.2,Defense,Defense
241,Burlok Sulfurgold,LW,1,DET,53,50,38737,11,20,31,31,44,0,0,0,102,0,0,0,12,NA,NA,NA,0,0,0,177,10,4,9,99,58,63,51,101.7,4.4,1.5,43.9,18,860,392,68.7,1.5,639,283,69.3,2.4,Forward,Wing
244,Frederick Wanesly,LW,1,DET,53,50,47900,15,20,35,21,10,0,0,0,164,1,0,1,3628,NA,NA,NA,0,0,0,47,26,18,27,125,63,67,56,98.4,3.3,1.7,40.3,17.4,938,412,69.5,2.6,710,313,69.4,2.6,Forward,Wing
