id,league,season,name,team,screening,gettingOpen,passing,puckhandling,shootingAccuracy,shootingRange,offensiveRead,checking,hitting,positioning,stickchecking,shotBlocking,faceoffs,defensiveRead,acceleration,agility,balance,speed,stamina,strength,fighting,aggression,bravery,determination,teamPlayer,leadership,temperament,professionalism,position,appliedTPE,pos,pos_broad
55,1,53,Morgan Forestier,KEL,10,11,13,13,10,6,12,9,8,11,10,10,12,11,11,11,11,11,11,11,5,5,11,15,15,15,15,15,C,144,Forward,Center
57,1,53,Luke Spinelli,VAN,9,12,10,11,11,5,12,7,5,7,7,5,5,7,6,10,8,11,11,6,5,5,6,15,15,15,15,15,RW,58,Forward,Wing
59,1,53,Jaska Seppala,KEL,12,12,9,12,13,12,12,9,9,9,9,9,9,9,12,12,12,12,12,9,5,5,12,15,15,15,15,15,LW,167,Forward,Wing
62,1,53,Chris Goodname,KEL,5,8,9,11,9,9,12,7,7,7,7,7,5,12,11,11,6,11,9,8,5,5,5,15,15,15,15,15,RD,61,Defense,Defense
73,1,53,Simon Moreau,MET,5,8,9,11,6,8,12,10,8,12,12,11,5,13,10,10,11,11,9,8,5,6,8,15,15,15,15,15,RD,102,Defense,Defense
75,1,53,Alexader Kazur II,KEL,11,7,9,10,6,7,6,10,11,5,5,9,5,9,7,5,10,6,9,12,11,11,11,15,15,15,15,15,RD,66,Defense,Defense
79,1,53,Valentin Kalashnikov,MET,7,7,11,11,7,8,7,13,13,11,12,13,7,14,11,10,13,10,11,10,10,9,9,15,15,15,15,15,RD,170,Defense,Defense
80,1,53,Marty Sertich,MET,9,12,10,11,13,6,11,9,8,8,8,8,5,8,11,11,11,12,11,10,5,5,7,15,15,15,15,15,RW,100,Forward,Wing
81,1,53,Lucas Hellquist,MET,8,12,14,12,12,9,13,11,9,10,9,9,11,10,10,11,10,11,12,10,6,6,9,15,15,15,15,15,LW,157,Forward,Wing
82,1,53,Partario Scarangella,MET,8,9,10,12,8,7,10,12,8,10,10,5,5,12,10,10,11,11,8,8,5,5,7,15,15,15,15,15,RW,84,Forward,Wing
83,1,53,Indigo Trevino,STL,10,15,10,13,14,9,14,10,9,9,10,7,5,10,12,12,14,11,11,12,5,5,10,15,15,15,15,15,LW,225,Forward,Wing
84,1,53,Thicc Cheezy,MET,5,11,15,13,11,8,13,12,8,12,12,11,5,12,12,12,12,12,12,10,5,5,11,15,15,15,15,15,RW,209,Forward,Wing
85,1,53,Al Kayhall,MET,9,13,12,13,13,8,14,10,9,13,11,10,10,13,13,11,11,14,10,9,5,5,6,15,15,15,15,15,LW,215,Forward,Wing
87,1,53,PeaKay Soupcan,MET,10,11,11,9,9,7,12,7,6,7,8,7,12,8,9,9,10,9,8,8,5,5,7,15,15,15,15,15,C,67,Forward,Center
90,1,53,Julien Villeneuve ,MET,9,12,8,10,14,8,12,7,6,10,8,8,8,10,11,9,9,11,12,10,5,6,8,15,15,15,15,15,RW,113,Forward,Wing
91,1,53,Terrence Smith,COL,5,8,9,9,9,9,12,8,8,8,8,8,5,8,10,9,7,15,8,7,5,7,7,15,15,15,15,15,RD,83,Defense,Defense
93,1,53,Alexander Roach,MET,7,10,15,12,11,9,13,9,6,8,9,8,10,11,12,10,9,11,12,9,5,5,8,15,15,15,15,15,C,143,Forward,Center
103,1,53,Sven Yxskaft,VAN,5,9,11,12,11,13,13,12,10,14,12,9,5,14,11,11,11,13,13,11,5,5,10,15,15,15,15,15,LD,209,Defense,Defense
112,1,53,William Hartmann,VAN,9,13,13,12,13,9,13,13,10,13,12,7,6,12,12,11,10,13,13,11,5,7,7,15,15,15,15,15,LW,209,Forward,Wing
114,1,53,Marcus Ohlsson,VAN,10,10,15,13,10,8,13,8,5,12,8,7,11,12,13,12,9,12,12,8,5,5,9,15,15,15,15,15,C,179,Forward,Center
115,1,53,Jason Desrouleaux,VAN,11,10,9,11,11,9,11,5,5,9,9,5,5,9,10,9,9,10,11,5,5,5,5,15,15,15,15,15,RW,56,Forward,Wing
117,1,53,Kolja Kekkonen,DET,5,11,10,11,9,11,11,11,5,9,9,8,5,10,9,9,9,9,9,9,5,5,5,15,15,15,15,15,LD,61,Defense,Defense
118,1,53,Stracimir Petrovic,VAN,10,13,13,14,11,9,12,12,5,10,11,7,12,13,10,14,10,10,12,9,5,5,10,15,15,15,15,15,C,198,Forward,Center
119,1,53,Austin Powers,VAN,7,7,12,12,8,8,12,10,6,9,10,8,10,11,11,10,9,10,9,6,5,6,6,15,15,15,15,15,C,84,Forward,Center
121,1,53,Lligma Broomstick,VAN,9,9,9,9,10,9,10,9,6,10,10,7,13,12,10,8,9,9,9,7,4,5,8,15,15,15,15,15,C,78,Forward,Center
124,1,53,Mats Marner,NL,6,9,11,11,11,6,11,11,11,11,11,9,8,11,9,11,11,11,11,11,5,5,5,15,15,15,15,15,C,99,Forward,Center
125,1,53,Francois Breton,VAN,5,10,10,14,15,10,15,13,5,14,13,6,5,13,10,10,10,10,10,10,5,5,10,15,15,15,15,15,LW,229,Forward,Wing
126,1,53,Jacob Rizzo,VAN,9,10,8,10,11,11,14,7,5,8,5,7,5,10,10,10,10,10,8,8,5,5,5,15,15,15,15,15,RW,78,Forward,Wing
129,1,53,Nicholas Corrigan,VAN,5,8,11,10,10,7,13,9,6,10,11,5,7,12,12,12,11,13,11,9,5,5,5,15,15,15,15,15,RW,111,Forward,Wing
131,1,53,Alexander Oscarsson,MET,5,5,13,13,5,5,13,5,5,5,11,5,5,5,10,13,5,5,10,5,5,5,5,15,15,15,15,15,RW,62,Forward,Wing
142,1,53,Jukka Timonen,NL,5,11,12,12,9,12,14,9,5,12,11,9,5,13,13,13,10,12,11,8,5,5,9,15,15,15,15,15,RD,168,Defense,Defense
143,1,53,Rikard Bjerg,MET,5,7,9,10,8,9,9,11,9,9,8,8,5,12,9,9,9,9,12,11,6,5,9,15,15,15,15,15,LD,70,Defense,Defense
145,1,53,Johnny Shuffleboard,VAN,5,7,10,9,9,9,13,7,5,7,8,8,5,9,10,10,7,14,10,7,5,5,6,15,15,15,15,15,RD,75,Defense,Defense
148,1,53,Steve Harrington,NL,8,8,15,13,12,7,14,10,5,10,10,5,5,10,13,12,10,11,13,10,5,5,8,15,15,15,15,15,LW,177,Forward,Wing
150,1,53,SLATT Potts,NL,7,13,11,15,15,7,13,10,7,13,10,6,5,13,12,11,10,13,13,10,5,5,7,15,15,15,15,15,RW,224,Forward,Wing
151,1,53,Patricia Reichardt,CAR,7,10,10,10,10,10,10,11,5,11,10,6,7,11,10,10,10,10,12,10,5,5,10,15,15,15,15,15,LW,90,Forward,Wing
152,1,53,James LeBlond,ANA,10,9,11,11,9,9,11,9,8,12,10,8,5,12,10,10,11,11,10,11,5,5,8,15,15,15,15,15,LD,99,Defense,Defense
154,1,53,Patric Twist,NL,12,11,10,11,11,7,9,11,10,10,9,9,5,10,10,10,12,12,11,12,5,5,9,15,15,15,15,15,LW,116,Forward,Wing
157,1,53,Mack Daddy,COL,11,11,8,10,9,7,9,11,9,8,8,5,10,9,8,8,10,10,10,10,5,5,8,15,15,15,15,15,C,66,Forward,Center
159,1,53,Ryuuji Minamino,NL,11,12,11,13,12,6,13,10,9,10,10,5,5,10,13,11,12,11,13,12,5,5,10,15,15,15,15,15,RW,161,Forward,Wing
160,1,53,(Clean) Andrei Kostitsyn,NL,11,12,13,13,13,8,12,13,13,11,9,8,5,9,10,11,11,11,13,11,5,9,9,15,15,15,15,15,RW,180,Forward,Wing
161,1,53,Mattias Birdstrom,NL,6,7,12,11,11,6,13,10,9,12,10,7,5,14,9,10,11,10,9,10,5,5,6,15,15,15,15,15,LW,117,Forward,Wing
164,1,53,Liam Slate,NL,9,10,10,10,10,7,11,10,5,10,9,5,5,9,10,10,9,11,10,9,5,5,5,15,15,15,15,15,RW,62,Forward,Wing
169,1,53,Andreas Stacks,ANA,5,5,9,11,6,7,9,12,11,11,9,9,5,12,10,9,11,8,10,9,5,5,9,15,15,15,15,15,RD,74,Defense,Defense
174,1,53,Alex Petrenko,ANA,5,9,12,14,9,11,13,13,8,14,12,11,5,14,11,11,12,12,13,9,5,5,9,15,15,15,15,15,LD,217,Defense,Defense
177,1,53,Taylor Johansson,ANA,6,10,13,15,10,7,12,9,5,10,10,5,12,11,15,11,11,13,10,5,5,5,7,15,15,15,15,15,C,179,Forward,Center
178,1,53,Elias Kierkegaard,NL,5,8,11,11,12,10,11,7,7,10,10,9,5,11,11,10,10,12,10,10,5,5,5,15,15,15,15,15,LD,89,Defense,Defense
180,1,53,John Forfeit,ANA,7,9,10,12,9,7,10,14,5,12,12,7,5,13,10,10,11,11,10,10,5,5,9,15,15,15,15,15,RW,127,Forward,Wing
181,1,53,Ethan Price,ANA,7,13,10,13,14,7,13,11,5,10,9,7,5,11,13,11,11,13,13,10,5,5,7,15,15,15,15,15,LW,170,Forward,Wing
185,1,53,Rhys Pritchard,ANA,8,13,15,14,10,7,15,9,7,11,11,9,5,13,12,12,11,11,13,10,5,5,8,15,15,15,15,15,RW,226,Forward,Wing
186,1,53,Bale,ANA,7,15,9,14,14,8,14,11,5,11,9,5,5,12,13,13,11,14,11,8,5,5,6,15,15,15,15,15,RW,230,Forward,Wing
192,1,53,C.T. Carragher,ANA,7,10,14,14,12,7,14,12,5,11,13,5,11,13,13,12,10,13,11,9,5,5,8,15,15,15,15,15,C,218,Forward,Center
193,1,53,Pooks Halloway,ANA,5,12,9,11,10,7,11,11,5,10,9,7,5,10,11,11,11,12,10,9,5,5,7,15,15,15,15,15,RW,86,Forward,Wing
196,1,53,Ziggy Tambo,ANA,8,10,14,13,11,7,13,12,7,11,11,7,5,12,12,12,9,11,11,8,5,5,7,15,15,15,15,15,LW,152,Forward,Wing
197,1,53,Rikard Hammarberg,ANA,9,10,12,13,11,9,14,11,5,12,10,5,12,12,12,12,12,11,10,9,5,5,8,15,15,15,15,15,C,166,Forward,Center
208,1,53,Bradley Barkov,COL,5,10,14,13,12,10,13,11,5,12,11,11,5,12,11,11,10,11,13,8,5,5,7,15,15,15,15,15,RD,164,Defense,Defense
209,1,53,Bryce Turner,COL,5,12,10,12,12,12,13,11,11,12,11,12,5,12,10,10,7,9,12,10,5,5,9,15,15,15,15,15,LD,150,Defense,Defense
210,1,53,Anrijs Asts,COL,7,10,10,11,9,9,10,12,11,11,12,12,5,11,9,9,11,9,11,11,6,8,9,15,15,15,15,15,RD,113,Defense,Defense
213,1,53,Hariken Urawa,COL,9,13,10,12,13,8,15,10,9,9,7,5,5,9,13,13,12,13,11,9,5,5,9,15,15,15,15,15,RW,177,Forward,Wing
215,1,53,Sven Svenson,COL,11,13,10,13,13,8,13,10,7,9,9,7,5,9,13,12,11,13,13,10,5,5,10,15,15,15,15,15,LW,168,Forward,Wing
216,1,53,Zelma Zuntnere,NL,5,10,5,10,10,9,9,10,5,10,10,5,5,6,10,12,11,12,10,5,5,5,5,15,15,15,15,15,LW,61,Forward,Wing
217,1,53,Ragnar Skallargrimson,COL,9,9,10,9,9,4,12,9,9,9,11,5,6,11,11,11,9,11,9,9,4,4,9,15,15,15,15,15,LW,74,Forward,Wing
218,1,53,Tomas Grygera,COL,7,10,11,10,7,6,10,9,5,5,9,5,7,9,12,12,11,12,9,7,5,5,7,15,15,15,15,15,C,70,Forward,Center
220,1,53,Henrik Lundqvist Jr.,DET,7,11,15,12,10,7,13,10,8,12,12,11,12,14,13,13,11,12,11,9,5,5,5,15,15,15,15,15,C,216,Forward,Center
221,1,53,Simothy Drunkebird,COL,11,12,13,12,12,8,12,12,10,12,12,7,13,14,11,9,10,11,12,10,5,8,12,15,15,15,15,15,C,207,Forward,Center
225,1,53,Chris Cerullo,COL,7,12,11,11,11,8,12,10,7,11,11,7,11,12,10,10,12,10,10,9,5,5,9,15,15,15,15,15,C,117,Forward,Center
226,1,53,Hiroshi Ohira,COL,11,11,14,13,10,10,12,5,5,10,12,9,5,10,12,12,10,12,12,9,5,6,9,15,15,15,15,15,RW,155,Forward,Wing
230,1,53,Walito Gretzky,VAN,8,13,10,11,11,8,11,10,5,11,10,7,6,5,10,10,10,11,10,5,5,5,5,15,15,15,15,15,LW,79,Forward,Wing
235,1,53,Magnus Liljestrom,DET,5,10,13,13,9,9,13,11,5,13,13,10,5,13,10,11,11,11,13,10,5,5,9,15,15,15,15,15,LD,164,Defense,Defense
236,1,53,Toki Wartooth,DET,5,6,10,12,7,9,9,13,11,12,10,10,5,12,11,8,11,11,12,11,5,9,8,15,15,15,15,15,LD,119,Defense,Defense
237,1,53,Jack Kanoff,DET,5,11,11,12,10,13,13,11,5,11,11,8,5,13,12,10,12,13,12,11,5,5,8,15,15,15,15,15,RD,160,Defense,Defense
240,1,53,Guy O'Shea,DET,5,12,13,13,12,12,14,10,7,13,11,10,5,13,12,12,11,12,13,11,5,5,7,15,15,15,15,15,RD,208,Defense,Defense
241,1,53,Burlok Sulfurgold,DET,10,9,13,10,9,5,11,12,12,11,11,5,5,12,12,8,11,13,10,10,5,9,9,15,15,15,15,15,LW,133,Forward,Wing
244,1,53,Frederick Wanesly,DET,10,12,13,11,12,8,12,11,10,12,12,7,7,12,11,11,11,11,12,10,5,7,10,15,15,15,15,15,LW,160,Forward,Wing
245,1,53,Luke McMaster,DET,9,11,14,13,13,11,13,12,6,12,11,5,11,13,12,12,9,13,12,9,5,7,9,15,15,15,15,15,C,206,Forward,Center
250,1,53,Kaarlo Kekkonen,DET,6,13,10,13,14,9,14,11,5,12,11,5,5,12,13,13,12,13,13,10,5,5,8,15,15,15,15,15,LW,213,Forward,Wing
251,1,53,Cassidy Lhotsky,DET,5,9,9,11,9,5,9,12,9,13,12,9,5,13,10,10,12,13,11,11,5,8,10,15,15,15,15,15,LW,132,Forward,Wing
252,1,53,Cal Labovitch,DET,7,12,14,14,12,9,14,6,5,12,13,9,5,12,13,13,10,13,12,9,5,5,8,15,15,15,15,15,RW,221,Forward,Wing
253,1,53,Jmac NCheese,DET,9,11,13,13,12,7,14,13,6,13,13,10,5,14,11,10,12,11,12,11,5,5,8,15,15,15,15,15,RW,213,Forward,Wing
254,1,53,Matthew Forrester,NL,9,8,13,11,9,8,11,11,6,10,10,6,10,10,11,10,11,10,13,11,5,5,8,15,15,15,15,15,C,109,Forward,Center
255,1,53,Skipper Joe,ANA,7,7,8,10,13,10,10,7,7,5,10,5,10,6,10,10,10,10,10,5,5,5,5,15,15,15,15,15,C,60,Forward,Center
256,1,53,Stan Q. Next,DET,7,9,11,11,9,5,11,10,5,5,10,7,10,10,9,7,10,8,9,9,5,5,11,15,15,15,15,15,C,61,Forward,Center
257,1,53,Taisto Jutila,DET,6,10,11,11,9,7,12,12,5,11,11,6,10,13,9,9,11,11,11,9,5,5,9,15,15,15,15,15,C,106,Forward,Center
259,1,53,Reid Sutherland,DET,5,10,13,13,10,7,14,9,8,10,10,8,12,14,11,12,10,11,12,10,5,5,9,15,15,15,15,15,C,173,Forward,Center
260,1,53,Edward Williams,DET,13,13,9,12,9,6,10,13,10,9,9,5,9,10,9,9,12,12,12,12,4,4,8,15,15,15,15,15,C,139,Forward,Center
261,1,53,Asclepius Perseus Flitter,COL,11,11,10,11,13,5,11,5,5,5,8,5,5,5,11,10,5,11,10,5,5,5,5,15,15,15,15,15,RW,57,Forward,Wing
268,1,53,Trevor Johnson,STL,5,10,7,10,12,13,10,11,11,11,11,11,5,11,10,7,7,5,10,9,5,5,5,15,15,15,15,15,LD,89,Defense,Defense
270,1,53,Flash Gordon,STL,5,5,10,14,5,5,5,14,10,15,14,14,5,14,9,9,12,9,11,12,5,5,12,15,15,15,15,15,RD,233,Defense,Defense
271,1,53,Luc-Pierre Lespineau-Lebr,STL,5,5,5,10,5,5,10,14,14,12,13,12,5,13,10,10,13,10,10,12,10,15,12,15,15,15,15,15,LD,220,Defense,Defense
274,1,53,Axel Meszaros,STL,5,10,13,13,8,11,13,11,8,12,12,13,5,13,10,9,11,12,11,9,5,5,10,15,15,15,15,15,LD,163,Defense,Defense
275,1,53,Erben Kasius,STL,5,9,12,13,12,14,12,9,9,11,11,9,5,11,12,12,11,11,12,9,5,5,11,15,15,15,15,15,LD,164,Defense,Defense
276,1,53,Yamamoto Mitsuharu,STL,9,9,10,13,9,7,9,14,10,14,14,9,7,14,9,9,13,13,11,10,5,7,12,15,15,15,15,15,LW,217,Forward,Wing
277,1,53,Sasha Dangelchek,STL,12,12,15,12,12,8,13,12,11,11,6,10,5,11,12,12,11,12,11,12,5,5,11,15,15,15,15,15,RW,205,Forward,Wing
281,1,53,Ruslan Zaporozhets,STL,13,13,13,14,13,8,13,11,10,11,10,8,7,10,13,11,11,13,11,11,5,8,10,15,15,15,15,15,LW,209,Forward,Wing
282,1,53,Borys Franciszek,STL,12,8,10,8,10,6,8,12,12,5,12,5,5,8,8,9,10,8,8,10,5,8,14,15,15,15,15,15,LW,105,Forward,Wing
283,1,53,Trey Nets,STL,11,11,11,11,11,10,13,11,9,11,11,7,11,12,11,11,11,11,11,11,6,9,11,15,15,15,15,15,C,146,Forward,Center
284,1,53,Danny Marston,STL,10,11,14,13,9,9,15,9,8,10,8,9,13,12,11,15,10,11,11,10,6,6,12,15,15,15,15,15,C,226,Forward,Center
285,1,53,Alex Reyer,STL,13,12,7,12,12,7,7,7,7,7,7,7,13,7,7,6,12,8,8,12,5,5,11,15,15,15,15,15,C,106,Forward,Center
287,1,53,Colin Lambert,STL,5,5,13,10,10,9,10,5,5,9,7,5,5,10,10,10,5,10,13,5,5,5,5,15,15,15,15,15,LD,58,Defense,Defense
288,1,53,Linus Grimstad,CAR,5,10,12,13,8,5,12,10,5,10,10,5,12,10,10,12,9,9,12,5,5,5,9,15,15,15,15,15,C,104,Forward,Center
290,1,53,Eric Hudson,STL,5,5,13,11,10,11,14,11,5,12,13,12,5,15,10,10,7,10,11,11,5,6,7,15,15,15,15,15,LW,173,Forward,Wing
294,1,53,Mega Tron,STL,13,13,9,10,13,8,13,12,9,12,11,10,6,13,10,13,13,11,13,10,5,5,9,15,15,15,15,15,LW,196,Forward,Wing
301,1,53,Ambacas Cuddles,CAR,5,10,10,11,10,10,10,13,11,13,13,13,5,13,11,11,11,11,11,10,5,6,10,15,15,15,15,15,LD,159,Defense,Defense
303,1,53,Zbigniew Pokrywka,DET,5,13,13,13,12,10,13,10,6,13,10,11,5,13,11,11,11,11,11,10,5,7,10,15,15,15,15,15,LD,172,Defense,Defense
304,1,53,Sammy Koa,VAN,9,7,11,11,7,7,5,10,11,11,11,10,5,13,10,9,10,10,9,10,5,6,6,15,15,15,15,15,LD,84,Defense,Defense
305,1,53,Erik Johansson ,CAR,5,9,9,11,7,9,9,11,11,11,11,11,5,11,11,9,11,10,11,9,5,5,11,15,15,15,15,15,RD,90,Defense,Defense
306,1,53,Michael Lee,CAR,5,11,10,12,9,9,12,10,7,12,11,10,5,13,13,13,11,13,13,10,5,5,9,15,15,15,15,15,RD,161,Defense,Defense
307,1,53,Ben van Dijk,CAR,5,10,11,11,9,10,11,11,11,13,11,10,5,13,11,12,11,11,12,11,5,7,10,15,15,15,15,15,LD,142,Defense,Defense
313,1,53,Ryan Rieley,CAR,8,10,8,9,11,7,10,10,11,7,7,5,5,7,9,8,10,11,12,10,5,9,5,15,15,15,15,15,RW,66,Forward,Wing
320,1,53,Velveteen Dream,CAR,7,10,13,11,11,8,12,14,8,12,12,8,12,14,12,12,10,13,12,10,5,8,11,15,15,15,15,15,C,213,Forward,Center
324,1,53,Jimmy Wagner,CAR,5,10,9,11,12,7,12,10,8,11,10,5,5,12,14,14,12,14,12,9,5,5,9,15,15,15,15,15,RW,176,Forward,Wing
327,1,53,Jax Gracie,MET,8,10,10,11,12,5,11,7,5,10,8,5,8,7,10,10,10,10,9,5,5,5,5,15,15,15,15,15,LW,58,Forward,Wing
328,1,53,Rinako Yukikami,CAR,6,9,10,10,9,7,11,10,5,10,10,6,11,11,10,10,10,10,9,9,5,5,10,15,15,15,15,15,C,74,Forward,Center
329,1,53,Pojo Biscuit,ANC,5,9,11,9,9,9,9,11,11,11,11,11,5,11,10,10,10,10,10,10,7,9,9,15,15,15,15,15,LD,92,Defense,Defense
336,1,53,Tinke Jutila,NL,5,5,10,10,9,9,5,10,10,12,10,11,5,13,10,10,11,10,13,11,5,5,10,15,15,15,15,15,LD,105,Defense,Defense
338,1,53,Mikkel Asmus Sondergard,MET,5,9,11,13,9,9,11,12,7,12,11,11,5,13,11,11,11,11,13,10,5,5,9,15,15,15,15,15,LD,138,Defense,Defense
339,1,53,Blake Feaux,MET,5,5,5,11,5,5,5,13,5,17,13,13,5,5,5,5,11,5,5,11,5,5,5,15,15,15,15,15,LD,145,Defense,Defense
341,1,53,Matthew Sawful,ANC,5,10,11,11,11,11,11,11,7,12,10,10,5,12,10,11,11,10,13,11,5,7,9,15,15,15,15,15,RD,124,Defense,Defense
343,1,53,Aumy Jr.,COL,5,11,11,11,11,12,11,10,9,13,11,9,5,12,10,9,11,11,11,8,5,7,7,15,15,15,15,15,RD,117,Defense,Defense
344,1,53,Slimey Snail,VAN,5,5,9,10,9,9,9,12,11,11,11,11,9,12,10,9,10,10,11,9,9,7,7,15,15,15,15,15,LD,96,Defense,Defense
345,1,53,Adriano Ippolito,ANA,6,12,8,11,11,7,11,9,5,9,7,5,5,9,11,10,10,11,10,7,5,5,7,15,15,15,15,15,LW,65,Forward,Wing
348,1,53,Ryosuke Sato,VAN,5,7,11,13,7,7,11,11,7,13,11,9,5,13,11,11,11,11,13,7,5,5,7,15,15,15,15,15,RD,122,Defense,Defense
350,1,53,Panda Panico,CAR,11,10,10,10,11,9,11,10,13,8,7,9,6,9,10,10,10,10,11,11,8,6,10,15,15,15,15,15,LW,104,Forward,Wing
353,1,53,Daniel Laforest,KEL,7,10,12,12,10,9,10,11,6,10,11,8,11,11,12,13,9,12,12,10,5,5,7,15,15,15,15,15,C,131,Forward,Center
356,1,53,Grant Thurber,ANA,12,10,7,12,10,7,10,11,5,10,9,7,11,11,10,10,12,10,10,11,5,5,10,15,15,15,15,15,C,105,Forward,Center
358,1,53,Simon Takshak,KEL,13,10,9,10,11,7,9,13,13,9,9,7,5,9,9,9,10,9,13,9,5,11,11,15,15,15,15,15,RW,124,Forward,Wing
360,1,53,Justin Keahi,KEL,12,9,10,10,9,7,10,11,11,11,12,7,5,10,10,10,11,10,12,10,11,10,9,15,15,15,15,15,RW,119,Forward,Wing
361,1,53,Noah Johns II,COL,9,10,9,9,10,9,10,8,4,8,8,8,5,8,9,9,8,10,9,8,4,4,8,15,15,15,15,15,RW,46,Forward,Wing
367,1,53,Jack Von Arx,MET,6,8,7,11,7,10,8,12,11,12,8,10,5,11,9,9,11,9,9,9,5,8,10,15,15,15,15,15,LD,83,Defense,Defense
368,1,53,Jack Klompus,NL,5,10,13,10,12,9,11,11,8,11,9,10,5,11,10,10,11,11,12,10,5,9,9,15,15,15,15,15,LD,117,Defense,Defense
369,1,53,Axel Foley,CAR,5,7,10,10,5,7,10,10,9,12,11,7,5,11,10,9,10,10,9,9,5,6,6,15,15,15,15,15,LD,65,Defense,Defense
