TeamId,ES L1 LW,ES L1 C,ES L1 RW,ES L1 LD,ES L1 RD,ES L2 LW,ES L2 C,ES L2 RW,ES L2 LD,ES L2 RD,ES L3 LW,ES L3 C,ES L3 RW,ES L3 LD,ES L3 RD,ES L4 LW,ES L4 C,ES L4 RW,ES L4 LD,ES L4 RD,PP5on4 L1 LW,PP5on4 L1 C,PP5on4 L1 RW,PP5on4 L1 LD,PP5on4 L1 RD,PP5on4 L2 LW,PP5on4 L2 C,PP5on4 L2 RW,PP5on4 L2 LD,PP5on4 L2 RD,PP5on3 L1 LW,PP5on3 L1 C,PP5on3 L1 RW,PP5on3 L1 LD,PP5on3 L1 RD,PP5on3 L2 LW,PP5on3 L2 C,PP5on3 L2 RW,PP5on3 L2 LD,PP5on3 L2 RD,PP4on3 L1 F1,PP4on3 L1 F2,PP4on3 L1 LD,PP4on3 L1 RD,PP4on3 L2 F1,PP4on3 L2 F2,PP4on3 L2 LD,PP4on3 L2 RD,PK4on5 L1 F1,PK4on5 L1 F2,PK4on5 L1 LD,PK4on5 L1 RD,PK4on5 L2 F1,PK4on5 L2 F2,PK4on5 L2 LD...56,PK4on5 L2 LD...57,PK4on5 L3 F1,PK4on5 L3 F2,PK4on5 L3 LD...60,PK4on5 L3 LD...61,PK3on5 L1 F1,PK3on5 L1 LD,PK3on5 L1 RD,PK3on5 L2 F1,PK3on5 L2 LD...66,PK3on5 L2 LD...67,PK3on4 L1 F1,PK3on4 L1 LD,PK3on4 L1 RD,PK3on4 L2 F1,PK3on4 L2 LD...72,PK3on4 L2 LD...73,4on4 L1 F1,4on4 L1 F2,4on4 L1 LD,4on4 L1 RD,4on4 L2 F1,4on4 L2 F2,4on4 L2 LD...80,4on4 L2 LD...81,3on3 L1 F1,3on3 L1 LD,3on3 L1 RD,3on3 L2 F1,3on3 L2 LD...86,3on3 L2 LD...87,Shootout 1,Shootout 2,Shootout 3,Shootout 4,Shootout 5,Goalie 1,Goalie 2,Extra Attacker 1,Extra Attacker 2,...97,season
14,1624,1298,1589,1340,1402,1565,1118,1122,1457,1310,1314,1078,1201,1611,1195,NA,NA,NA,NA,NA,1589,1298,1565,1340,1402,1122,1118,1314,1195,1310,1589,1298,1565,1340,1402,1122,1118,1314,1195,1310,1122,1118,1340,1402,1589,1298,1195,1310,1565,1078,1340,1402,1314,1298,1195,1310,NA,NA,NA,NA,1565,1340,1402,1078,1195,1310,1565,1340,1402,1078,1195,1310,1565,1078,1340,1402,1589,1298,1310,1195,1565,1078,1340,1589,1314,1195,1122,1565,1118,1589,1314,1439,1867,1565,1589,NA,66
15,1183,1101,1154,1046,1189,1043,1355,833,968,1247,1044,1476,1397,1066,1449,NA,NA,NA,NA,NA,1355,1101,833,1046,1189,1183,1476,1043,968,1066,1355,1101,833,1046,1189,1183,1476,1043,968,1066,1101,1476,1046,1189,833,1355,968,1066,1476,1043,1449,1066,1044,1101,968,1247,833,1355,1046,1189,1476,1449,1066,1043,968,1247,1476,1449,1066,1043,968,1247,1101,1476,1046,1189,1355,833,968,1066,1101,1476,1046,1355,833,968,833,1189,1066,1183,1397,1121,1866,1101,833,NA,66
16,1737,1733,1084,1231,965,1734,1403,1703,1215,1735,1311,1229,1463,1678,1690,NA,NA,NA,NA,NA,1734,1733,1703,1215,1231,1403,1229,1737,965,1084,1734,1403,1703,1231,1215,1733,1229,1737,965,1084,1703,1734,1231,1084,1733,1737,1215,1403,1734,1403,965,1690,1084,1733,1678,1735,1737,1229,1231,1215,1403,965,1690,1737,1678,1735,1403,965,1690,1737,1678,1735,1403,1733,1231,1690,1734,1737,1678,965,1734,1737,1231,1403,1733,1678,1084,1703,1403,1229,1733,1610,1872,1733,1734,NA,66
17,1458,1274,1748,1364,1233,1155,1265,1117,1829,1353,1251,1244,1993,1557,1711,NA,NA,NA,NA,NA,1458,1274,1117,1233,1353,1155,1265,1748,1829,1251,1458,1274,1117,1233,1353,1155,1265,1748,1829,1251,1458,1274,1233,1353,1155,1265,1829,1251,1748,1274,1353,1829,1117,1265,1557,1711,1155,1244,1233,1364,1117,1829,1353,1748,1557,1711,1117,NA,1353,1748,1829,1711,1458,1274,1233,1353,1155,1265,1557,1711,1274,1117,1233,1265,1748,1557,1458,1748,1117,1364,1265,1861,1254,1117,1458,NA,66
0,1462,1199,1009,1348,1048,1629,1412,1460,1557,1711,1531,1178,1698,1164,1877,NA,NA,NA,NA,NA,1629,1412,1460,1462,1048,1178,1199,1009,1164,1348,1629,1412,1460,1462,1048,1178,1199,1009,1164,1348,1629,1412,1199,1048,1462,1460,1009,1557,1009,1531,1348,1711,1462,1412,1048,1877,1178,1199,1164,1557,1009,1348,1711,1531,1048,1877,1009,1348,1711,1531,1048,1877,1629,1199,1164,1048,1009,1462,1348,1877,1629,1199,1164,1009,1462,1048,1629,1048,1009,1460,1462,1156,697,1629,1009,NA,67
1,2108,1059,1032,1322,1436,1159,1666,2109,2111,1075,1893,2110,1576,1263,1258,NA,NA,NA,NA,NA,1159,1059,2108,1322,2111,2109,1666,1032,1075,1436,1159,1059,2108,1075,1258,2109,1666,1032,1322,2111,1059,1032,1322,1075,1159,2109,2111,1258,1059,1032,1322,1436,2108,2109,2111,1263,1159,1576,1075,1258,1059,1322,2111,2108,1436,1075,1059,1322,2111,2108,1436,1075,1059,2108,1322,1436,1159,1032,1258,2111,1059,2108,1322,1159,1032,1436,1032,2108,1159,1059,1893,2113,2112,1032,1159,NA,67
2,1184,1740,1305,1741,1870,1302,1435,1747,1152,1569,1604,1702,1111,1590,1434,NA,NA,NA,NA,NA,1302,1435,1305,1152,1747,1184,1740,1111,1604,1434,1302,1435,1305,1152,1747,1184,1740,1111,1604,1434,1305,1740,1152,1747,1302,1435,1111,1434,1435,1747,1741,1870,1740,1305,1152,1569,1302,1702,1590,1434,1435,1741,1870,1702,1152,1590,1435,1741,1870,1702,1152,1590,1435,1305,1152,1870,1302,1740,1590,1741,1435,1305,1152,1302,1702,1870,1747,1305,1740,1111,1302,1560,1345,1305,1747,NA,67
3,1005,1162,1352,1876,1039,1093,1346,1035,1388,1712,1665,1372,1429,1393,1657,NA,NA,NA,NA,NA,1005,1162,1035,1876,1039,1093,1346,1352,1712,1388,1005,1162,1035,1039,1876,1093,1346,1352,1712,1388,1005,1162,1876,1039,1346,1035,1388,1712,1093,1162,1712,1039,1352,1005,1876,1388,1372,1429,NA,NA,1162,1393,1039,1346,1876,1712,1162,1712,1039,1372,1876,1393,1005,1162,NA,1039,1093,1352,1876,1712,1005,1162,NA,1093,1352,1039,1162,1005,1035,1039,1093,1730,1526,1162,1093,NA,67
4,1408,1171,1652,1193,1387,1482,1275,1699,1600,1601,1676,1466,1704,1400,1421,NA,NA,NA,NA,NA,1408,1171,1652,1387,1600,1482,1466,1699,1400,1421,1408,1171,1652,1387,1600,1482,1466,1676,1400,1421,1171,1652,1600,1387,1482,1699,1421,1400,1652,1171,1387,1193,1408,1699,1601,1421,1704,1482,1600,1400,1171,1387,1193,1652,1600,1421,1171,1387,1193,1652,1600,1421,1408,1171,1387,1193,1652,1482,1601,1400,1171,1408,1387,1699,1482,1193,1652,1171,1408,1699,1482,2116,1862,1171,1275,NA,67
5,1002,1226,1232,1523,1051,1778,1272,1483,1336,1196,1518,1423,856,1053,1854,NA,NA,NA,NA,NA,1002,1226,856,1483,1051,1232,1272,1518,1336,1196,1002,1226,1518,1483,1051,1232,1272,856,1336,1523,1002,1226,1523,1051,1232,1272,1196,1336,1232,856,1523,1051,1226,1002,1196,1336,1272,1518,1854,1053,1002,1523,1051,856,1196,1336,856,1523,1051,1002,1196,1336,1002,1226,1523,1051,1272,1483,1854,1336,1002,1226,1051,1272,1483,1336,1002,856,1232,1336,1226,1822,1991,1002,1226,NA,67
6,879,1104,1869,1532,1306,1140,1227,1609,1264,1067,1353,1631,1038,1814,1915,NA,NA,NA,NA,NA,879,1104,1869,1306,1227,1140,1631,1609,1532,1038,1140,1631,1869,879,1532,1227,1104,1609,1264,1306,1104,879,1532,1067,1227,1140,1264,1306,1140,1227,1532,1306,1104,1631,1264,1067,1609,1038,1814,1915,1227,1038,1067,1140,1532,1306,1227,1038,1067,1140,1814,1915,1227,1631,1140,1306,1104,879,1869,1532,1104,879,1306,1227,1140,1532,1869,1104,879,1227,1140,1731,2114,1609,1631,NA,67
7,1361,1717,1197,1176,1570,1554,1309,1271,1656,1572,1367,1504,1479,1083,1344,NA,NA,NA,NA,NA,1554,1717,1197,1176,1656,1361,1271,1479,1344,1083,1554,1717,1197,1176,1656,1361,1271,1479,1344,1083,1717,1197,1554,1176,1479,1361,1344,1656,1271,1504,1572,1570,1197,1309,1176,1083,1479,1717,1344,1656,1504,1572,1570,1271,1176,1083,1504,1572,1570,1271,1176,1083,1717,1197,1176,1083,1309,1271,1572,1570,1717,1197,1176,1309,1271,1083,1717,1554,1361,1176,1309,1827,1780,1717,1554,NA,67
8,1090,1028,1018,1744,1141,1064,1405,872,1145,1214,1875,1641,1063,1494,1320,NA,NA,NA,NA,NA,1064,1405,872,1875,1320,1090,1028,1018,1145,1141,1064,1405,872,1875,1320,1090,1028,1018,1145,1141,1090,1028,872,1320,1064,1405,1145,1141,1028,1090,1145,1744,1875,872,1320,1214,1405,1064,1494,1141,1875,1145,1744,1028,1494,1214,1875,1214,1744,1090,1320,1494,1028,1064,1145,1744,1090,872,1320,1214,1028,1064,1145,1090,872,1744,1064,1875,1090,1018,872,1625,1757,1028,1090,NA,67
9,1992,1873,1148,1297,1308,1255,1745,1700,1239,1944,1525,1637,1324,1936,1325,NA,NA,NA,NA,NA,1148,1745,1255,1297,1324,1992,1873,1637,1308,1944,1148,1745,1255,1297,1324,1992,1873,1637,1308,1944,1148,1745,1297,1239,1992,1873,1308,1944,1255,1745,1297,1239,1148,NA,1308,1944,1992,1873,1936,1637,1745,1297,1239,1873,1308,1944,1745,1297,1239,1873,1308,1944,1148,1873,1297,1239,1992,1745,1308,1944,1148,1873,1297,1992,1745,1308,1255,1239,1873,1148,1992,1896,1386,1745,1297,NA,67
14,1122,1118,1589,1727,1402,1624,1298,1565,1457,1419,1314,1078,1201,1516,1310,NA,NA,NA,NA,NA,1565,1118,1589,1727,1402,1122,1298,1314,1457,1419,1565,1298,1589,1727,1402,1122,1078,1314,1457,1419,1565,1298,1727,1402,1122,1078,1457,1419,1078,1118,1727,1402,1565,1298,1457,1419,NA,NA,NA,NA,1298,1727,1402,1078,1457,1419,1298,1727,1402,1078,1457,1419,1565,1298,1727,1402,1589,1118,1419,1457,1565,1298,1402,1078,1118,1419,1589,1565,1118,1314,1122,1867,1776,1565,1589,NA,67
15,1183,1355,1397,1066,1824,1476,1154,1318,1449,1578,1582,1563,1642,1044,1801,NA,NA,NA,NA,NA,1183,1355,1582,1066,1578,1563,1154,1476,1824,1318,1183,1355,1582,1066,1578,1563,1154,1476,1824,1318,1183,1355,1318,1578,1582,1476,1563,1824,1476,1355,1066,1449,1154,1397,1578,1044,1318,1183,1801,1824,1397,1044,1449,1476,1066,1578,1397,1044,1449,1476,1066,1578,1476,1355,1066,1449,1318,1183,1824,1578,1476,1355,1066,1318,1183,1044,1154,1355,1318,1642,1578,1866,2117,1355,1154,NA,67
16,1737,1229,1703,1403,1054,1734,1733,1084,1678,1231,1735,1463,1577,1215,1690,NA,NA,NA,NA,NA,1734,1229,1703,1215,1231,1084,1737,1733,1403,1054,1734,1229,1733,1231,1215,1084,1737,1703,1403,1054,1703,1734,1231,1229,1733,1084,1215,1403,1229,1733,1054,1690,1463,1084,1678,1403,1737,1734,1231,1215,1733,1054,1403,1084,1231,1690,1733,1054,1403,1084,1231,1690,1084,1733,1231,1403,1734,1229,1678,1054,1734,1229,1231,1084,1733,1054,1084,1703,1690,1229,1733,1872,2118,1734,1733,NA,67
17,1458,1265,1117,1187,1829,1155,1274,1748,1771,1233,1718,1574,1251,1359,1139,NA,NA,NA,NA,NA,1458,1274,1117,1771,1139,1155,1574,1748,1187,1829,1458,1274,1117,1771,1139,1155,1574,1748,1187,1829,1458,1274,1771,1139,1155,1574,1187,1829,1718,1265,1359,1233,1748,1574,1187,1829,1155,1274,1771,1139,1265,1359,1233,1574,1187,1829,1265,1771,1233,1574,1187,1829,1748,1274,1359,1233,1117,1574,1139,1829,1748,1274,1233,1117,1574,1359,1458,1155,1748,1574,1117,1861,1254,1155,1718,NA,67
0,1460,1412,1698,1348,1048,1462,1178,1531,1557,1711,1786,1488,1550,1602,1877,NA,NA,NA,NA,NA,1460,1412,1698,1348,1048,1531,1178,1462,1711,1557,1460,1412,1698,1348,1048,1531,1178,1462,1711,1557,1412,1698,1348,1048,1531,1178,1711,1602,1178,1462,1348,1711,1412,1531,1877,1048,1698,1460,1557,1602,1178,1348,1711,1462,1877,1048,1178,1348,1711,1462,1877,1048,1178,1412,1348,1048,1698,1462,1557,1711,1178,1412,1048,1698,1462,1348,1460,1412,1048,1178,1550,1156,1635,1412,1460,NA,68
1,1591,2108,1159,1075,1436,2109,1059,1146,2111,1803,1576,1666,1546,1804,1801,NA,NA,NA,NA,NA,1159,1059,2108,2111,1436,1546,1666,2109,1075,1804,1159,1059,2108,2111,1436,1546,1666,2109,1804,1075,1666,1159,1436,2111,2109,2108,1075,1804,1059,2108,2111,1075,1576,2109,1804,1803,1666,1159,1436,1801,1059,2111,1075,2108,1804,1803,1059,2111,1075,2108,1804,1803,1059,1159,2111,1436,1666,2109,1804,1075,1059,1159,2111,1666,2109,1436,1159,2108,1059,1666,2109,2113,2112,1159,2108,NA,68
2,1604,2097,1747,1434,1590,1184,1702,1111,1152,1394,2012,1783,1773,1547,1569,NA,NA,NA,NA,NA,1184,1702,1111,1152,1604,2012,2097,1783,1434,1747,1184,1702,1111,1152,1604,2012,2097,1783,1434,1747,1111,1702,1152,1604,1184,2097,1434,1747,1747,1783,1152,1590,1604,1702,1434,1394,1111,2097,1547,1569,1747,1152,1590,1604,1434,1394,1747,1152,1590,1604,1434,1394,1111,1702,1152,1590,1184,1747,1434,1394,1111,1702,1152,1747,1184,1434,1747,1111,1184,1702,1604,1560,1399,1111,1184,NA,68
3,1213,1346,1035,1876,1712,1665,1825,1352,1388,1393,1225,1372,1303,1398,1657,NA,NA,NA,NA,NA,1213,1346,1035,1393,1876,1225,1825,1352,1712,1388,1213,1346,1035,1393,1876,1225,1825,1352,1712,1388,1346,1035,1352,1876,1213,1825,1712,1388,1035,1372,1876,1712,1346,1352,1388,1393,1665,1825,1657,1398,1665,1876,1712,1035,1388,1393,1665,1876,1712,1035,1388,1393,1346,1035,1876,1712,1352,1665,1388,1398,1346,1035,1712,1352,1665,1876,1876,1035,1393,1303,1352,1499,1775,1035,1352,NA,68
4,1676,1622,1408,1421,1387,1275,1931,1510,1400,1193,1649,1887,1680,1600,1601,NA,NA,NA,NA,NA,1676,1622,1408,1400,1387,1510,1680,1649,1601,1421,1676,1622,1408,1400,1387,1510,1680,1649,1601,1421,1408,1622,1676,1387,1649,1680,1400,1601,1887,1510,1193,1387,1622,1649,1400,1421,1931,1275,1601,1600,1887,1193,1387,1622,1400,1421,1887,1193,1387,1622,1400,1421,1676,1408,1601,1387,1622,1649,1400,1421,1408,1676,1387,1622,1275,1400,1676,1408,1275,1649,1510,2116,1862,1676,1408,NA,68
5,1323,1226,1483,1196,1336,1518,1272,1238,1523,1490,1865,1423,1854,1990,1087,NA,NA,NA,NA,NA,1483,1226,1238,1323,1336,1865,1272,1518,1196,1490,1483,1226,1238,1323,1336,1865,1272,1518,1523,1490,1483,1226,1323,1336,1238,1272,1196,1490,1226,1483,1336,1523,1272,1518,1087,1196,1238,1854,1490,1990,1226,1523,1196,1272,1336,1990,1226,1196,1523,1272,1336,1990,1226,1483,1336,1196,1272,1238,1087,1523,1226,1483,1336,1272,1323,1490,1272,1483,1226,1323,1336,1822,1991,1226,1272,NA,68
6,1140,1631,1609,1532,1306,1291,1481,1869,1264,1067,1353,1537,1444,2093,1316,NA,NA,NA,NA,NA,1291,1631,1609,1532,1306,1140,1481,1869,1316,1264,1353,1481,1444,1316,1609,1140,1631,1869,1532,1306,1353,1140,1264,1067,1609,1631,1532,1306,1353,1631,1264,1306,1140,1869,1532,1067,1609,1444,2093,1316,1537,1140,1067,1631,1532,1306,1631,1316,1306,1140,1532,1067,1609,1631,1532,1306,1140,1537,1291,1869,1609,1140,1306,1631,1537,1532,1869,1609,1631,1353,1140,2046,2114,1609,1631,NA,68
7,1554,1717,1479,1176,1570,1361,1309,1124,1656,1572,2089,1726,1218,1504,1344,NA,NA,NA,NA,NA,1554,1717,1361,1176,1656,1309,1726,2089,1572,1570,1554,1717,1361,1176,1656,1309,1726,2089,1572,1570,1554,1717,1176,1656,1361,1309,1572,1570,1479,1124,1572,1570,1361,1717,1656,1504,1309,1554,1176,1344,1124,1572,1570,1479,1656,1504,1124,1572,1570,1479,1656,1504,1479,1717,1176,1570,1554,1309,1656,1572,1479,1717,1570,1554,1309,1176,1717,1554,1176,NA,NA,1827,1780,1717,1309,NA,68
8,1594,1641,1018,1551,1688,1875,1492,1817,1494,1320,1326,1994,1787,1962,1202,NA,NA,NA,NA,NA,1875,1641,1787,1551,1320,1594,1994,1018,1492,1688,1875,1641,1018,1492,1551,1787,1994,1594,1494,1320,1994,1875,1494,1551,1787,1594,1688,1320,1875,1018,1494,1320,1641,1492,1551,1688,1994,1594,1962,1202,1875,1494,1688,1594,1320,1551,1641,1494,1551,1594,1202,1320,1018,1641,1494,1320,1875,1994,1688,1551,1018,1494,1320,1641,1551,1688,1594,1875,1641,1787,1018,1625,1846,1641,1594,NA,68
9,1992,1873,1148,1308,1239,1416,1745,1255,1525,1944,1700,1637,1324,1453,1758,NA,NA,NA,NA,NA,1992,1873,1148,1239,1255,1637,1745,1324,1525,1758,1992,1873,1148,1239,1255,1637,1745,1324,1525,1758,1873,1992,1239,1255,1745,1324,1525,1637,1873,1148,1239,1308,1745,1700,1525,1944,1637,1255,1453,1758,1873,1700,1308,1745,1525,1944,1873,1700,1308,1745,1525,1944,1992,1873,1239,1308,1255,1745,1525,1944,1992,1873,1239,1255,1745,1308,1873,1745,1992,1148,1255,1866,2103,1873,1745,NA,68
14,1122,1118,1624,1727,1419,1597,1298,1893,1457,1516,1792,1871,1847,1068,1428,NA,NA,NA,NA,NA,1122,1118,1624,1727,1419,1597,1298,1893,1457,1516,1122,1118,1624,1727,1419,1597,1298,1893,1457,1516,1624,1118,1727,1419,1122,1298,1457,1516,1624,1118,1727,1419,1122,1298,1457,1516,NA,NA,NA,NA,1298,1727,1419,1118,1457,1516,1298,1727,1419,1118,1457,1516,1122,1118,1727,1419,1624,1298,1516,1457,1122,1118,1419,1624,1298,1727,1122,1118,1298,1871,1893,1867,1776,1118,1298,NA,68
15,1493,1563,1582,1824,1578,1205,1244,1169,1092,1844,1629,1154,1397,1066,1449,NA,NA,NA,NA,NA,1629,1154,1397,1066,1449,1582,1563,1244,1824,1578,1629,1154,1397,1066,1449,1582,1563,1244,1824,1578,1582,1154,1066,1449,1629,1563,1824,1578,1493,1563,1578,1449,1629,1397,1092,1824,1154,1582,1066,1844,1563,1578,1449,1493,1092,1824,1563,1578,1449,1493,1092,1824,1563,1154,1066,1449,1582,1629,1824,1578,1563,1154,1066,1582,1629,1449,1154,1629,1066,1563,1397,2117,1672,1563,1154,NA,68
16,1577,1677,1703,1215,1690,1228,1229,1200,1678,1214,1311,1463,1696,1450,1133,NA,NA,NA,NA,NA,1200,1229,1703,1215,1677,1228,1463,1311,1577,1690,1200,1229,1703,1215,1690,1228,1463,1677,1577,1450,1703,1229,1215,1690,1200,1463,1678,1214,1463,1200,1678,1690,1229,1228,1215,1214,1677,1577,1450,NA,1463,1678,1690,1229,1215,1214,1463,1678,1690,1229,1215,1214,1703,1229,1215,1690,1200,1463,1678,1214,1703,1229,1690,1200,1463,1215,1703,1229,1215,1463,1311,2118,1872,1703,1463,NA,68
