id,name,position,league,team,season,gamesPlayed,timeOnIce,goals,assists,points,plusMinus,pim,ppGoals,ppAssists,ppPoints,ppTimeOnIce,shGoals,shAssists,shPoints,shTimeOnIce,gwg,faceoffs,faceoffWins,fights,fightWins,fightLosses,hits,giveaways,takeaways,shotsBlocked,shotsOnGoal,gameRating,offensiveGameRating,defensiveGameRating,advancedStats_PDO,advancedStats_GF60,advancedStats_GA60,advancedStats_SF60,advancedStats_SA60,advancedStats_CF,advancedStats_CA,advancedStats_CFPct,advancedStats_CFPctRel,advancedStats_FF,advancedStats_FA,advancedStats_FFPct,advancedStats_FFPctRel,pos,pos_broad
40,Corey Kennedy,LD,0,CHI,53,50,67869,6,18,24,3,47,2,8,10,11774,0,0,0,3242,NA,NA,NA,1,1,0,97,28,36,71,128,70,55,83,100.4,2.4,2.2,30,28.7,892,780,53.3,-1.3,636,592,51.8,-2,Defense,Defense
43,Jules Watt,LD,0,CHI,53,50,60318,2,5,7,-1,39,0,1,1,555,0,0,0,8572,NA,NA,NA,1,1,0,80,23,25,143,52,61,50,72,98,2.4,2.6,31.3,27,850,726,53.9,-0.4,631,540,53.9,1.2,Defense,Defense
44,Parker Smeb,RD,0,CHI,53,50,70179,7,21,28,-8,38,1,9,10,11695,0,2,2,8827,NA,NA,NA,0,0,0,47,24,26,111,97,64,54,71,97.4,2.1,2.8,28.1,27.5,801,710,53,-1.8,576,535,51.8,-1.8,Defense,Defense
47,Nick Connolly,LW,0,CHI,53,50,54216,6,9,15,-3,26,1,0,1,132,0,1,1,7380,NA,NA,NA,0,0,0,92,24,26,15,99,62,61,59,98,1.8,2.2,31.1,27.2,761,666,53.3,-1.3,567,497,53.3,0.3,Forward,Wing
48,Lallo Selman,RW,0,CHI,53,50,61504,16,24,40,-5,22,10,10,20,11466,0,1,1,3056,NA,NA,NA,0,0,0,24,24,13,37,145,64,65,61,97.8,2.1,2.5,29.8,26.8,802,661,54.8,0.9,562,506,52.6,-0.7,Forward,Wing
50,Kit Smeb,RW,0,CHI,53,50,49613,7,8,15,-8,14,0,0,0,417,0,0,0,927,NA,NA,NA,0,0,0,21,17,14,16,97,55,57,51,97.3,1.6,2.2,29.6,27,749,673,52.7,-2.2,558,508,52.3,-1.1,Forward,Wing
54,Martijn  Westbroek,C,0,CHI,53,50,62348,16,19,35,2,23,2,1,3,5397,0,0,0,4136,NA,NA,NA,1,0,1,38,36,29,40,150,67,71,69,99.1,3.2,3.1,32.4,28.6,919,775,54.3,0.1,662,578,53.4,0.5,Forward,Center
55,Daniel Smeb,C,0,CHI,53,50,62918,24,22,46,-6,36,10,11,21,11381,1,0,1,3713,NA,NA,NA,0,0,0,54,39,21,15,189,71,69,69,97.3,2.1,2.6,29.8,26.9,821,671,55,1.2,573,518,52.5,-0.8,Forward,Center
60,Jack Kennedy,LW,0,CHI,53,50,56949,11,26,37,2,20,0,2,2,4966,0,0,0,988,NA,NA,NA,0,0,0,25,32,18,27,119,61,65,56,98.6,3.2,3.1,33.9,28.3,923,749,55.2,1.6,657,556,54.2,1.7,Forward,Wing
61,Herb Robert,RW,0,CHI,53,50,56243,13,18,31,6,16,0,0,0,4876,0,0,0,323,NA,NA,NA,0,0,0,103,19,13,20,124,58,62,52,99.7,3.2,2.8,33.1,28.1,910,753,54.7,0.8,649,558,53.8,1.1,Forward,Wing
62,Cameron Carter II,LW,0,CHI,53,50,61704,12,25,37,-4,32,5,12,17,11549,0,1,1,3820,NA,NA,NA,0,0,0,160,34,12,30,151,66,69,59,98.2,2.2,2.5,29.2,27,787,648,54.8,0.9,550,500,52.4,-1,Forward,Wing
70,Tig Murphy,LD,0,HAM,53,50,67507,11,24,35,26,17,3,11,14,13111,0,0,0,2682,NA,NA,NA,1,0,1,84,9,40,61,185,78,65,88,102.2,2.9,1.1,38.4,20.6,1063,572,65,-0.9,783,414,65.4,-0.6,Defense,Defense
71,Akashi SixNine,LD,0,HAM,53,50,57433,9,29,38,42,33,3,3,6,4206,0,1,1,5747,NA,NA,NA,1,1,0,107,19,17,49,137,68,59,76,101.3,4.5,1.5,47.5,18.2,1148,481,70.5,7.4,847,347,70.9,7.7,Defense,Defense
74,Jax Duggan,RD,0,HAM,53,50,58237,5,14,19,31,14,0,0,0,445,0,0,0,5175,NA,NA,NA,0,0,0,76,5,20,64,122,58,52,62,102.9,3.1,1.1,38.6,20.7,1084,588,64.8,-1.1,799,425,65.3,-0.9,Defense,Defense
75,Gabriel Johnson,RD,0,HAM,53,50,63129,15,32,47,15,32,7,17,24,13299,0,0,0,2179,NA,NA,NA,0,0,0,74,23,27,69,179,68,70,63,99.2,3.9,2.6,39.5,25,923,591,61,-6.7,699,451,60.8,-7.4,Defense,Defense
76,Samuel Michaud,LD,0,HAM,53,50,60899,7,17,24,19,41,1,2,3,3172,0,0,0,7780,NA,NA,NA,1,0,1,126,33,27,53,93,63,53,71,99.5,3.8,2.5,40.1,25.2,976,632,60.7,-7.3,744,476,61,-7.4,Defense,Defense
78,Dale Miller,LW,0,HAM,53,50,59703,22,14,36,38,14,1,3,4,4257,0,1,1,6780,NA,NA,NA,0,0,0,42,22,20,20,145,63,66,58,102.8,4.5,1.8,41.3,21.8,1034,568,64.5,-1.6,758,418,64.5,-2.1,Forward,Wing
79,Jagger Fouquette,LW,0,HAM,53,50,52469,7,13,20,25,22,0,0,0,49,2,0,2,4638,NA,NA,NA,0,0,0,57,24,9,15,81,58,62,51,100,3.6,1.9,41.7,21.8,1015,532,65.6,0,754,394,65.7,-0.2,Forward,Wing
84,Robert Phelps,RW,0,HAM,53,50,62316,25,37,62,37,26,8,9,17,12704,0,0,0,645,NA,NA,NA,2,0,2,47,31,25,59,190,69,71,66,102.8,4.6,1.8,42.6,22.3,1045,564,64.9,-1,772,421,64.7,-1.7,Forward,Wing
86,Aaron Wilson,C,0,HAM,53,50,64768,21,36,57,26,40,4,22,26,12754,0,0,0,2111,NA,NA,NA,0,0,0,82,23,20,8,200,75,78,67,101.8,3.2,1.2,41.3,20.8,1071,552,66,0.6,799,406,66.3,0.7,Forward,Center
87,Skao Anazibf,C,0,HAM,53,50,59337,7,23,30,38,26,1,2,3,4535,0,2,2,4978,NA,NA,NA,0,0,0,32,27,17,8,122,62,65,56,102.2,4.4,1.8,41.8,21.7,1046,575,64.5,-1.6,774,423,64.7,-1.8,Forward,Center
98,Hugh Jazz,RW,0,HAM,53,50,55912,9,11,20,23,12,2,1,3,4483,0,0,0,2161,NA,NA,NA,0,0,0,29,17,22,16,103,60,63,55,100.2,3.1,1.5,41.2,19.8,1070,544,66.3,1.1,798,391,67.1,1.9,Forward,Wing
104,Andrei Petrikov,LW,0,TOR,53,50,47140,8,3,11,-50,32,0,0,0,130,0,0,0,17,NA,NA,NA,0,0,0,8,22,11,54,49,50,53,45,99.1,1.5,5.4,16.2,51.7,381,1280,22.9,-1.6,280,938,23,-2.2,Forward,Wing
108,Kalevi Karhunen,RD,0,TOR,53,50,58885,1,8,9,-53,25,0,0,0,509,0,0,0,8980,NA,NA,NA,0,0,0,86,13,25,104,24,54,50,55,97.2,1.2,5.1,16.4,49.3,406,1257,24.4,0.6,314,937,25.1,1,Defense,Defense
109,Donny McMaster,LD,0,TOR,53,50,53377,0,3,3,-50,27,0,0,0,567,0,0,0,4007,NA,NA,NA,1,0,1,44,11,10,85,30,56,49,62,96.9,1.1,4.9,15.9,48.4,394,1233,24.2,0.3,301,919,24.7,0.3,Defense,Defense
112,Joseph Laraque,LW,0,TOR,53,50,48865,5,4,9,-59,34,0,1,1,283,0,0,0,735,NA,NA,NA,0,0,0,60,25,19,38,46,50,53,46,96.2,1.1,5.6,15.2,49.7,346,1238,21.8,-3.2,266,919,22.4,-2.9,Forward,Wing
113,Lyndis Vakarian,RW,0,TOR,53,50,55833,4,7,11,-49,46,1,0,1,3869,0,1,1,3847,NA,NA,NA,0,0,0,18,8,16,88,45,55,54,54,99.3,1.5,5.2,16.2,52.1,387,1320,22.7,-2.1,286,967,22.8,-2.4,Forward,Wing
115,Cal Clucker,RD,0,TOR,53,50,56266,0,1,1,-57,26,0,0,0,3349,0,0,0,4621,NA,NA,NA,0,0,0,36,15,24,98,26,52,49,55,95.7,0.7,4.9,14.1,51.5,338,1279,20.9,-4.6,256,941,21.4,-4.5,Defense,Defense
118,Jan Zacha,C,0,TOR,53,50,59260,3,9,12,-64,20,1,1,2,4034,0,0,0,5240,NA,NA,NA,0,0,0,20,10,15,131,40,53,54,51,97.1,1.2,5.7,14.8,52.9,348,1335,20.7,-5,271,989,21.5,-4.4,Forward,Center
122,Mika Kandinsky,C,0,TOR,53,50,72056,14,18,32,-40,8,6,13,19,8965,0,0,0,8780,NA,NA,NA,0,0,0,16,26,46,131,115,75,65,79,99.1,1.3,4,16.8,45.4,481,1265,27.5,5.4,367,943,28,5.5,Forward,Center
130,Bobby Lane,RW,0,TOR,53,50,65265,12,23,35,-41,4,7,11,18,8908,0,0,0,2771,NA,NA,NA,0,0,0,2,15,23,46,113,63,65,58,98.8,1.4,4.2,17.3,45.1,485,1231,28.3,6.4,370,916,28.8,6.6,Forward,Wing
136,Andrej Doskocil,LD,0,MAN,53,50,64450,3,15,18,13,145,0,0,0,830,0,0,0,5041,NA,NA,NA,3,1,2,286,18,16,110,68,63,52,74,99.1,3.4,2.6,36.9,25.8,1079,740,59.3,0.6,793,565,58.4,-0.8,Defense,Defense
137,Reginald MacIntyre,LD,0,MAN,53,50,62362,6,18,24,22,49,0,1,1,2104,0,1,1,5583,NA,NA,NA,0,0,0,59,14,15,49,140,64,51,75,100.5,2.9,1.6,39.6,24.2,1108,676,62.1,5.1,843,494,63.1,6.7,Defense,Defense
142,David Vent,RD,0,MAN,53,50,69522,10,25,35,9,16,5,11,16,13041,0,0,0,1469,NA,NA,NA,0,0,0,24,19,21,59,204,64,65,62,99.3,2.8,1.8,40.2,23.9,1118,659,62.9,6.4,850,485,63.7,7.7,Defense,Defense
143,Barret McCarthy,RD,0,MAN,53,50,75794,9,28,37,16,15,2,4,6,8214,1,1,2,8387,NA,NA,NA,0,0,0,39,17,46,92,168,68,60,74,99.5,3.6,2.5,38,25.1,1108,732,60.2,2.1,820,564,59.2,0.6,Defense,Defense
144,Craig Finley,RD,0,MAN,53,50,44588,1,4,5,-17,8,0,0,0,815,0,1,1,7394,NA,NA,NA,0,0,0,87,15,7,70,53,54,51,55,93.6,1.3,3.3,30.9,30.9,601,561,51.7,-9.6,431,411,51.2,-10.1,Defense,Defense
145,Tokek Takshak,RD,0,SFP,53,50,46251,2,4,6,-2,20,0,0,0,0,1,0,1,3347,NA,NA,NA,0,0,0,55,11,6,31,49,53,50,54,98.9,2,2.3,30,30,675,664,50.4,-2.5,511,500,50.5,-2.1,Defense,Defense
146,Rainbow Dash,LW,0,MAN,53,50,53007,11,20,31,6,8,1,7,8,4437,0,0,0,592,NA,NA,NA,0,0,0,24,22,13,20,134,64,70,55,97.4,2.9,2.3,38.9,23.5,937,595,61.2,3.3,706,426,62.4,5.1,Forward,Wing
147,Luke Thomason,C,0,MAN,53,50,70877,22,35,57,-6,22,6,17,23,12337,2,1,3,6009,NA,NA,NA,0,0,0,60,25,29,46,240,76,75,73,96.8,2.5,2.8,38,29.1,1001,699,58.9,-0.1,760,545,58.2,-1,Forward,Center
148,David Kastrba,LW,0,MAN,53,50,58656,4,13,17,-14,18,0,0,0,3839,0,1,1,7358,NA,NA,NA,0,0,0,61,20,18,40,86,67,67,63,95,1.9,2.9,33.2,26.9,836,641,56.6,-3.4,605,484,55.6,-4.8,Forward,Wing
152,Goku Muerto,C,0,WPG,53,50,70433,20,31,51,-5,26,10,14,24,10222,0,0,0,2983,NA,NA,NA,0,0,0,6,37,21,47,192,75,77,80,102.1,2.2,2.5,24.6,37,732,1073,40.6,-1.2,529,805,39.7,-2.5,Forward,Center
153,Jax Aittokallio,C,0,MAN,53,50,66513,20,23,43,21,18,4,7,11,5206,0,0,0,7812,NA,NA,NA,0,0,0,31,29,29,53,196,77,74,76,100.4,3.4,1.9,40.7,24.1,1079,693,60.9,3.1,799,494,61.8,4.6,Forward,Center
155,Derek Bohne Jr.,LD,0,MAN,53,50,36443,0,4,4,-17,22,0,0,0,203,0,1,1,2149,NA,NA,NA,0,0,0,35,11,12,28,17,53,49,55,93.9,1.3,3.3,30.1,31.8,551,548,50.1,-11.5,396,396,50,-11.5,Defense,Defense
160,Alex Winters,LW,0,MAN,53,50,63781,14,24,38,12,10,6,5,11,12436,0,0,0,519,NA,NA,NA,0,0,0,31,22,18,18,153,68,70,65,100.6,3.3,2.1,38.5,25.4,988,633,61,3.1,730,475,60.6,2.6,Forward,Wing
163,Phineas Gold,RW,0,MAN,53,50,55368,18,15,33,21,8,6,4,10,4159,0,0,0,531,NA,NA,NA,0,0,0,58,28,6,29,121,58,63,52,100.8,3.3,1.8,40.6,23.9,1031,650,61.3,3.7,760,460,62.3,5.2,Forward,Wing
170,Perry Morgan,LD,0,NEW,53,50,63941,5,12,17,20,18,0,0,0,334,0,0,0,5126,NA,NA,NA,0,0,0,171,25,18,90,74,66,54,76,98.8,2.9,1.7,38,19.6,1177,627,65.2,1.8,835,440,65.5,2.3,Defense,Defense
171,Maximilian Egger,LD,0,NEW,53,50,54051,7,24,31,39,27,5,12,17,12358,0,0,0,1209,NA,NA,NA,1,0,1,44,13,16,50,151,71,64,76,107.6,4.3,0.7,39.1,21.8,819,470,63.5,-0.8,622,359,63.4,-0.8,Defense,Defense
172,Ensio Kalju,LD,0,NEW,53,50,63877,6,18,24,31,36,0,1,1,3339,0,2,2,3713,NA,NA,NA,0,0,0,71,47,26,55,94,62,52,70,101.2,3.7,1.9,40.2,23.6,1142,662,63.3,-1.3,837,498,62.7,-2,Defense,Defense
174,Dylan Karlsson,RD,0,NEW,53,50,41785,0,12,12,38,26,0,0,0,245,0,0,0,759,NA,NA,NA,0,0,0,49,9,13,14,56,54,52,54,107.1,4.1,0.8,38.6,21.8,813,470,63.4,-1,620,359,63.3,-0.9,Defense,Defense
175,Guy Zheng,RD,0,NEW,53,50,66599,5,24,29,24,20,0,1,1,3477,1,1,2,3940,NA,NA,NA,0,0,0,39,15,43,105,153,72,68,72,99.3,2.9,1.6,39.1,20,1209,638,65.5,2.2,865,448,65.9,3,Defense,Defense
178,Eko van Otter,LW,0,NEW,53,50,60532,26,30,56,39,18,3,1,4,4651,0,0,0,343,NA,NA,NA,0,0,0,32,36,16,37,198,69,77,57,102.8,3.9,1.4,39.8,19.6,1131,587,65.8,2.6,819,432,65.5,2.3,Forward,Wing
179,Dick Clapper,LW,0,NEW,53,50,71022,18,35,53,46,6,2,13,15,11460,1,0,1,3661,NA,NA,NA,0,0,0,65,24,25,10,188,72,76,65,104.4,4,1,43,21,1219,629,66,3,905,465,66.1,3.4,Forward,Wing
181,Rafe Ulrich,LW,0,NEW,53,50,49310,7,21,28,9,20,0,0,0,310,0,2,2,5137,NA,NA,NA,0,0,0,31,25,12,14,93,59,60,56,99.5,2.8,2.2,33.2,24.9,762,527,59.1,-6.8,557,388,58.9,-6.8,Forward,Wing
184,Boris Poroshenko,C,0,NEW,53,50,62247,12,27,39,39,29,1,3,4,4501,0,0,0,3187,NA,NA,NA,1,0,1,128,31,9,16,107,66,68,59,102.6,3.9,1.4,39.9,19.4,1113,580,65.7,2.5,810,424,65.6,2.5,Forward,Center
185,Slap McShotty,C,0,NEW,53,50,66585,18,41,59,39,2,8,17,25,11228,0,0,0,351,NA,NA,NA,0,0,0,49,27,12,16,172,69,71,63,103.5,3.7,1.1,42.5,20.9,1213,624,66,3.1,889,459,65.9,3.2,Forward,Center
189,Gordie Boomhover,RW,0,NEW,53,50,41380,11,8,19,6,8,0,0,0,85,0,0,0,172,NA,NA,NA,0,0,0,80,17,3,2,82,54,58,48,98.8,2.8,2.3,34.6,24.6,737,493,59.9,-5.6,539,361,59.9,-5.5,Forward,Wing
191,Ola Wagstrom,RW,0,NEW,53,50,68288,42,26,68,40,10,17,10,27,11421,0,0,0,485,NA,NA,NA,0,0,0,38,30,25,36,283,74,75,71,103.5,3.7,1.1,42.7,20.8,1226,635,65.9,2.9,910,466,66.1,3.5,Forward,Wing
192,Manuel Gotze,LW,0,TEX,53,50,68910,11,26,37,-41,36,4,7,11,7677,0,0,0,3154,NA,NA,NA,0,0,0,132,24,29,99,135,73,67,73,96.2,1.5,4,24.5,39.2,729,1160,38.6,5,540,858,38.6,5.1,Forward,Wing
193,Anders Christiansen,RW,0,NEW,53,50,64352,18,30,48,39,19,0,3,3,4230,1,0,1,5442,NA,NA,NA,0,0,0,34,21,25,16,158,65,69,58,102.8,3.8,1.4,39.2,20,1103,592,65.1,1.5,794,438,64.4,0.7,Forward,Wing
202,Miikka Salo,LD,0,TBB,53,50,55245,1,8,9,-15,16,0,0,0,217,0,0,0,3707,NA,NA,NA,0,0,0,35,4,19,1,18,55,51,58,103,2.3,3.4,20.5,40.5,575,1068,35,0.5,406,798,33.7,-1.5,Defense,Defense
203,Anastasia O'Koivu,RW,0,MAN,53,50,53076,6,16,22,-8,24,0,3,3,6424,0,0,0,463,NA,NA,NA,0,0,0,94,22,15,16,96,60,62,55,96.7,2.3,2.6,31.6,25.3,777,604,56.3,-3.8,566,448,55.8,-4.3,Forward,Wing
205,Nikolai Evans,LD,0,TBB,53,50,65782,7,8,15,-15,16,0,2,2,3230,0,1,1,10562,NA,NA,NA,0,0,0,96,18,37,173,80,72,53,87,100.9,2.1,3.2,21.9,35.6,597,940,38.8,6.1,440,682,39.2,6.7,Defense,Defense
207,Joln DuBolk,RD,0,TBB,53,50,64689,4,6,10,-15,26,1,0,1,3251,0,0,0,10090,NA,NA,NA,0,0,0,57,9,16,103,33,56,51,61,100.6,2.1,3.2,22.3,35.9,602,935,39.2,6.6,441,680,39.3,6.8,Defense,Defense
209,Kristaps Ball,LD,0,WKP,53,50,71926,4,15,19,-13,10,2,8,10,11865,0,0,0,5473,NA,NA,NA,0,0,0,10,35,26,147,107,62,54,68,100.6,1.8,2.7,22.9,36.2,654,1059,38.2,-1.5,488,757,39.2,-0.8,Defense,Defense
211,Anthony Archer,LW,0,TBB,53,50,57527,6,13,19,-28,22,0,3,3,3695,0,1,1,4714,NA,NA,NA,0,0,0,33,14,9,12,57,51,55,46,99.2,1.7,3.7,18.9,38.4,490,1012,32.6,-3,345,711,32.7,-2.9,Forward,Wing
212,Nolan Sawchuk,RW,0,TBB,53,50,68115,13,17,30,-8,44,3,5,8,9476,0,1,1,9388,NA,NA,NA,0,0,0,63,25,24,83,112,66,62,67,101.8,2,2.5,23.8,36.5,655,975,40.2,8.3,490,699,41.2,9.9,Forward,Wing
216,Flacko Lagerfield,LW,0,HAM,53,50,63262,34,37,71,21,20,18,10,28,12666,0,0,0,701,NA,NA,NA,0,0,0,36,22,28,25,273,75,83,62,100.1,3.1,1.5,41.6,20.5,1072,559,65.7,0.2,799,406,66.3,0.7,Forward,Wing
219,Matt Kholin,C,0,TBB,53,50,65510,15,24,39,-13,32,5,7,12,9322,0,0,0,4118,NA,NA,NA,0,0,0,63,28,14,81,139,65,67,62,101.3,2.2,2.9,23.9,36.4,703,1043,40.3,8.8,520,749,41,9.9,Forward,Center
220,Nickolas Klaus,C,0,WKP,53,50,76854,15,20,35,-21,54,3,6,9,10980,1,0,1,6832,NA,NA,NA,0,0,0,78,34,23,107,153,65,65,61,99.6,1.8,3,24.6,39,739,1168,38.8,-0.7,563,862,39.5,-0.3,Forward,Center
226,Austin Roenick,LW,0,MAN,53,50,62618,25,20,45,-8,12,10,6,16,12525,0,0,0,244,NA,NA,NA,0,0,0,27,39,8,12,183,62,67,57,97.2,2.7,2.8,37.9,28.6,947,656,59.1,0.2,720,511,58.5,-0.6,Forward,Wing
227,Gunnar Soderberg,RW,0,TBB,53,50,66200,13,15,28,-31,16,1,1,2,9956,1,0,1,4984,NA,NA,NA,0,0,0,39,24,15,95,92,68,61,73,99.3,1.8,3.9,19.6,38.6,522,1040,33.4,-1.9,379,742,33.8,-1.3,Forward,Wing
228,Olivier Cloutier,LW,0,TBB,53,50,60071,11,19,30,-17,18,2,10,12,9413,0,0,0,1119,NA,NA,NA,0,0,0,15,39,13,77,127,65,67,65,100.1,1.9,2.9,23.9,37.4,658,999,39.7,7.7,491,725,40.4,8.7,Forward,Wing
236,Rex Kirkby,RD,0,NEW,53,50,74227,9,28,37,30,18,3,11,14,12821,0,0,0,5304,NA,NA,NA,0,0,0,78,15,43,90,181,68,60,74,101.7,3.8,1.8,39.7,22.8,1118,644,63.5,-1,815,485,62.7,-2,Defense,Defense
237,Nat Emerson,LD,0,WKP,53,50,78844,3,21,24,-10,22,0,3,3,6261,0,1,1,9413,NA,NA,NA,0,0,0,131,20,40,159,82,77,55,89,101.3,2.3,2.9,25.5,36.9,776,1176,39.8,1.1,593,872,40.5,1.4,Defense,Defense
242,Sanyi Kocsis,LD,0,TOR,53,50,70697,6,15,21,-38,24,0,5,5,9328,0,0,0,9083,NA,NA,NA,0,0,0,23,19,19,85,64,64,53,74,101.9,2,4.6,17.2,47.4,462,1293,26.3,3.5,347,952,26.7,3.5,Defense,Defense
243,Ethan Ross,LW,0,WKP,53,50,81778,11,27,38,-5,50,4,12,16,11779,0,1,1,8311,NA,NA,NA,0,0,0,85,35,34,120,151,71,67,73,102.3,2.3,2.5,25.7,36.8,751,1143,39.7,0.9,579,856,40.3,1.1,Forward,Wing
251,Dayymo Ralchankinov,LW,0,WKP,53,50,56058,10,13,23,-8,20,0,2,2,4849,0,0,0,1342,NA,NA,NA,0,0,0,8,42,9,66,100,60,59,60,102.1,2.2,2.7,22.8,37.2,595,964,38.2,-1.5,424,702,37.7,-3.1,Forward,Wing
252,Shouta Aizawa,RW,0,MIN,53,48,40959,7,5,12,-2,26,0,0,0,106,1,0,1,4112,NA,NA,NA,0,0,0,49,28,14,16,64,60,54,63,103.1,2.1,2.4,21.1,35.2,402,685,37,0.2,290,487,37.3,0.7,Forward,Wing
253,Dean Colt III,LW,0,WKP,53,50,38279,3,5,8,-3,34,0,0,0,96,0,1,1,4898,NA,NA,NA,0,0,0,56,12,11,38,40,54,53,54,101.1,2.1,2.5,23,31.7,403,562,41.8,3.3,295,391,43,4.1,Forward,Wing
258,Gabriel Wong,RW,0,WKP,53,50,40447,2,9,11,-2,28,0,0,0,449,0,1,1,5110,NA,NA,NA,0,0,0,86,11,23,30,41,55,53,56,101.9,2.3,2.6,22.7,32,417,565,42.5,4.2,301,402,42.8,3.9,Forward,Wing
262,Petr Mikulak,LW,0,WKP,53,50,61432,9,15,24,-25,38,4,0,4,4784,0,0,0,777,NA,NA,NA,0,0,0,55,33,12,44,107,62,64,60,98.6,2.1,3.7,24.5,37,708,1093,39.3,0.3,525,787,40,0.5,Forward,Wing
269,Prince Devitt,RD,0,CGY,53,50,50913,6,6,12,-3,38,0,0,0,343,0,0,0,2843,NA,NA,NA,0,0,0,135,18,10,19,73,53,52,53,97.4,2.1,2.3,34.8,26.9,852,656,56.5,-5.5,623,486,56.2,-5.2,Defense,Defense
270,Oliver Klozoff,LD,0,CGY,53,50,54536,2,7,9,0,14,0,0,0,131,0,0,0,7494,NA,NA,NA,0,0,0,26,22,21,102,59,60,51,68,97.8,2.3,2.4,34.3,26.7,829,641,56.4,-5.5,603,477,55.8,-5.6,Defense,Defense
271,Brennan Kennedy Jr.,LD,0,CGY,53,50,69072,15,32,47,33,34,3,11,14,12885,1,0,1,4846,NA,NA,NA,0,0,0,43,14,29,58,190,74,63,84,101.5,4.1,2,39.2,21.6,1014,528,65.8,8.3,767,417,64.8,7.6,Defense,Defense
