position,id,name,location,abbreviation,gp,wins,losses,OTL,points,winPercent,ROW,goalsFor,goalsAgainst,goalDiff,home_wins,home_losses,home_OTL,away_wins,away_losses,away_OTL,shootout_wins,shootout_losses,season
8,14,New Orleans Specters,New Orleans,NOL,50,28,15,7,63,0.630,24,148,119,29,12,10,3,16,5,4,4,2,56
9,18,Atlanta Inferno,Atlanta,ATL,50,25,22,3,53,0.530,25,175,153,22,14,8,3,11,14,0,0,3,56
10,5,New England Wolfpack,New England,NEW,50,25,23,2,52,0.520,23,136,163,-27,15,9,1,10,14,1,2,1,56
11,13,Los Angeles Panthers,Los Angeles,LAP,50,24,22,4,52,0.520,21,109,135,-26,15,7,3,9,15,1,3,3,56
12,11,Winnipeg Jets,Winnipeg,WPG,50,21,26,3,45,0.450,21,127,167,-40,10,14,1,11,12,2,0,1,56
13,3,Toronto North Stars,Toronto,TOR,50,19,28,3,41,0.410,17,118,156,-38,11,12,2,8,16,1,2,2,56
14,19,Seattle Argonauts,Seattle,SEA,50,17,29,4,38,0.380,16,113,156,-43,10,14,1,7,15,3,1,3,56
15,10,Minnesota Monarchs,Minnesota,MIN,50,16,32,2,34,0.340,14,104,177,-73,12,12,1,4,20,1,2,1,56
16,6,Tampa Bay Barracuda,Tampa Bay,TBB,50,11,37,2,24,0.240,9,78,223,-145,5,18,2,6,19,0,2,1,56
17,7,Baltimore Platoon,Baltimore,BAP,50,10,37,3,23,0.230,6,87,193,-106,8,17,0,2,20,3,4,2,56
18,12,San Francisco Pride,San Francisco,SFP,50,4,42,4,12,0.120,2,71,243,-172,1,21,3,3,21,1,2,2,56
1,2,Hamilton Steelhawks,Hamilton,HAM,66,53,9,4,110,0.833,52,283,147,136,30,1,2,23,8,2,1,4,57
2,1,Chicago Syndicate,Chicago,CHI,66,51,12,3,105,0.795,44,280,142,138,28,3,2,23,9,1,7,2,57
3,0,Buffalo Stampede,Buffalo,BUF,66,50,13,3,103,0.780,46,254,148,106,28,4,1,22,9,2,4,2,57
4,9,Edmonton Blizzard,Edmonton,EDM,66,45,16,5,95,0.720,43,266,184,82,25,5,3,20,11,2,2,4,57
5,8,Calgary Dragons,Calgary,CGY,66,44,19,3,91,0.689,42,237,157,80,25,7,1,19,12,2,2,3,57
6,15,Texas Renegades,Texas,TEX,66,44,20,2,90,0.682,42,244,161,83,25,7,1,19,13,1,2,2,57
7,4,Manhattan Rage,Manhattan,MAN,66,42,20,4,88,0.667,40,252,171,81,24,5,4,18,15,0,2,2,57
8,13,Los Angeles Panthers,Los Angeles,LAP,66,36,22,8,80,0.606,33,193,176,17,22,6,5,14,16,3,3,7,57
9,11,Winnipeg Jets,Winnipeg,WPG,66,37,26,3,77,0.583,32,195,173,22,21,10,2,16,16,1,5,1,57
10,3,Toronto North Stars,Toronto,TOR,66,34,26,6,74,0.561,32,192,181,11,20,10,3,14,16,3,2,3,57
11,18,Atlanta Inferno,Atlanta,ATL,66,27,33,6,60,0.455,24,199,223,-24,15,15,3,12,18,3,3,2,57
12,5,New England Wolfpack,New England,NEW,66,24,37,5,53,0.402,21,180,231,-51,13,20,0,11,17,5,3,4,57
13,14,New Orleans Specters,New Orleans,NOL,66,22,41,3,47,0.356,19,137,221,-84,12,18,3,10,23,0,3,2,57
14,19,Seattle Argonauts,Seattle,SEA,66,22,42,2,46,0.348,21,138,219,-81,14,19,0,8,23,2,1,0,57
15,10,Minnesota Monarchs,Minnesota,MIN,66,21,42,3,45,0.341,20,163,234,-71,10,20,3,11,22,0,1,1,57
16,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,17,46,3,37,0.280,16,125,295,-170,13,20,0,4,26,3,1,2,57
17,7,Baltimore Platoon,Baltimore,BAP,66,13,48,5,31,0.235,13,112,246,-134,8,21,4,5,27,1,0,3,57
18,12,San Francisco Pride,San Francisco,SFP,66,12,53,1,25,0.189,9,113,254,-141,8,25,0,4,28,1,3,1,57
1,15,Texas Renegades,Texas,TEX,66,54,11,1,109,0.826,51,283,136,147,28,5,0,26,6,1,3,1,58
2,2,Hamilton Steelhawks,Hamilton,HAM,66,50,13,3,103,0.780,48,261,169,92,24,7,2,26,6,1,2,3,58
3,3,Toronto North Stars,Toronto,TOR,66,46,14,6,98,0.742,43,240,159,81,21,7,5,25,7,1,3,2,58
4,8,Calgary Dragons,Calgary,CGY,66,44,19,3,91,0.689,42,239,158,81,26,7,0,18,12,3,2,2,58
5,0,Buffalo Stampede,Buffalo,BUF,66,42,18,6,90,0.682,42,253,134,119,23,8,2,19,10,4,0,6,58
6,1,Chicago Syndicate,Chicago,CHI,66,42,20,4,88,0.667,40,240,130,110,21,9,3,21,11,1,2,1,58
7,9,Edmonton Blizzard,Edmonton,EDM,66,42,21,3,87,0.659,38,267,204,63,23,8,2,19,13,1,4,2,58
8,4,Manhattan Rage,Manhattan,MAN,66,34,26,6,74,0.561,32,217,198,19,18,12,3,16,14,3,2,4,58
9,13,Los Angeles Panthers,Los Angeles,LAP,66,29,31,6,64,0.485,25,198,222,-24,17,12,4,12,19,2,4,6,58
10,18,Atlanta Inferno,Atlanta,ATL,66,30,34,2,62,0.470,26,212,225,-13,15,16,2,15,18,0,4,0,58
11,7,Baltimore Platoon,Baltimore,BAP,66,27,34,5,59,0.447,24,181,241,-60,15,15,3,12,19,2,3,3,58
12,11,Winnipeg Aurora,Winnipeg,WPG,66,26,37,3,55,0.417,24,170,208,-38,19,13,1,7,24,2,2,3,58
13,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,26,38,2,54,0.409,22,181,240,-59,15,18,0,11,20,2,4,0,58
14,5,New England Wolfpack,New England,NEW,66,25,37,4,54,0.409,18,149,240,-91,14,17,2,11,20,2,7,2,58
15,10,Minnesota Monarchs,Minnesota,MIN,66,23,36,7,53,0.402,20,153,222,-69,15,13,5,8,23,2,3,3,58
16,19,Seattle Argonauts,Seattle,SEA,66,24,38,4,52,0.394,21,164,235,-71,18,13,2,6,25,2,3,2,58
17,12,San Francisco Pride,San Francisco,SFP,66,20,40,6,46,0.348,19,158,263,-105,14,16,3,6,24,3,1,6,58
18,14,New Orleans Specters,New Orleans,NOL,66,10,50,6,26,0.197,9,135,317,-182,9,23,1,1,27,5,1,4,58
1,2,Hamilton Steelhawks,Hamilton,HAM,66,56,9,1,113,0.856,56,308,145,163,29,3,1,27,6,0,0,0,59
2,0,Buffalo Stampede,Buffalo,BUF,66,50,13,3,103,0.780,46,305,172,133,26,6,1,24,7,2,4,2,59
3,15,Texas Renegades,Texas,TEX,66,49,15,2,100,0.758,49,272,141,131,28,5,0,21,10,2,0,2,59
4,1,Chicago Syndicate,Chicago,CHI,66,49,15,2,100,0.758,47,264,151,113,26,6,1,23,9,1,2,2,59
5,3,Toronto North Stars,Toronto,TOR,66,44,17,5,93,0.705,40,243,176,67,23,8,2,21,9,3,4,3,59
6,8,Calgary Dragons,Calgary,CGY,66,42,20,4,88,0.667,37,228,184,44,23,9,1,19,11,3,5,3,59
7,19,Seattle Argonauts,Seattle,SEA,66,35,27,4,74,0.561,34,203,170,33,18,13,2,17,14,2,1,1,59
8,9,Edmonton Blizzard,Edmonton,EDM,66,34,26,6,74,0.561,32,226,204,22,18,11,4,16,15,2,2,4,59
9,13,Los Angeles Panthers,Los Angeles,LAP,66,31,27,8,70,0.530,27,205,209,-4,12,17,4,19,10,4,4,5,59
10,10,Minnesota Monarchs,Minnesota,MIN,66,30,34,2,62,0.470,26,164,226,-62,15,16,2,15,18,0,4,1,59
11,12,San Francisco Pride,San Francisco,SFP,66,26,35,5,57,0.432,23,158,223,-65,12,17,4,14,18,1,3,2,59
12,18,Atlanta Inferno,Atlanta,ATL,66,25,35,6,56,0.424,22,213,251,-38,13,17,3,12,18,3,3,5,59
13,11,Winnipeg Aurora,Winnipeg,WPG,66,25,37,4,54,0.409,22,152,230,-78,15,14,4,10,23,0,3,2,59
14,7,Baltimore Platoon,Baltimore,BAP,66,23,39,4,50,0.379,20,177,259,-82,16,15,2,7,24,2,3,3,59
15,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,20,38,8,48,0.364,18,185,227,-42,11,17,5,9,21,3,2,4,59
16,5,New England Wolfpack,New England,NEW,66,22,41,3,47,0.356,21,171,246,-75,15,16,2,7,25,1,1,1,59
17,4,Manhattan Rage,Manhattan,MAN,66,21,41,4,46,0.348,17,148,248,-100,11,20,2,10,21,2,4,3,59
18,14,New Orleans Specters,New Orleans,NOL,66,12,49,5,29,0.220,12,125,285,-160,7,24,2,5,25,3,0,2,59
1,0,Buffalo Stampede,Buffalo,BUF,66,51,10,5,107,0.811,48,306,166,140,26,5,2,25,5,3,3,2,60
2,2,Hamilton Steelhawks,Hamilton,HAM,66,49,15,2,100,0.758,46,305,164,141,29,3,1,20,12,1,3,1,60
3,7,Baltimore Platoon,Baltimore,BAP,66,47,17,2,96,0.727,43,226,169,57,27,5,1,20,12,1,4,2,60
4,1,Chicago Syndicate,Chicago,CHI,66,45,19,2,92,0.697,41,267,175,92,27,5,1,18,14,1,4,1,60
5,3,Toronto North Stars,Toronto,TOR,66,42,18,6,90,0.682,41,230,174,56,23,5,5,19,13,1,1,4,60
6,15,Texas Renegades,Texas,TEX,66,43,19,4,90,0.682,40,240,162,78,22,9,2,21,10,2,3,2,60
7,8,Calgary Dragons,Calgary,CGY,66,38,21,7,83,0.629,38,235,173,62,20,12,1,18,9,6,0,5,60
8,13,Los Angeles Panthers,Los Angeles,LAP,66,39,24,3,81,0.614,37,255,210,45,23,10,0,16,14,3,2,2,60
9,9,Edmonton Blizzard,Edmonton,EDM,66,34,26,6,74,0.561,31,229,219,10,18,10,5,16,16,1,3,4,60
10,18,Atlanta Inferno,Atlanta,ATL,66,34,27,5,73,0.553,29,208,186,22,19,11,3,15,16,2,5,3,60
11,19,Seattle Argonauts,Seattle,SEA,66,31,26,9,71,0.538,30,223,220,3,22,8,3,9,18,6,1,7,60
12,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,29,31,6,64,0.485,26,209,203,6,18,12,3,11,19,3,3,4,60
13,10,Minnesota Monarchs,Minnesota,MIN,66,29,31,6,64,0.485,23,164,216,-52,18,13,2,11,18,4,6,4,60
14,21,Philadelphia Forge,Philadelphia,PHI,66,30,33,3,63,0.477,27,198,217,-19,19,13,1,11,20,2,3,2,60
15,5,New England Wolfpack,New England,NEW,66,27,31,8,62,0.470,24,198,233,-35,16,13,4,11,18,4,3,4,60
16,20,Montreal Patriotes,Montreal,MTL,66,22,39,5,49,0.371,21,192,264,-72,11,18,4,11,21,1,1,2,60
17,12,San Francisco Pride,San Francisco,SFP,66,20,41,5,45,0.341,17,146,255,-109,12,19,2,8,22,3,3,0,60
18,4,Manhattan Rage,Manhattan,MAN,66,19,45,2,40,0.303,16,161,277,-116,9,23,1,10,22,1,3,1,60
19,11,Winnipeg Aurora,Winnipeg,WPG,66,17,44,5,39,0.295,16,124,258,-134,11,19,3,6,25,2,1,4,60
20,14,New Orleans Specters,New Orleans,NOL,66,14,50,2,30,0.227,11,138,313,-175,10,22,1,4,28,1,3,1,60
1,2,Hamilton Steelhawks,Hamilton,HAM,66,57,8,1,115,0.871,54,315,141,174,30,3,0,27,5,1,3,0,61
2,15,Texas Renegades,Texas,TEX,66,49,15,2,100,0.758,46,268,161,107,27,6,0,22,9,2,3,0,61
3,7,Baltimore Platoon,Baltimore,BAP,66,49,15,2,100,0.758,42,265,166,99,27,6,0,22,9,2,7,2,61
4,0,Buffalo Stampede,Buffalo,BUF,66,46,16,4,96,0.727,44,267,150,117,30,1,2,16,15,2,2,3,61
5,1,Chicago Syndicate,Chicago,CHI,66,42,23,1,85,0.644,41,261,165,96,25,8,0,17,15,1,1,1,61
6,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,38,23,5,81,0.614,35,223,186,37,20,12,1,18,11,4,3,3,61
7,5,New England Wolfpack,New England,NEW,66,36,24,6,78,0.591,35,231,193,38,21,9,3,15,15,3,1,4,61
8,9,Edmonton Blizzard,Edmonton,EDM,66,36,28,2,74,0.561,33,210,222,-12,25,7,1,11,21,1,3,1,61
9,8,Calgary Dragons,Calgary,CGY,66,34,26,6,74,0.561,29,206,201,5,19,11,3,15,15,3,5,4,61
10,3,Toronto North Stars,Toronto,TOR,66,33,29,4,70,0.530,31,209,197,12,16,14,3,17,15,1,2,3,61
11,21,Philadelphia Forge,Philadelphia,PHI,66,30,27,9,69,0.523,29,199,197,2,17,13,3,13,14,6,1,5,61
12,18,Atlanta Inferno,Atlanta,ATL,66,32,30,4,68,0.515,29,198,214,-16,19,13,1,13,17,3,3,2,61
13,13,Los Angeles Panthers,Los Angeles,LAP,66,31,29,6,68,0.515,29,202,236,-34,16,15,2,15,14,4,2,1,61
14,19,Seattle Argonauts,Seattle,SEA,66,31,30,5,67,0.508,29,217,220,-3,18,14,1,13,16,4,2,2,61
15,10,Minnesota Monarchs,Minnesota,MIN,66,30,30,6,66,0.500,30,192,197,-5,15,14,4,15,16,2,0,4,61
16,12,San Francisco Pride,San Francisco,SFP,66,28,31,7,63,0.477,27,197,196,1,15,13,5,13,18,2,1,4,61
17,14,New Orleans Specters,New Orleans,NOL,66,26,37,3,55,0.417,20,165,260,-95,16,16,1,10,21,2,6,2,61
18,20,Montreal Patriotes,Montreal,MTL,66,20,40,6,46,0.348,18,159,234,-75,11,19,3,9,21,3,2,5,61
19,4,Manhattan Rage,Manhattan,MAN,66,9,56,1,19,0.144,8,98,301,-203,4,29,0,5,27,1,1,1,61
20,11,Winnipeg Aurora,Winnipeg,WPG,66,3,58,5,11,0.083,1,100,345,-245,3,26,4,0,32,1,2,3,61
1,1,Chicago Syndicate,Chicago,CHI,66,56,5,5,117,0.886,55,315,140,175,27,3,3,29,2,2,1,4,62
2,7,Baltimore Platoon,Baltimore,BAP,66,52,12,2,106,0.803,47,272,152,120,26,6,1,26,6,1,5,1,62
3,15,Texas Renegades,Texas,TEX,66,49,12,5,103,0.780,44,266,145,121,20,9,4,29,3,1,5,3,62
4,0,Buffalo Stampede,Buffalo,BUF,66,50,16,0,100,0.758,47,302,187,115,25,8,0,25,8,0,3,0,62
5,2,Hamilton Steelhawks,Hamilton,HAM,66,46,13,7,99,0.750,46,294,155,139,26,4,3,20,9,4,0,5,62
6,13,Los Angeles Panthers,Los Angeles,LAP,66,42,22,2,86,0.652,37,243,189,54,23,9,1,19,13,1,5,1,62
7,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,39,22,5,83,0.629,33,214,183,31,22,9,2,17,13,3,6,3,62
8,8,Calgary Dragons,Calgary,CGY,66,36,23,7,79,0.598,30,219,216,3,18,12,3,18,11,4,6,4,62
9,5,New England Wolfpack,New England,NEW,66,36,25,5,77,0.583,33,252,198,54,18,12,3,18,13,2,3,4,62
10,21,Philadelphia Forge,Philadelphia,PHI,66,32,25,9,73,0.553,31,231,199,32,18,12,3,14,13,6,1,5,62
11,3,Toronto North Stars,Toronto,TOR,66,32,29,5,69,0.523,28,195,177,18,15,16,2,17,13,3,4,2,62
12,19,Seattle Argonauts,Seattle,SEA,66,30,29,7,67,0.508,27,214,214,0,15,15,3,15,14,4,3,5,62
13,18,Atlanta Inferno,Atlanta,ATL,66,28,28,10,66,0.500,21,198,235,-37,13,16,4,15,12,6,7,8,62
14,12,San Francisco Pride,San Francisco,SFP,66,30,32,4,64,0.485,29,202,223,-21,17,14,2,13,18,2,1,4,62
15,10,Minnesota Monarchs,Minnesota,MIN,66,31,34,1,63,0.477,29,208,243,-35,16,16,1,15,18,0,2,1,62
16,9,Edmonton Blizzard,Edmonton,EDM,66,24,37,5,53,0.402,23,209,253,-44,13,19,1,11,18,4,1,4,62
17,14,New Orleans Specters,New Orleans,NOL,66,20,41,5,45,0.341,17,173,234,-61,9,21,3,11,20,2,3,4,62
18,20,Montreal Patriotes,Montreal,MTL,66,11,52,3,25,0.189,9,114,330,-216,7,25,1,4,27,2,2,1,62
19,4,Manhattan Rage,Manhattan,MAN,66,11,53,2,24,0.182,10,121,310,-189,6,25,2,5,28,0,1,1,62
20,11,Winnipeg Aurora,Winnipeg,WPG,66,5,60,1,11,0.083,3,95,354,-259,2,30,1,3,30,0,2,1,62
1,7,Baltimore Platoon,Baltimore,BAP,66,54,11,1,109,0.826,50,308,149,159,29,3,1,25,8,0,4,0,63
2,2,Hamilton Steelhawks,Hamilton,HAM,66,50,13,3,103,0.780,49,275,140,135,26,5,2,24,8,1,1,2,63
3,15,Texas Renegades,Texas,TEX,66,48,14,4,100,0.758,45,258,125,133,24,6,3,24,8,1,3,3,63
4,1,Chicago Syndicate,Chicago,CHI,66,47,16,3,97,0.735,45,255,150,105,23,9,1,24,7,2,2,3,63
5,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,48,17,1,97,0.735,41,243,158,85,23,10,0,25,7,1,7,0,63
6,19,Seattle Argonauts,Seattle,SEA,66,43,17,6,92,0.697,40,235,166,69,20,10,3,23,7,3,3,4,63
7,12,San Francisco Pride,San Francisco,SFP,66,40,21,5,85,0.644,39,252,186,66,19,13,1,21,8,4,1,2,63
8,0,Buffalo Stampede,Buffalo,BUF,66,38,21,7,83,0.629,33,210,177,33,25,7,1,13,14,6,5,5,63
9,18,Atlanta Inferno,Atlanta,ATL,66,38,22,6,82,0.621,34,255,201,54,23,9,1,15,13,5,4,4,63
10,3,Toronto North Stars,Toronto,TOR,66,36,22,8,80,0.606,32,204,183,21,21,9,3,15,13,5,4,6,63
11,21,Philadelphia Forge,Philadelphia,PHI,66,34,22,10,78,0.591,33,235,202,33,19,10,4,15,12,6,1,5,63
12,13,Los Angeles Panthers,Los Angeles,LAP,66,36,24,6,78,0.591,32,227,202,25,21,10,2,15,14,4,4,4,63
13,14,New Orleans Specters,New Orleans,NOL,66,30,32,4,64,0.485,22,177,237,-60,17,13,3,13,19,1,8,4,63
14,8,Calgary Dragons,Calgary,CGY,66,25,37,4,54,0.409,20,155,212,-57,18,14,1,7,23,3,5,4,63
15,9,Edmonton Blizzard,Edmonton,EDM,66,21,37,8,50,0.379,20,186,224,-38,13,14,6,8,23,2,1,7,63
16,5,New England Wolfpack,New England,NEW,66,20,42,4,44,0.333,16,159,263,-104,12,19,2,8,23,2,4,4,63
17,10,Minnesota Monarchs,Minnesota,MIN,66,18,42,6,42,0.318,15,174,267,-93,11,18,4,7,24,2,3,5,63
18,20,Montreal Patriotes,Montreal,MTL,66,14,48,4,32,0.242,10,116,274,-158,6,26,1,8,22,3,4,3,63
19,11,Winnipeg Aurora,Winnipeg,WPG,66,11,52,3,25,0.189,9,127,336,-209,7,24,2,4,28,1,2,2,63
20,4,Manhattan Rage,Manhattan,MAN,66,9,54,3,21,0.159,7,108,307,-199,6,25,2,3,29,1,2,1,63
1,1,Chicago Syndicate,Chicago,CHI,66,52,14,0,104,0.788,48,244,155,89,27,6,0,25,8,0,4,0,64
2,15,Texas Renegades,Texas,TEX,66,47,12,7,101,0.765,44,250,159,91,28,4,1,19,8,6,3,5,64
3,7,Baltimore Platoon,Baltimore,BAP,66,46,16,4,96,0.727,43,286,175,111,25,7,1,21,9,3,3,2,64
4,13,Los Angeles Panthers,Los Angeles,LAP,66,44,14,8,96,0.727,42,264,175,89,23,7,3,21,7,5,2,4,64
5,0,Buffalo Stampede,Buffalo,BUF,66,47,17,2,96,0.727,41,265,169,96,24,8,1,23,9,1,6,0,64
6,18,Atlanta Inferno,Atlanta,ATL,66,41,22,3,85,0.644,38,275,199,76,22,9,2,19,13,1,3,2,64
7,6,Tampa Bay Barracuda,Tampa Bay,TBB,66,39,22,5,83,0.629,38,253,207,46,23,6,4,16,16,1,1,4,64
8,21,Philadelphia Forge,Philadelphia,PHI,66,38,23,5,81,0.614,35,249,202,47,22,9,2,16,14,3,3,5,64
9,12,San Francisco Pride,San Francisco,SFP,66,38,23,5,81,0.614,35,221,193,28,23,8,2,15,15,3,3,5,64
10,2,Hamilton Steelhawks,Hamilton,HAM,66,37,22,7,81,0.614,34,261,221,40,20,10,3,17,12,4,3,3,64
11,14,New Orleans Specters,New Orleans,NOL,66,36,25,5,77,0.583,29,213,201,12,19,11,3,17,14,2,7,5,64
12,19,Seattle Argonauts,Seattle,SEA,66,35,25,6,76,0.576,33,248,216,32,18,14,1,17,11,5,2,3,64
13,9,Edmonton Blizzard,Edmonton,EDM,66,28,34,4,60,0.455,25,200,226,-26,14,15,4,14,19,0,3,2,64
14,11,Winnipeg Aurora,Winnipeg,WPG,66,23,36,7,53,0.402,20,209,259,-50,12,18,3,11,18,4,3,6,64
