id,name,position,league,team,season,gamesPlayed,minutes,wins,losses,ot,shotsAgainst,saves,goalsAgainst,gaa,shutouts,savePct,gameRating,pos,pos_broad
528,Alexsandr Aleksandrov,G,0,WPG,53,5,116,0,0,0,73,66,7,3.60,0,0.904,55,Goalie,Goalie
529,Biz Nasty,G,0,CGY,53,9,459,4,0,3,144,128,16,2.09,0,0.889,58,Goalie,Goalie
530,Kasperi Braulin,G,0,MIN,53,10,486,1,4,1,343,311,32,3.95,0,0.907,71,Goalie,Goalie
531,Ian Venables,G,0,SFP,53,11,586,5,4,1,308,284,24,2.45,1,0.922,72,Goalie,Goalie
532,Evgueni Marmeladov,G,0,BUF,53,12,579,7,1,0,192,171,21,2.17,1,0.891,59,Goalie,Goalie
565, Strom Chamberlain,G,0,WPG,53,7,424,4,2,1,208,191,17,2.41,0,0.918,75,Goalie,Goalie
627,Mike Hroch,G,0,NEW,53,10,604,10,0,0,166,159,7,0.70,4,0.958,75,Goalie,Goalie
1,Cedric Robinson,G,0,BUF,54,6,360,6,0,0,64,56,8,1.33,1,0.875,58,Goalie,Goalie
33,Tibuk Soonika,G,0,CHI,54,44,2640,29,13,2,1149,1050,99,2.25,2,0.914,71,Goalie,Goalie
35,Billy Sorokin,G,0,CHI,54,6,360,6,0,0,88,83,5,0.83,2,0.943,68,Goalie,Goalie
66,Elle Rush,G,0,HAM,54,6,364,5,1,0,73,65,8,1.32,2,0.890,55,Goalie,Goalie
67,Geezus Kryyst,G,0,HAM,54,43,2596,32,9,2,1101,1005,96,2.22,8,0.913,71,Goalie,Goalie
99,Harry Carpet,G,0,TOR,54,46,2508,10,30,2,1851,1706,145,3.47,4,0.922,78,Goalie,Goalie
132,Peter Larson,G,0,MAN,54,44,2564,23,17,4,1304,1195,109,2.55,4,0.916,73,Goalie,Goalie
165,Johannes Leitner,G,0,TBB,54,39,1751,1,28,0,1763,1601,162,5.55,0,0.908,71,Goalie,Goalie
199,Benjamin Blue,G,0,NEW,54,44,2577,25,17,1,963,867,96,2.23,9,0.900,65,Goalie,Goalie
232,Luca Del Vecchio,G,0,BAP,54,44,2485,10,32,2,1670,1522,148,3.57,3,0.911,74,Goalie,Goalie
264,Kata Vilde,G,0,CGY,54,44,2599,21,19,4,1314,1170,144,3.32,2,0.890,64,Goalie,Goalie
297,Emiko Spector,G,0,EDM,54,46,2713,28,14,3,1378,1254,124,2.74,5,0.910,71,Goalie,Goalie
330,Sebastien Primeau,G,0,EDM,54,5,249,0,4,0,175,155,20,4.81,0,0.886,54,Goalie,Goalie
331,Markus Tegernako,G,0,MIN,54,44,2438,12,30,2,2000,1832,168,4.13,1,0.916,78,Goalie,Goalie
363,Vivian Leblanc,G,0,WPG,54,43,2534,17,25,1,1522,1386,136,3.22,2,0.911,72,Goalie,Goalie
396,Patrice Nadeau,G,0,SFP,54,25,1350,11,12,0,693,620,73,3.24,1,0.895,64,Goalie,Goalie
429,Knox Booth,G,0,LAP,54,36,2157,20,16,0,1051,963,88,2.45,3,0.916,74,Goalie,Goalie
430,Nolan McMahon,G,0,LAP,54,16,855,13,1,0,330,305,25,1.75,3,0.924,70,Goalie,Goalie
462,Lee Marshall,G,0,MAN,54,3,166,2,0,0,62,57,5,1.80,1,0.919,68,Goalie,Goalie
463,Aleister Cain,G,0,NOL,54,40,2419,23,13,4,1156,1044,112,2.78,2,0.903,67,Goalie,Goalie
495,Patrick Niederreiter,G,0,TEX,54,8,411,2,4,0,226,209,17,2.48,0,0.925,70,Goalie,Goalie
497,White Goodman,G,0,TEX,54,44,2623,24,15,5,1443,1325,118,2.70,1,0.918,75,Goalie,Goalie
528,Alexsandr Aleksandrov,G,0,WPG,54,2,51,0,0,0,41,39,2,2.32,0,0.951,68,Goalie,Goalie
529,Biz Nasty,G,0,CGY,54,9,421,5,0,1,106,97,9,1.28,1,0.915,58,Goalie,Goalie
530,Kasperi Braulin,G,0,MIN,54,13,530,1,4,1,398,357,41,4.63,0,0.897,65,Goalie,Goalie
531,Ian Venables,G,0,SFP,54,28,1548,14,10,1,803,717,86,3.33,0,0.893,63,Goalie,Goalie
564,Leo Bloomfield,G,0,BAP,54,1,60,1,0,0,18,17,1,1.00,0,0.944,66,Goalie,Goalie
565, Strom Chamberlain,G,0,WPG,54,7,427,2,4,1,289,262,27,3.79,0,0.907,77,Goalie,Goalie
595,Cillian Kavanagh,G,0,SFP,54,2,124,2,0,0,64,59,5,2.40,0,0.922,74,Goalie,Goalie
596,Jobin,G,0,HAM,54,1,60,1,0,0,17,15,2,2.00,0,0.882,55,Goalie,Goalie
627,Mike Hroch,G,0,NEW,54,8,428,3,4,0,139,124,15,2.10,2,0.892,58,Goalie,Goalie
630,Samat Beibitzhanov,G,0,MAN,54,5,290,4,0,0,72,65,7,1.45,1,0.903,61,Goalie,Goalie
660,Monty Montgomery,G,0,TOR,54,11,496,1,7,0,397,351,46,5.56,0,0.884,60,Goalie,Goalie
663,Tobias Lindeman,G,0,TBB,54,30,1032,0,17,0,1056,936,120,6.97,0,0.886,59,Goalie,Goalie
728,Malcolm Weekes,G,0,MIN,54,1,45,0,0,0,30,25,5,6.60,0,0.833,41,Goalie,Goalie
738,"Olli Saarinen, Jr",G,0,NOL,54,10,598,7,3,0,223,200,23,2.31,0,0.897,60,Goalie,Goalie
834,Elizabeth Doyle,G,0,BUF,54,44,2643,35,7,2,971,887,84,1.91,8,0.913,68,Goalie,Goalie
33,Tibuk Soonika,G,0,CHI,55,44,2644,25,17,2,1140,1032,108,2.45,5,0.905,69,Goalie,Goalie
35,Billy Sorokin,G,0,CHI,55,6,365,5,0,1,78,75,3,0.49,4,0.962,72,Goalie,Goalie
66,Elle Rush,G,0,CGY,55,3,107,1,0,0,43,40,3,1.67,1,0.930,64,Goalie,Goalie
67,Geezus Kryyst,G,0,SFP,55,12,133,1,0,0,96,90,6,2.71,0,0.938,56,Goalie,Goalie
99,Harry Carpet,G,0,TOR,55,48,2561,10,33,1,2028,1858,170,3.98,2,0.916,77,Goalie,Goalie
101,Eddy Ask Jr.,G,0,EDM,55,8,405,6,1,0,104,89,15,2.22,1,0.856,52,Goalie,Goalie
132,Peter Larson,G,0,MAN,55,42,2504,30,9,3,1219,1118,101,2.42,7,0.917,73,Goalie,Goalie
199,Benjamin Blue,G,0,TBB,55,47,2439,8,36,0,2213,2010,203,4.99,2,0.908,73,Goalie,Goalie
232,Luca Del Vecchio,G,0,BAP,55,45,2644,12,28,4,1818,1668,150,3.40,2,0.917,79,Goalie,Goalie
264,Kata Vilde,G,0,CGY,55,44,2632,26,13,5,1299,1188,111,2.53,4,0.915,73,Goalie,Goalie
297,Emiko Spector,G,0,EDM,55,44,2598,33,8,2,1179,1077,102,2.36,7,0.913,71,Goalie,Goalie
331,Markus Tegernako,G,0,MIN,55,45,2547,11,33,0,2081,1925,156,3.67,2,0.925,81,Goalie,Goalie
429,Knox Booth,G,0,LAP,55,42,2443,17,22,2,1286,1168,118,2.90,3,0.908,69,Goalie,Goalie
430,Nolan McMahon,G,0,LAP,55,11,572,2,7,0,363,323,40,4.19,1,0.890,64,Goalie,Goalie
462,Lee Marshall,G,0,BUF,55,6,360,6,0,0,74,69,5,0.83,3,0.932,67,Goalie,Goalie
463,Aleister Cain,G,0,NOL,55,40,2415,25,11,4,1207,1107,100,2.48,2,0.917,73,Goalie,Goalie
495,Patrick Niederreiter,G,0,TEX,55,9,497,6,0,0,202,188,14,1.69,1,0.931,72,Goalie,Goalie
497,White Goodman,G,0,TEX,55,44,2524,22,19,3,1443,1320,123,2.92,1,0.915,73,Goalie,Goalie
530,Kasperi Braulin,G,0,MIN,55,8,462,1,5,0,423,395,28,3.64,0,0.934,87,Goalie,Goalie
531,Ian Venables,G,0,HAM,55,6,360,6,0,0,84,76,8,1.33,1,0.905,63,Goalie,Goalie
565, Strom Chamberlain,G,0,WPG,55,46,2639,21,20,2,1430,1291,139,3.16,3,0.903,67,Goalie,Goalie
595,Cillian Kavanagh,G,0,SFP,55,50,2893,15,32,2,1984,1788,196,4.06,3,0.901,71,Goalie,Goalie
596,A Jobin,G,0,HAM,55,44,2645,27,14,3,1083,986,97,2.20,4,0.910,69,Goalie,Goalie
627,Mike Hroch,G,0,NEW,55,7,382,4,1,1,166,152,14,2.19,1,0.916,68,Goalie,Goalie
629,Frans Eller,G,0,NEW,55,44,2649,23,15,6,1503,1395,108,2.45,3,0.928,79,Goalie,Goalie
630,Samat Beibitzhanov,G,0,MAN,55,10,530,6,1,1,207,192,15,1.70,1,0.928,70,Goalie,Goalie
660,Monty Montgomery,G,0,TOR,55,14,438,0,6,0,420,372,48,6.57,0,0.886,58,Goalie,Goalie
661,Cale Amundsen,G,0,CGY,55,5,305,4,0,1,71,68,3,0.59,3,0.958,79,Goalie,Goalie
663,Tobias Lindeman,G,0,TBB,55,22,564,0,6,0,556,500,56,5.95,0,0.899,57,Goalie,Goalie
738,"Olli Saarinen, Jr",G,0,NOL,55,10,606,9,0,1,189,169,20,1.98,2,0.894,63,Goalie,Goalie
834,Elizabeth Doyle,G,0,BUF,55,44,2633,34,10,0,1050,962,88,2.01,5,0.916,71,Goalie,Goalie
903,Steven Vassallo,G,0,WPG,55,10,388,2,4,1,290,263,27,4.17,0,0.907,62,Goalie,Goalie
33,Tibuk Soonika,G,0,CHI,56,44,2656,32,9,3,1207,1117,90,2.03,6,0.925,76,Goalie,Goalie
35,Billy Sorokin,G,0,WPG,56,10,406,0,6,0,325,288,37,5.46,0,0.886,62,Goalie,Goalie
36,Name Redacted,G,0,MAN,56,3,180,2,1,0,53,46,7,2.33,1,0.868,58,Goalie,Goalie
66,Elle Rush,G,0,CGY,56,1,60,1,0,0,11,9,2,2.00,0,0.818,44,Goalie,Goalie
67,Geezus Kryyst,G,0,SFP,56,29,1404,0,20,3,1352,1241,111,4.74,0,0.918,80,Goalie,Goalie
99,Harry Carpet,G,0,TOR,56,45,2602,19,23,2,1535,1407,128,2.95,4,0.917,75,Goalie,Goalie
101,Eddy Ask Jr.,G,0,EDM,56,9,418,4,1,1,152,143,9,1.29,1,0.941,66,Goalie,Goalie
102,Junior Guarda,G,0,HAM,56,7,432,4,0,3,133,121,12,1.67,1,0.910,63,Goalie,Goalie
132,Peter Larson,G,0,MAN,56,44,2641,30,13,1,1184,1083,101,2.29,7,0.915,71,Goalie,Goalie
135,Mat Smith,G,0,CHI,56,3,185,2,0,1,41,39,2,0.65,2,0.951,69,Goalie,Goalie
168,Separa Borro,G,0,MIN,56,6,359,2,4,0,283,256,27,4.50,0,0.905,75,Goalie,Goalie
232,Luca Del Vecchio,G,0,BAP,56,44,2553,9,31,3,1896,1735,161,3.78,1,0.915,77,Goalie,Goalie
264,Kata Vilde,G,0,CGY,56,44,2659,34,6,4,1147,1074,73,1.65,9,0.936,78,Goalie,Goalie
297,Emiko Spector,G,0,EDM,56,44,2586,28,16,0,1233,1121,112,2.60,8,0.909,71,Goalie,Goalie
331,Markus Tegernako,G,0,MIN,56,44,2655,14,28,2,1625,1479,146,3.30,1,0.910,74,Goalie,Goalie
429,Knox Booth,G,0,LAP,56,44,2658,20,21,3,1780,1663,117,2.64,2,0.934,84,Goalie,Goalie
430,Nolan McMahon,G,0,SEA,56,43,2476,11,29,3,1444,1307,137,3.32,3,0.905,70,Goalie,Goalie
463,Aleister Cain,G,0,NOL,56,29,1747,17,9,3,875,802,73,2.51,5,0.917,74,Goalie,Goalie
495,Patrick Niederreiter,G,0,TEX,56,7,376,4,2,0,119,107,12,1.91,1,0.899,61,Goalie,Goalie
497,White Goodman,G,0,TEX,56,44,2638,30,14,0,1272,1158,114,2.59,2,0.910,69,Goalie,Goalie
529,Biz Nasty,G,0,LAP,56,7,371,4,1,1,152,138,14,2.26,0,0.908,61,Goalie,Goalie
531,Ian Venables,G,0,TBB,56,35,1751,6,23,2,1392,1265,127,4.35,0,0.909,70,Goalie,Goalie
565,Strom Chamberlain,G,0,WPG,56,46,2595,21,20,3,1320,1196,124,2.87,3,0.906,70,Goalie,Goalie
595,Cillian Kavanagh,G,0,SFP,56,32,1614,4,22,1,1538,1409,129,4.79,1,0.916,77,Goalie,Goalie
596,A Jobin,G,0,HAM,56,44,2607,36,4,3,1155,1076,79,1.82,10,0.932,76,Goalie,Goalie
627,Mike Hroch,G,0,ATL,56,10,395,3,3,0,242,227,15,2.28,1,0.938,72,Goalie,Goalie
629,Frans Eller,G,0,NEW,56,44,2588,19,23,2,1673,1522,151,3.50,1,0.910,75,Goalie,Goalie
630,Samat Beibitzhanov,G,0,ATL,56,44,2612,22,19,3,1599,1463,136,3.12,3,0.915,75,Goalie,Goalie
660,Monty Montgomery,G,0,TOR,56,9,419,0,5,1,352,326,26,3.72,0,0.926,72,Goalie,Goalie
661,Cale Amundsen,G,0,CGY,56,5,298,3,2,0,105,96,9,1.81,1,0.914,70,Goalie,Goalie
663,Tobias Lindeman,G,0,TBB,56,26,1266,5,14,0,1052,959,93,4.41,0,0.912,70,Goalie,Goalie
693,Alexander Thorstrom,G,0,NEW,56,9,432,6,0,0,206,196,10,1.39,2,0.951,77,Goalie,Goalie
728,Malcolm Weekes,G,0,MAN,56,3,180,3,0,0,33,28,5,1.67,0,0.848,48,Goalie,Goalie
738,"Olli Saarinen, Jr",G,0,NOL,56,21,1281,11,6,4,617,571,46,2.15,3,0.925,72,Goalie,Goalie
828,Marques Brownlee,G,0,BAP,56,13,475,1,6,0,294,264,30,3.78,0,0.898,59,Goalie,Goalie
834,Elizabeth Doyle,G,0,BUF,56,44,2580,28,16,0,1204,1106,98,2.28,9,0.919,73,Goalie,Goalie
837,Shiqa Vitalievich,G,0,CHI,56,1,60,1,0,0,14,13,1,1.00,0,0.929,71,Goalie,Goalie
1001,Abroop Dhami,G,0,SEA,56,12,539,6,0,1,195,178,17,1.89,1,0.913,62,Goalie,Goalie
1097,Damien Vertigo,G,0,CHI,56,2,120,2,0,0,31,28,3,1.50,0,0.903,60,Goalie,Goalie
1179,Yuri Ushakov,G,0,BUF,56,8,416,6,0,0,128,119,9,1.30,2,0.930,67,Goalie,Goalie
33,Tibuk Soonika,G,0,CHI,57,54,3265,40,11,2,1362,1234,128,2.35,2,0.906,68,Goalie,Goalie
35,Billy Sorokin,G,0,WPG,57,2,120,1,1,0,76,67,9,4.50,0,0.882,64,Goalie,Goalie
36,Name Redacted,G,0,MAN,57,25,1443,20,4,0,527,477,50,2.08,7,0.905,65,Goalie,Goalie
67,Geezus Kryyst,G,0,SFP,57,50,2683,11,35,0,1864,1708,156,3.49,0,0.916,76,Goalie,Goalie
99,Harry Carpet,G,0,TOR,57,50,2894,26,17,4,1505,1381,124,2.57,6,0.918,73,Goalie,Goalie
100,Peter Ramsay,G,0,EDM,57,10,610,8,1,1,209,186,23,2.26,2,0.890,61,Goalie,Goalie
102,Junior Guarda,G,0,HAM,57,15,905,14,0,1,236,213,23,1.52,3,0.903,61,Goalie,Goalie
132,Peter Larson,G,0,MAN,57,43,2537,22,16,4,1451,1333,118,2.79,5,0.919,77,Goalie,Goalie
135,Mat Smith,G,0,CHI,57,5,304,4,1,0,100,94,6,1.18,2,0.940,75,Goalie,Goalie
168,Separa Borro,G,0,MIN,57,12,669,1,11,0,545,489,56,5.02,0,0.897,68,Goalie,Goalie
232,Luca Del Vecchio,G,0,BAP,57,57,3288,10,40,4,2416,2222,194,3.54,3,0.920,79,Goalie,Goalie
264,Kata Vilde,G,0,CGY,57,48,2878,29,17,2,1409,1280,129,2.69,8,0.908,70,Goalie,Goalie
297,Emiko Spector,G,0,EDM,57,54,3200,35,15,4,1657,1504,153,2.87,2,0.908,70,Goalie,Goalie
331,Markus Tegernako,G,0,MIN,57,56,3290,20,31,3,2022,1848,174,3.17,3,0.914,75,Goalie,Goalie
429,Knox Booth,G,0,LAP,57,54,3255,29,18,7,1838,1694,144,2.65,2,0.922,78,Goalie,Goalie
430,Nolan McMahon,G,0,SEA,57,18,856,5,6,1,629,579,50,3.50,2,0.921,76,Goalie,Goalie
463,Aleister Cain,G,0,NOL,57,46,2588,14,27,2,1705,1550,155,3.59,2,0.909,74,Goalie,Goalie
497,White Goodman,G,0,TEX,57,32,1837,21,7,2,806,731,75,2.45,4,0.907,67,Goalie,Goalie
531,Ian Venables,G,0,TBB,57,60,3241,16,36,2,2323,2100,223,4.13,3,0.904,72,Goalie,Goalie
563,Scoochie Stratton,G,0,TOR,57,20,1088,8,9,2,608,552,56,3.09,2,0.908,69,Goalie,Goalie
564,Leo Bloomfield,G,0,NEW,57,21,1118,5,11,2,759,699,60,3.22,0,0.921,75,Goalie,Goalie
565,Strom Chamberlain,G,0,WPG,57,55,3270,30,22,2,1706,1569,137,2.51,5,0.920,74,Goalie,Goalie
566,Thor Odinson,G,0,SEA,57,55,3112,17,36,1,1952,1788,164,3.16,3,0.916,74,Goalie,Goalie
594,Jerry Huuveri,G,0,SFP,57,24,1293,1,18,1,1003,908,95,4.41,0,0.905,73,Goalie,Goalie
595,Cillian Kavanagh,G,0,TEX,57,37,2131,23,13,0,1134,1050,84,2.36,6,0.926,75,Goalie,Goalie
596,A Jobin,G,0,HAM,57,51,3077,39,9,3,1385,1262,123,2.40,4,0.911,71,Goalie,Goalie
627,Mike Hroch,G,0,ATL,57,20,1064,2,12,2,732,654,78,4.40,0,0.893,64,Goalie,Goalie
629,Frans Eller,G,0,NEW,57,49,2872,19,26,3,1923,1756,167,3.49,5,0.913,77,Goalie,Goalie
630,Samat Beibitzhanov,G,0,ATL,57,51,2925,25,21,4,1565,1424,141,2.89,4,0.910,71,Goalie,Goalie
660,Monty Montgomery,G,0,EDM,57,4,182,2,0,0,59,53,6,1.98,0,0.898,57,Goalie,Goalie
661,Cale Amundsen,G,0,CGY,57,20,1113,15,2,1,368,340,28,1.51,3,0.924,67,Goalie,Goalie
663,Tobias Lindeman,G,0,TBB,57,21,732,1,10,1,640,571,69,5.65,0,0.892,60,Goalie,Goalie
738,"Olli Saarinen, Jr",G,0,NOL,57,25,1392,8,14,1,776,712,64,2.76,4,0.918,72,Goalie,Goalie
828,Marques Brownlee,G,0,BAP,57,15,685,3,8,1,479,430,49,4.29,1,0.898,62,Goalie,Goalie
834,Elizabeth Doyle,G,0,BUF,57,53,3207,40,11,2,1591,1474,117,2.19,6,0.926,77,Goalie,Goalie
837,Shiqa Vitalievich,G,0,CHI,57,4,189,3,0,1,48,46,2,0.63,2,0.958,67,Goalie,Goalie
905,Richard Majors,G,0,LAP,57,1,25,0,0,0,7,7,0,0.00,0,1.000,59,Goalie,Goalie
1091,Sergei Potvinov,G,0,BUF,57,13,782,10,2,1,239,212,27,2.07,2,0.887,59,Goalie,Goalie
1097,Damien Vertigo,G,0,CHI,57,4,240,4,0,0,60,56,4,1.00,1,0.933,67,Goalie,Goalie
1142,Vincent Mietitore,G,0,WPG,57,11,598,6,3,1,302,275,27,2.71,2,0.911,70,Goalie,Goalie
33,Tibuk Soonika,G,0,CHI,58,54,3257,33,17,4,1268,1161,107,1.97,13,0.916,71,Goalie,Goalie
35,Billy Sorokin,G,0,WPG,58,1,28,0,0,1,9,9,0,0.00,0,1.000,61,Goalie,Goalie
36,Name Redacted,G,0,MAN,58,31,1767,17,7,5,837,755,82,2.78,2,0.902,65,Goalie,Goalie
67,Geezus Kryyst,G,0,SFP,58,30,1410,2,21,1,1107,992,115,4.89,1,0.896,66,Goalie,Goalie
99,Harry Carpet,G,0,TOR,58,48,2845,33,10,5,1378,1265,113,2.38,3,0.918,73,Goalie,Goalie
100,Peter Ramsay,G,0,EDM,58,56,3150,34,16,3,1604,1446,158,3.01,4,0.901,66,Goalie,Goalie
102,Junior Guarda,G,0,HAM,58,16,826,11,1,2,275,240,35,2.54,0,0.873,54,Goalie,Goalie
132,Peter Larson,G,0,MAN,58,38,2221,17,19,1,1355,1245,110,2.97,2,0.919,76,Goalie,Goalie
134,Phillip Weaver,G,0,TBB,58,56,3236,23,30,1,2175,1989,186,3.45,1,0.914,76,Goalie,Goalie
135,Mat Smith,G,0,CHI,58,9,537,7,2,0,153,138,15,1.67,0,0.902,59,Goalie,Goalie
168,Separa Borro,G,0,MIN,58,14,707,3,8,1,495,448,47,3.99,0,0.905,68,Goalie,Goalie
232,Luca Del Vecchio,G,0,BAP,58,56,3255,26,25,3,2130,1950,180,3.32,2,0.915,76,Goalie,Goalie
264,Kata Vilde,G,0,CGY,58,49,2904,29,17,3,1365,1242,123,2.54,4,0.910,70,Goalie,Goalie
299,Chimkin Tendy,G,0,BUF,58,3,185,2,0,1,50,44,6,1.95,1,0.880,66,Goalie,Goalie
331,Markus Tegernako,G,0,MIN,58,55,3278,20,28,6,2037,1868,169,3.09,3,0.917,78,Goalie,Goalie
429,Knox Booth,G,0,LAP,58,54,3180,20,28,6,2005,1823,182,3.43,4,0.909,75,Goalie,Goalie
497,White Goodman,G,0,TEX,58,31,1817,24,5,1,769,713,56,1.85,5,0.927,75,Goalie,Goalie
563,Scoochie Stratton,G,0,TOR,58,20,1142,13,4,1,523,481,42,2.21,4,0.920,72,Goalie,Goalie
564,Leo Bloomfield,G,0,NEW,58,19,979,5,11,1,737,669,68,4.17,1,0.908,70,Goalie,Goalie
565,Strom Chamberlain,G,0,WPG,58,57,3319,21,30,2,2013,1839,174,3.14,3,0.914,75,Goalie,Goalie
566,Thor Odinson,G,0,SEA,58,51,2919,20,29,2,1649,1471,178,3.66,0,0.892,66,Goalie,Goalie
595,Cillian Kavanagh,G,0,TEX,58,36,2157,30,6,0,906,828,78,2.17,2,0.914,72,Goalie,Goalie
596,A Jobin,G,0,HAM,58,53,3165,39,12,1,1325,1193,132,2.50,6,0.900,67,Goalie,Goalie
627,Mike Hroch,G,0,ATL,58,20,1003,6,9,2,625,561,64,3.83,0,0.898,66,Goalie,Goalie
629,Frans Eller,G,0,NEW,58,52,3027,20,26,3,2128,1959,169,3.35,1,0.921,81,Goalie,Goalie
630,Samat Beibitzhanov,G,0,ATL,58,51,2969,24,25,0,1840,1682,158,3.19,3,0.914,75,Goalie,Goalie
661,Cale Amundsen,G,0,CGY,58,18,1083,15,2,0,422,391,31,1.72,1,0.927,74,Goalie,Goalie
663,Tobias Lindeman,G,0,TBB,58,16,742,3,8,1,565,518,47,3.80,0,0.917,70,Goalie,Goalie
693,Alexander Thorstrom,G,0,EDM,58,4,196,1,1,0,100,89,11,3.36,0,0.890,59,Goalie,Goalie
738,"Olli Saarinen, Jr",G,0,NOL,58,58,3199,9,40,5,2439,2205,234,4.39,1,0.904,73,Goalie,Goalie
828,Marques Brownlee,G,0,BAP,58,13,739,1,9,2,547,487,60,4.87,0,0.890,64,Goalie,Goalie
834,Elizabeth Doyle,G,0,BUF,58,54,3259,33,17,4,1495,1382,113,2.08,13,0.924,77,Goalie,Goalie
837,Shiqa Vitalievich,G,0,CHI,58,3,179,2,1,0,55,52,3,1.00,1,0.945,71,Goalie,Goalie
903,Steven Vassallo,G,0,SEA,58,20,1060,4,9,2,609,557,52,2.94,0,0.915,71,Goalie,Goalie
905,Richard Majors,G,0,LAP,58,17,823,9,3,0,410,373,37,2.70,1,0.910,66,Goalie,Goalie
1091,Sergei Potvinov,G,0,BUF,58,9,544,7,1,1,136,122,14,1.54,2,0.897,60,Goalie,Goalie
1142,Vincent Mietitore,G,0,WPG,58,12,629,5,7,0,336,303,33,3.15,2,0.902,65,Goalie,Goalie
1268,Nicolae Antonescu,G,0,SFP,58,50,2580,18,19,5,1790,1647,143,3.32,2,0.920,76,Goalie,Goalie
1374,Tyler Ward,G,0,EDM,58,12,638,7,4,0,272,238,34,3.19,1,0.875,58,Goalie,Goalie
1377,Matvei Stevlaco,G,0,NOL,58,18,785,1,10,1,623,548,75,5.73,0,0.880,58,Goalie,Goalie
36,Name Redacted,G,0,MAN,59,52,2904,16,31,2,2267,2093,174,3.59,1,0.923,80,Goalie,Goalie
67,Geezus Kryyst,G,0,SFP,59,19,960,3,13,1,855,783,72,4.50,0,0.916,74,Goalie,Goalie
99,Harry Carpet,G,0,TOR,59,54,3256,38,13,3,1738,1608,130,2.40,8,0.925,79,Goalie,Goalie
100,Peter Ramsay,G,0,SEA,59,21,1207,8,11,1,717,652,65,3.23,1,0.909,72,Goalie,Goalie
102,Junior Guarda,G,0,HAM,59,13,772,12,0,0,291,268,23,1.79,3,0.921,67,Goalie,Goalie
132,Peter Larson,G,0,MAN,59,21,1087,5,10,2,831,763,68,3.75,0,0.918,76,Goalie,Goalie
