TeamId,ES L1 LW,ES L1 C,ES L1 RW,ES L1 LD,ES L1 RD,ES L2 LW,ES L2 C,ES L2 RW,ES L2 LD,ES L2 RD,ES L3 LW,ES L3 C,ES L3 RW,ES L3 LD,ES L3 RD,ES L4 LW,ES L4 C,ES L4 RW,ES L4 LD,ES L4 RD,PP5on4 L1 LW,PP5on4 L1 C,PP5on4 L1 RW,PP5on4 L1 LD,PP5on4 L1 RD,PP5on4 L2 LW,PP5on4 L2 C,PP5on4 L2 RW,PP5on4 L2 LD,PP5on4 L2 RD,PP5on3 L1 LW,PP5on3 L1 C,PP5on3 L1 RW,PP5on3 L1 LD,PP5on3 L1 RD,PP5on3 L2 LW,PP5on3 L2 C,PP5on3 L2 RW,PP5on3 L2 LD,PP5on3 L2 RD,PP4on3 L1 F1,PP4on3 L1 F2,PP4on3 L1 LD,PP4on3 L1 RD,PP4on3 L2 F1,PP4on3 L2 F2,PP4on3 L2 LD,PP4on3 L2 RD,PK4on5 L1 F1,PK4on5 L1 F2,PK4on5 L1 LD,PK4on5 L1 RD,PK4on5 L2 F1,PK4on5 L2 F2,PK4on5 L2 LD...56,PK4on5 L2 LD...57,PK4on5 L3 F1,PK4on5 L3 F2,PK4on5 L3 LD...60,PK4on5 L3 LD...61,PK3on5 L1 F1,PK3on5 L1 LD,PK3on5 L1 RD,PK3on5 L2 F1,PK3on5 L2 LD...66,PK3on5 L2 LD...67,PK3on4 L1 F1,PK3on4 L1 LD,PK3on4 L1 RD,PK3on4 L2 F1,PK3on4 L2 LD...72,PK3on4 L2 LD...73,4on4 L1 F1,4on4 L1 F2,4on4 L1 LD,4on4 L1 RD,4on4 L2 F1,4on4 L2 F2,4on4 L2 LD...80,4on4 L2 LD...81,3on3 L1 F1,3on3 L1 LD,3on3 L1 RD,3on3 L2 F1,3on3 L2 LD...86,3on3 L2 LD...87,Shootout 1,Shootout 2,Shootout 3,Shootout 4,Shootout 5,Goalie 1,Goalie 2,Extra Attacker 1,Extra Attacker 2,...97,season
15,2548,1935,2640,500,2440,510,872,1706,702,1368,2335,2679,2294,1895,2195,NA,NA,NA,NA,NA,2548,1935,2640,702,2440,510,872,1706,500,1895,2548,1935,2640,702,2440,510,872,1706,500,1895,1935,2548,702,2440,872,1706,500,1895,2548,872,500,702,510,2679,2440,1368,1935,1706,1895,2195,872,500,702,2679,2440,1368,872,500,702,2679,2440,1368,1935,2548,500,2440,872,1706,702,1895,1935,2548,2440,872,1706,702,1706,2548,2440,872,510,595,2249,1706,2548,NA,66
18,1751,1775,1970,1137,806,1831,2455,1172,1701,1143,1890,726,2564,373,774,NA,NA,NA,NA,NA,1751,1775,1970,1701,806,1890,726,1831,1137,1143,1751,1775,1970,1701,806,1890,726,1831,1137,1143,1775,1751,1701,806,1890,1970,1137,1143,1775,1751,1701,806,2455,1890,1137,1143,1172,1831,373,774,1775,1701,806,1751,1137,1143,1751,1701,806,1775,1137,1143,1775,1751,1701,806,1172,1970,1137,1143,1775,1751,806,1172,1970,1701,1775,1751,1970,1890,1831,1330,2514,1751,1775,NA,66
19,1506,2433,1428,1246,1295,1261,1367,934,1892,2340,1286,1049,1518,2454,1864,NA,NA,NA,NA,NA,1261,1367,1428,1506,1892,1049,2433,934,1286,2340,1261,1367,1428,1506,1892,1049,2433,934,1286,2340,1261,1367,1428,1892,934,2433,1506,2340,1506,1367,1246,1864,2433,934,1892,1295,1049,1428,2454,2340,1367,1246,1864,2433,1892,1295,1367,1246,1864,2433,1892,1295,1261,1367,1892,1864,2433,1428,2340,1295,1261,1367,1892,2433,1428,2340,1261,1286,1506,934,2433,2357,566,1428,1506,NA,66
20,2718,645,2554,2547,2251,687,2474,2188,605,737,2470,2754,1800,632,1087,NA,NA,NA,NA,NA,2188,645,2554,2251,687,2754,2474,2718,2547,737,2188,645,2554,2251,687,2754,2474,2718,2547,737,2188,645,2251,687,2554,2474,2547,737,2188,645,605,737,2474,687,2251,1087,NA,NA,NA,NA,2188,605,737,645,2251,1087,2188,605,737,645,2251,1087,2188,645,2547,2251,2554,687,605,737,645,2188,2251,2554,687,737,645,2554,2188,687,2718,764,1097,645,2188,NA,66
21,1316,929,1014,1370,2488,801,452,750,2166,76,1882,2620,1148,823,111,NA,NA,NA,NA,NA,1014,929,1316,76,1370,750,2620,801,2488,2166,1014,929,1316,2166,1370,801,2620,750,2488,76,750,1014,76,1370,1316,929,2166,2488,750,1316,2166,76,801,1014,2488,1370,452,1148,823,111,1014,1370,2488,1316,2166,76,1014,1370,2488,1316,2166,76,1014,1316,1370,76,750,801,2166,111,1014,1316,1370,801,750,2166,1014,1316,750,929,801,563,2522,1316,1014,NA,66
0,2154,1676,150,2553,1130,1170,1867,299,1837,1968,554,750,1353,536,545,NA,NA,NA,NA,NA,1170,1867,299,1968,1837,2154,1676,150,2553,750,1170,1867,299,1968,1837,2154,1676,150,2553,750,299,1867,1968,1837,1170,1676,2553,150,150,1867,1837,1968,2154,1676,2553,1130,554,750,536,545,1867,1837,1968,1676,2553,1130,1867,1837,1968,1676,2553,1130,299,1867,1837,1968,1170,1676,2553,1130,299,1867,1837,1170,1676,1968,299,1170,1867,2154,150,2789,991,1867,299,NA,67
1,157,1282,1269,1969,877,1082,1917,768,2463,1466,933,2668,2536,2331,703,NA,NA,NA,NA,NA,157,1282,1269,768,1969,933,1917,1082,2463,877,157,1282,1269,768,1969,933,1917,1082,2463,877,1282,1269,877,1969,1917,768,2463,703,2536,933,877,1466,1917,1269,2331,2463,1282,157,703,1969,2536,1466,877,1917,2463,2331,2536,1466,877,1917,2463,2331,1282,1269,1969,877,1917,157,2331,2463,1282,1269,1969,1917,157,877,1269,768,157,1917,1082,135,2179,768,1282,NA,67
2,1196,2728,86,810,968,179,922,2896,539,2328,2803,2867,2891,2809,669,NA,NA,NA,NA,NA,1196,2728,86,810,968,179,922,2896,539,669,1196,2728,86,810,968,179,922,2896,539,669,922,86,810,968,179,2728,539,669,922,179,669,2809,2867,2891,539,2328,2803,2896,810,968,922,669,2809,2867,539,2328,922,669,2809,2867,539,2328,922,86,810,968,2728,1196,539,669,922,810,968,2728,539,669,922,1196,86,179,2728,198,1823,86,1196,NA,67
3,1943,780,1057,1113,2930,2220,1239,1578,1300,2868,2585,1926,1352,841,2841,NA,NA,NA,NA,NA,2220,1578,1057,1113,1943,1239,780,1352,2868,2841,2220,1578,1057,1943,2868,1239,780,1352,2841,1113,2220,780,1943,2868,1239,1057,2841,1113,1578,1926,1113,841,2585,1943,1300,1239,780,1352,2841,2868,1926,1300,841,2585,2868,1113,1926,1300,1113,2585,2868,841,2220,780,1300,2868,1943,1239,1113,841,1578,2220,1113,780,1239,2841,2220,1943,780,1057,1239,99,2312,780,2220,NA,67
4,1824,2200,1063,732,1327,1817,1319,2544,2901,883,2477,2285,2526,1715,1497,NA,NA,NA,NA,NA,1824,2200,1063,732,1327,1319,2526,2544,2901,883,1824,2200,1063,732,1327,1319,2526,2544,2901,883,2200,1824,732,1327,2526,1319,2901,883,1063,1319,732,1327,1817,2285,2901,883,2477,2526,1715,1497,1063,732,1327,1817,1715,1497,1063,732,1327,1817,1715,1497,1319,1824,732,1327,2200,2544,2901,883,1319,1824,732,2200,2544,883,1824,2200,1063,1319,1817,36,2904,1824,2544,NA,67
5,1456,2652,2892,965,1500,1394,91,1835,1213,2866,2195,2768,1442,2906,1956,NA,NA,NA,NA,NA,1394,91,2652,965,2866,1835,2768,2892,2906,1213,1394,91,2652,965,2866,1835,2768,2892,2906,1213,1394,91,2866,965,1835,2652,1956,1213,1456,91,965,2906,1442,2652,1500,1213,1394,2768,2866,1956,91,965,1956,1456,1500,1213,91,965,1956,1456,1500,2866,91,1394,965,2866,2652,2892,1213,1956,91,1394,965,2652,2892,2866,1394,2652,2892,91,2768,1306,663,91,1394,NA,67
6,1264,920,52,1378,2919,2682,2811,625,941,742,365,1029,408,1973,105,NA,NA,NA,NA,NA,365,920,408,1973,941,2682,1029,1264,105,742,365,920,408,1973,941,2682,1029,1264,105,742,920,365,408,1973,1264,1029,105,941,365,1029,742,105,1264,625,1378,1973,920,2682,2919,941,1029,742,105,920,1378,1973,1029,742,105,920,941,1973,920,408,1973,105,365,1029,941,742,920,408,1973,365,1029,941,2811,408,2682,920,941,465,67,920,365,NA,67
7,1800,1190,692,1951,107,1847,583,2689,2653,889,2604,1521,2910,2882,2870,NA,NA,NA,NA,NA,1847,1190,692,1951,889,1800,583,2689,2882,2604,1847,1190,692,1951,2604,2910,583,2689,2653,889,692,1190,1951,1847,1800,583,2882,889,1800,1190,2653,107,2689,1521,2882,889,692,583,1951,2870,583,2653,107,1190,2870,889,1190,2653,889,1521,1951,107,692,1190,1951,107,1847,583,2653,889,1190,692,1951,583,1847,2653,1847,692,1190,1951,2689,992,300,1190,583,NA,67
8,2886,2371,2427,1808,1820,1862,1670,911,790,1684,917,284,2641,1881,1323,NA,NA,NA,NA,NA,2886,2371,2427,790,1820,917,284,911,1881,1670,917,2371,2427,790,1820,911,284,1862,1808,1323,2427,2371,917,790,911,284,1820,1808,917,284,1808,1881,1862,1670,1820,1684,2427,2371,1323,790,284,1323,790,1670,1808,1881,284,1323,790,1670,1808,1684,2427,2371,790,1881,911,284,1820,1808,2427,2371,790,911,284,1820,911,2427,790,2371,917,565,2443,911,284,NA,67
9,2681,1897,1435,2733,2630,2659,1783,1904,1895,1945,1398,2778,323,2893,2851,NA,NA,NA,NA,NA,2681,1897,1435,2630,2893,1904,1783,2778,2733,1895,2681,1897,1435,2630,2893,1904,1783,2778,2733,1895,1904,1435,2893,2630,1897,1783,2778,2851,1783,2659,1895,1945,1398,2681,2733,2851,1897,323,2630,2893,2659,1895,1945,1897,2733,2851,2659,1895,1945,1897,2733,2851,1783,1897,2630,1945,1398,2681,1895,2893,1783,1897,2630,1398,2681,1895,1435,1398,1895,2778,1897,2828,2862,1897,1783,NA,67
10,55,2222,2135,1389,356,2796,2672,1465,1964,1259,2607,2704,2926,44,1939,NA,NA,NA,NA,NA,55,2222,2135,2796,1389,2607,2672,1465,1259,356,55,2222,2135,2796,1389,2607,2672,1465,1259,356,2222,2135,1259,356,2672,2607,1964,1389,55,2222,1259,356,1465,2672,1964,1389,2135,2704,44,1939,2672,1259,356,55,1964,1389,2672,1259,356,55,1964,1389,2222,2135,1259,356,2672,55,1964,1389,2222,2135,1259,2672,55,1389,356,2222,1389,55,2135,1912,2189,2222,55,NA,67
11,2540,1846,2152,1194,2608,1658,1923,2457,1318,2228,255,2207,1144,2529,2486,NA,NA,NA,NA,NA,1658,1923,1144,1194,2486,2152,1846,2457,1318,2228,1658,1923,1144,1194,2486,2152,1846,2457,1318,2228,1658,1846,1194,2486,2152,1923,1318,2228,2152,1846,1318,2228,1658,1923,1194,2486,2540,2207,2529,2608,1846,1318,2486,1923,1194,2228,1846,1318,2486,1923,1194,2228,1658,1923,2228,1318,2152,1846,1194,2486,1658,1923,2228,2152,1846,2486,1923,1846,1658,2457,2152,2575,2259,1658,1846,NA,67
12,1858,1215,543,1150,736,962,1293,2404,373,1471,1464,1859,1016,2370,1248,NA,NA,NA,NA,NA,1464,1859,2404,1150,2370,962,1215,1293,1471,1248,1464,1859,2404,1150,2370,962,1215,1293,1471,1248,1293,1464,1150,1471,1859,962,1858,2370,1859,1215,736,1248,962,1016,1150,373,1293,1464,2370,1471,1215,736,1248,1859,1150,373,1215,736,1248,1859,1150,373,1215,1859,1150,1248,1293,1464,373,736,1215,1859,1471,1293,1464,1248,1859,2370,1464,962,1016,1268,1095,1859,1150,NA,67
13,2794,1147,1270,1133,308,1564,1313,2598,1246,538,17,1049,1286,702,851,NA,NA,NA,NA,NA,2794,1147,2598,1270,538,1564,1313,1286,17,308,2794,1147,2598,1270,538,1564,1313,1286,17,308,2794,1147,1270,538,1564,1313,2598,308,1049,17,1246,308,1313,1286,702,1133,1147,2598,851,538,1049,1246,308,1313,702,1133,1049,1246,308,1313,702,1133,1270,1147,1133,308,1564,1313,1246,538,1147,1270,308,1313,1564,1246,1270,1564,1313,1286,1147,849,2571,1270,1147,NA,67
14,781,1948,1803,1722,582,1804,1485,2795,1825,1079,1868,2917,1812,369,260,NA,NA,NA,NA,NA,1804,1948,1803,781,1722,1812,1485,2917,1079,582,1804,781,1803,1948,1722,1812,1485,2917,1079,582,1804,1948,1803,1722,781,1485,582,1079,1948,781,1722,1079,1812,1485,582,1825,1868,1804,369,260,1485,1722,582,1948,1079,1825,1485,1722,582,1948,1079,1825,1804,1485,1722,1079,781,1948,582,1825,1804,1485,1722,1948,781,582,1804,1803,1948,1485,781,1413,741,1804,1485,NA,67
15,1706,1935,2848,2440,1087,510,2679,2548,500,2155,1876,872,2294,2933,2665,NA,NA,NA,NA,NA,510,1935,2848,2440,872,1706,2679,2294,2933,2155,510,1935,2848,2440,872,1706,2679,2294,2933,2155,1706,1935,2440,1087,2848,2679,2933,2155,2294,872,500,1087,1706,1935,2440,2155,510,2679,2933,2665,872,500,1087,1935,2440,2155,872,2155,1087,1935,2440,500,1706,1935,2440,1087,2848,2679,500,2155,1706,1935,2440,2848,2679,1087,2848,1935,1706,510,872,2860,595,2848,1935,NA,67
18,1890,2455,1172,1701,1143,1831,1751,1970,1137,806,1872,726,2564,2920,2925,NA,NA,NA,NA,NA,1831,1751,1970,1701,1143,1890,726,2564,1137,806,1831,1751,1970,1701,1143,1890,726,2564,1137,806,1751,1970,1701,1143,1831,1890,1137,806,1970,1751,1701,1143,2455,1890,1137,806,1172,1831,2920,2925,1751,1701,1143,1970,1137,806,1751,1701,1143,1970,1137,806,1970,1751,1701,1143,1831,1172,1137,806,1970,1751,1143,1831,1172,1701,1970,1751,1831,1890,2564,1330,2514,1970,1751,NA,67
19,1261,1775,934,1892,2340,1506,558,1428,1276,1864,2433,1367,395,2454,1295,NA,NA,NA,NA,NA,1261,558,1428,1892,1276,2433,1775,1506,1864,2340,1261,558,1428,1892,1276,2433,1775,1506,1864,2340,1428,558,1892,1276,1775,1261,1864,2340,1506,1367,1892,2454,2433,1428,1276,1864,1775,395,1295,2340,1367,1892,2454,1775,1276,1864,1367,1892,2454,2433,1276,1864,558,1428,1276,1864,1775,1506,1892,2340,558,1428,1276,1775,1506,1892,558,1261,1775,1506,2433,2357,566,1428,1506,NA,67
20,687,2865,2188,774,737,2470,2754,2474,632,605,2718,645,2554,2547,2251,NA,NA,NA,NA,NA,2188,645,2554,737,2251,687,2754,2718,2547,774,2188,645,2554,2251,737,687,2754,2718,2547,774,2188,645,2251,737,2554,2754,2547,774,2188,645,774,737,2754,687,2547,2251,NA,NA,NA,NA,2188,774,737,645,2547,2251,2188,774,737,645,2547,2251,2188,645,2547,2251,2554,687,774,737,645,2188,2251,2554,687,737,645,2554,2188,687,2718,764,1097,645,2188,NA,67
21,1014,929,1316,2166,2488,1402,2620,2792,1370,823,1882,452,801,76,111,NA,NA,NA,NA,NA,1014,929,1316,2166,1402,2792,2620,452,1370,2488,1014,929,1402,1316,2166,452,2620,2792,2488,1370,2620,1014,1402,2166,929,1316,1370,2488,929,1014,2166,2488,2620,1402,823,1370,452,1316,76,111,1014,1370,2488,1402,2166,823,1014,1370,2488,2620,2166,823,929,1402,1014,2166,2620,1316,1370,2488,1014,1402,2166,929,1316,1370,1014,1402,1316,929,2620,2921,563,1402,1014,NA,67
0,1170,1867,150,2553,1130,2154,1676,299,1837,1968,750,1043,3079,536,1956,NA,NA,NA,NA,NA,2154,1676,299,2553,1837,1170,1867,150,1968,750,2154,1676,299,2553,1837,1170,1867,150,1968,750,2154,1676,2553,1837,299,1867,1968,1170,150,1676,1837,1968,2154,1867,2553,1130,750,1043,536,1956,1676,1837,1968,1867,2553,1130,1676,1837,1968,1867,2553,1130,1170,1676,1837,1968,299,1867,2553,1130,1170,1676,1837,299,1867,2553,2154,1676,1867,299,1170,2789,2522,2154,1676,NA,68
1,1464,1917,1269,2463,877,157,1282,1082,1969,1466,768,2668,3073,2331,703,NA,NA,NA,NA,NA,1464,1282,1269,157,1969,3073,1917,768,877,2331,1464,1282,1269,157,1969,3073,1917,768,877,2331,1464,1282,157,1969,768,1269,3073,877,1082,1917,2331,1466,1282,2668,2463,877,157,1464,1969,703,1917,2331,1466,1082,2463,877,1917,2331,1466,1082,2463,877,1282,1917,2331,877,157,1464,2463,1466,1282,1917,2331,157,1464,877,1082,1917,1282,157,1464,135,2179,1464,1282,NA,68
2,1196,2728,86,3028,2949,3048,3011,1286,2974,968,179,922,2891,810,2809,NA,NA,NA,NA,NA,3011,2728,86,2949,968,179,1286,1196,3028,2974,3011,2728,86,2949,968,179,1286,1196,3028,2974,3011,2728,2949,968,1196,86,3028,2974,2728,179,2974,3028,3011,3048,968,2949,922,2891,810,2809,2728,2974,3028,3011,968,2949,2728,2974,3028,3011,968,2949,922,86,2974,968,2728,1196,3028,2949,2728,1286,968,3011,1196,2974,922,1196,86,179,2728,1052,1823,86,1196,NA,68
3,1564,3022,1270,1113,841,2585,1943,1057,2608,2930,2220,1239,1578,2841,2868,NA,NA,NA,NA,NA,2220,1578,1057,1113,2868,1239,NA,1943,2608,2841,2220,1578,1057,2608,2868,1239,NA,1943,2841,1113,2220,1943,2608,2868,1239,1057,2841,1113,1578,1564,1113,841,2585,1943,2841,2608,1057,3022,2930,2868,2585,2841,841,2608,2868,1113,2585,2841,1113,2608,2868,841,1578,2220,1113,841,1564,1270,2841,2868,1578,2220,1113,1564,1270,2841,2220,1943,1270,1057,1239,2312,99,1270,1578,NA,68
