Game.Id,PlayerId,TeamId,Game.Rating,SA,GA,SV,SV.,TOI,PIM,season
13,2522,21,0,0,0,0,.00nan,0,0,66
14,67,6,0,0,0,0,.00nan,0,0,66
14,565,6,87,15,0,15,1.000,3600000,0,66
14,663,5,0,0,0,0,.00nan,0,0,66
14,1306,5,85,49,5,44,.898,3600000,0,66
15,566,19,0,0,0,0,.00nan,0,0,66
15,834,0,98,37,2,35,.946,3900000,0,66
15,991,0,0,0,0,0,.00nan,0,0,66
15,2357,19,97,38,2,36,.947,3900000,0,66
16,198,2,88,57,6,51,.895,3600000,0,66
16,1823,2,0,0,0,0,.00nan,0,0,66
16,2571,11,0,0,0,0,.00nan,0,0,66
16,2575,11,57,21,3,18,.857,3600000,0,66
17,764,20,68,41,5,36,.878,3600000,0,66
17,1097,20,0,0,0,0,.00nan,0,0,66
17,1330,18,84,25,1,24,.960,3600000,0,66
17,2514,18,0,0,0,0,.00nan,0,0,66
18,595,15,0,0,0,0,.00nan,0,0,66
18,1095,12,0,0,0,0,.00nan,0,0,66
18,1268,12,72,30,3,27,.900,3900000,0,66
18,2249,15,96,48,3,45,.938,3900000,0,66
19,67,6,0,0,0,0,.00nan,0,0,66
19,563,21,59,36,5,31,.861,3600000,0,66
19,565,6,72,35,4,31,.886,3600000,0,66
19,2522,21,0,0,0,0,.00nan,0,0,66
20,849,13,68,27,3,24,.889,3600000,0,66
20,1739,10,0,0,0,0,.00nan,0,0,66
20,1912,10,77,46,5,41,.891,3480850,0,66
20,2259,13,0,0,0,0,.00nan,0,0,66
21,36,4,35,23,5,18,.783,3600000,0,66
21,232,7,100,43,1,42,.977,3600000,0,66
21,432,4,0,0,0,0,.00nan,0,0,66
21,2501,7,0,0,0,0,.00nan,0,0,66
22,465,8,0,0,0,0,.00nan,0,0,66
22,566,19,0,0,0,0,.00nan,0,0,66
22,2357,19,63,31,4,27,.871,3561400,0,66
22,2443,8,70,29,3,26,.897,3600000,0,66
23,99,3,81,28,2,26,.929,3600000,0,66
23,198,2,84,40,3,37,.925,3512650,0,66
23,1823,2,0,0,0,0,.00nan,0,0,66
23,2279,3,0,0,0,0,.00nan,0,0,66
24,834,0,81,28,2,26,.929,3600000,0,66
24,991,0,0,0,0,0,.00nan,0,0,66
24,2571,11,52,32,5,27,.844,3600000,0,66
24,2575,11,0,0,0,0,.00nan,0,0,66
25,135,1,55,33,5,28,.848,3562200,0,66
25,849,13,68,34,4,30,.882,3600000,0,66
25,2179,1,0,0,0,0,.00nan,0,0,66
25,2259,13,0,0,0,0,.00nan,0,0,66
26,36,4,70,29,3,26,.897,3600000,0,66
26,432,4,0,0,0,0,.00nan,0,0,66
26,764,20,0,0,0,0,.00nan,0,0,66
26,1097,20,61,31,4,27,.871,3600000,0,66
27,465,8,70,41,5,36,.878,3600000,0,66
27,1330,18,0,0,0,0,.00nan,0,0,66
27,2443,8,0,0,0,0,.00nan,0,0,66
27,2514,18,59,11,1,10,.909,3600000,0,66
28,663,5,0,0,0,0,.00nan,0,0,66
28,1306,5,93,38,3,35,.921,3600000,0,66
28,1739,10,0,0,0,0,.00nan,0,0,66
28,1912,10,56,40,6,34,.850,3600000,0,66
29,67,6,0,0,0,0,.00nan,0,0,66
29,232,7,72,42,5,37,.881,3600000,0,66
29,565,6,73,19,1,18,.947,3600000,0,66
29,2501,7,0,0,0,0,.00nan,0,0,66
30,663,5,0,0,0,0,.00nan,0,0,66
30,834,0,69,16,1,15,.938,3600000,0,66
30,991,0,0,0,0,0,.00nan,0,0,66
30,1306,5,85,37,3,34,.919,3562500,0,66
31,135,1,70,30,3,27,.900,3535000,0,66
31,741,14,0,0,0,0,.00nan,0,0,66
31,1413,14,87,31,2,29,.935,3600000,0,66
31,2179,1,0,0,0,0,.00nan,0,0,66
32,566,19,0,0,0,0,.00nan,0,0,66
32,2357,19,64,26,3,23,.885,3888350,0,66
32,2650,9,94,56,4,52,.929,3888350,0,66
32,2709,9,0,0,0,0,.00nan,0,0,66
33,2571,11,0,0,0,0,.00nan,0,0,66
33,2575,11,82,23,1,22,.957,3600000,0,66
33,2650,9,37,18,4,14,.778,1047400,0,66
33,2709,9,57,29,4,25,.862,2552600,0,66
34,741,14,72,24,2,22,.917,3600000,0,66
34,1413,14,0,0,0,0,.00nan,0,0,66
34,1739,10,0,0,0,0,.00nan,0,0,66
34,1912,10,77,58,7,51,.879,3600000,0,66
35,99,3,82,49,5,44,.898,3900000,0,66
35,198,2,79,44,5,39,.886,3900000,0,66
35,1823,2,0,0,0,0,.00nan,0,0,66
35,2279,3,0,0,0,0,.00nan,0,0,66
36,232,7,0,0,0,0,.00nan,0,0,66
36,595,15,98,37,2,35,.946,3600000,0,66
36,2249,15,0,0,0,0,.00nan,0,0,66
36,2501,7,53,27,4,23,.852,3482000,0,66
37,67,6,0,0,0,0,.00nan,0,0,66
37,565,6,81,34,3,31,.912,3600000,0,66
37,764,20,71,36,4,32,.889,3533800,0,66
37,1097,20,0,0,0,0,.00nan,0,0,66
38,849,13,89,34,2,32,.941,3529850,0,66
38,1095,12,0,0,0,0,.00nan,0,0,66
38,1268,12,100,22,0,22,1.000,3600000,0,66
38,2259,13,0,0,0,0,.00nan,0,0,66
39,36,4,73,35,4,31,.886,3600000,0,66
39,432,4,0,0,0,0,.00nan,0,0,66
39,566,19,0,0,0,0,.00nan,0,0,66
39,2357,19,91,29,1,28,.966,3600000,0,66
40,563,21,98,51,4,47,.922,3567900,0,66
40,1330,18,68,27,3,24,.889,3600000,0,66
40,2514,18,0,0,0,0,.00nan,0,0,66
40,2522,21,0,0,0,0,.00nan,0,0,66
41,563,21,84,30,2,28,.933,3600000,0,66
41,764,20,0,0,0,0,.00nan,0,0,66
41,1097,20,50,31,5,26,.839,3600000,0,66
41,2522,21,0,0,0,0,.00nan,0,0,66
42,232,7,72,42,5,37,.881,3551200,0,66
42,566,19,0,0,0,0,.00nan,0,0,66
42,2357,19,52,23,4,19,.826,3600000,0,66
42,2501,7,0,0,0,0,.00nan,0,0,66
43,99,3,47,34,6,28,.824,3600000,0,66
43,849,13,60,11,1,10,.909,3600000,0,66
43,2259,13,0,0,0,0,.00nan,0,0,66
43,2279,3,0,0,0,0,.00nan,0,0,66
44,135,1,0,0,0,0,.00nan,0,0,66
44,2179,1,94,19,0,19,1.000,3600000,0,66
44,2650,9,69,56,7,49,.875,3600000,0,66
44,2709,9,0,0,0,0,.00nan,0,0,66
45,198,2,73,30,3,27,.900,3600000,0,66
45,1739,10,0,0,0,0,.00nan,0,0,66
45,1823,2,0,0,0,0,.00nan,0,0,66
45,1912,10,84,44,4,40,.909,3600000,0,66
46,741,14,0,0,0,0,.00nan,0,0,66
46,1413,14,72,36,4,32,.889,3600000,0,66
46,2571,11,0,0,0,0,.00nan,0,0,66
46,2575,11,55,33,5,28,.848,3596300,0,66
47,465,8,75,25,2,23,.920,3600000,0,66
47,595,15,26,24,6,18,.750,2416150,0,66
47,2249,15,75,14,0,14,1.000,1183850,0,66
47,2443,8,0,0,0,0,.00nan,0,0,66
48,67,6,0,0,0,0,.00nan,0,0,66
48,565,6,55,34,5,29,.853,3600000,0,66
48,834,0,82,29,2,27,.931,3600000,0,66
48,991,0,0,0,0,0,.00nan,0,0,66
49,36,4,0,0,0,0,.00nan,0,0,66
49,432,4,66,26,3,23,.885,3600000,0,66
49,663,5,0,0,0,0,.00nan,0,0,66
49,1306,5,54,44,7,37,.841,3600000,0,66
50,741,14,96,49,3,46,.939,3900000,0,66
50,1413,14,0,0,0,0,.00nan,0,0,66
50,2571,11,79,33,3,30,.909,3900000,0,66
50,2575,11,0,0,0,0,.00nan,0,0,66
51,99,3,59,23,3,20,.870,3600000,0,66
51,198,2,89,46,4,42,.913,3532100,0,66
51,1823,2,0,0,0,0,.00nan,0,0,66
51,2279,3,0,0,0,0,.00nan,0,0,66
52,465,8,90,40,3,37,.925,3571900,0,66
52,1095,12,78,27,2,25,.926,3600000,0,66
52,1268,12,0,0,0,0,.00nan,0,0,66
52,2443,8,0,0,0,0,.00nan,0,0,66
53,232,7,58,39,6,33,.846,2993900,0,66
53,834,0,72,30,3,27,.900,3600000,0,66
53,991,0,0,0,0,0,.00nan,0,0,66
53,2501,7,55,10,1,9,.900,606100,0,66
54,36,4,70,17,1,16,.941,3600000,0,66
54,432,4,0,0,0,0,.00nan,0,0,66
54,1739,10,0,0,0,0,.00nan,0,0,66
54,1912,10,73,42,5,37,.881,3600000,0,66
55,135,1,68,28,3,25,.893,3600000,0,66
55,595,15,72,48,6,42,.875,3283000,0,66
55,2179,1,0,0,0,0,.00nan,0,0,66
55,2249,15,53,3,0,3,1.000,317000,0,66
56,1330,18,0,0,0,0,.00nan,0,0,66
56,2514,18,53,19,3,16,.842,3600000,0,66
56,2650,9,74,55,7,48,.873,2540600,0,66
56,2709,9,74,19,1,18,.947,1059400,0,66
57,663,5,0,0,0,0,.00nan,0,0,66
57,764,20,90,34,2,32,.941,3600000,0,66
57,1097,20,0,0,0,0,.00nan,0,0,66
57,1306,5,66,39,5,34,.872,3600000,0,66
58,232,7,0,0,0,0,.00nan,0,0,66
58,992,7,59,28,4,24,.857,3600000,0,66
58,2571,11,0,0,0,0,.00nan,0,0,66
58,2575,11,50,31,5,26,.839,3581350,0,66
59,465,8,0,0,0,0,.00nan,0,0,66
59,663,5,0,0,0,0,.00nan,0,0,66
59,1306,5,60,40,6,34,.850,3600000,0,66
59,2443,8,96,31,1,30,.968,3600000,0,66
60,741,14,0,0,0,0,.00nan,0,0,66
60,849,13,89,35,2,33,.943,3900000,0,66
60,1413,14,100,43,2,41,.953,3900000,0,66
60,2259,13,0,0,0,0,.00nan,0,0,66
61,595,15,65,24,3,21,.875,3600000,0,66
61,2249,15,0,0,0,0,.00nan,0,0,66
61,2650,9,85,71,8,63,.887,3600000,0,66
61,2709,9,0,0,0,0,.00nan,0,0,66
62,67,6,0,0,0,0,.00nan,0,0,66
62,565,6,67,20,2,18,.900,3600000,0,66
62,1739,10,1,18,8,10,.556,2203150,0,66
62,1912,10,32,27,6,21,.778,1396850,0,66
63,198,2,74,39,4,35,.897,3900000,0,66
63,563,21,0,0,0,0,.00nan,0,0,66
63,1823,2,0,0,0,0,.00nan,0,0,66
63,2522,21,86,39,4,35,.897,3900000,0,66
64,135,1,100,22,0,22,1.000,3600000,0,66
64,1095,12,0,0,0,0,.00nan,0,0,66
64,1268,12,54,38,6,32,.842,3600000,0,66
64,2179,1,0,0,0,0,.00nan,0,0,66
65,764,20,95,43,3,40,.930,3900000,0,66
65,1095,12,73,30,3,27,.900,3900000,0,66
65,1097,20,0,0,0,0,.00nan,0,0,66
65,1268,12,0,0,0,0,.00nan,0,0,66
66,67,6,0,0,0,0,.00nan,0,0,66
66,565,6,91,34,2,32,.941,3600000,0,66
66,741,14,59,22,3,19,.864,3591500,0,66
66,1413,14,0,0,0,0,.00nan,0,0,66
67,99,3,100,42,2,40,.952,3900000,0,66
67,834,0,78,26,2,24,.923,3900000,0,66
67,991,0,0,0,0,0,.00nan,0,0,66
67,2279,3,0,0,0,0,.00nan,0,0,66
68,566,19,0,0,0,0,.00nan,0,0,66
68,849,13,69,16,1,15,.938,3600000,0,66
68,2259,13,0,0,0,0,.00nan,0,0,66
68,2357,19,74,36,4,32,.889,3600000,0,66
69,563,21,56,34,5,29,.853,3600000,0,66
69,663,5,0,0,0,0,.00nan,0,0,66
69,1306,5,81,38,4,34,.895,3600000,0,66
69,2522,21,0,0,0,0,.00nan,0,0,66
70,36,4,88,44,4,40,.909,3600000,0,66
70,432,4,0,0,0,0,.00nan,0,0,66
70,1330,18,51,31,5,26,.839,3577550,0,66
70,2514,18,0,0,0,0,.00nan,0,0,66
71,99,3,91,28,1,27,.964,3600000,0,66
71,2279,3,0,0,0,0,.00nan,0,0,66
71,2571,11,0,0,0,0,.00nan,0,0,66
71,2575,11,95,34,2,32,.941,3578150,0,66
72,135,1,0,0,0,0,.00nan,0,0,66
72,1739,10,0,0,0,0,.00nan,0,0,66
72,1912,10,88,51,5,46,.902,3600000,0,66
72,2179,1,77,20,1,19,.950,3600000,0,66
73,232,7,95,43,3,40,.930,3600000,0,66
73,764,20,69,41,5,36,.878,3556100,0,66
73,992,7,0,0,0,0,.00nan,0,0,66
73,1097,20,0,0,0,0,.00nan,0,0,66
74,67,6,0,0,0,0,.00nan,0,0,66
74,565,6,31,31,7,24,.774,3600000,0,66
74,834,0,51,23,4,19,.826,3600000,0,66
74,991,0,0,0,0,0,.00nan,0,0,66
75,198,2,100,48,2,46,.958,3600000,0,66
75,465,8,17,29,8,21,.724,3600000,0,66
75,1823,2,0,0,0,0,.00nan,0,0,66
75,2443,8,0,0,0,0,.00nan,0,0,66
76,2571,11,0,0,0,0,.00nan,0,0,66
76,2575,11,78,21,1,20,.952,3600000,0,66
76,2650,9,30,26,6,20,.769,2250900,0,66
76,2709,9,56,22,3,19,.864,1349100,0,66
77,36,4,0,0,0,0,.00nan,0,0,66
77,432,4,83,41,4,37,.902,3600000,0,66
77,1095,12,0,0,0,0,.00nan,0,0,66
77,1268,12,37,35,7,28,.800,3588100,0,66
78,595,15,75,36,4,32,.889,3581050,0,66
78,741,14,59,17,2,15,.882,3600000,0,66
78,1413,14,0,0,0,0,.00nan,0,0,66
78,2249,15,0,0,0,0,.00nan,0,0,66
79,67,6,0,0,0,0,.00nan,0,0,66
79,99,3,62,26,3,23,.885,3542700,0,66
79,565,6,84,30,2,28,.933,3600000,0,66
79,2279,3,0,0,0,0,.00nan,0,0,66
80,465,8,80,41,4,37,.902,3581800,0,66
80,849,13,0,0,0,0,.00nan,0,0,66
80,2259,13,70,23,2,21,.913,3600000,0,66
80,2443,8,0,0,0,0,.00nan,0,0,66
81,566,19,0,0,0,0,.00nan,0,0,66
81,1330,18,67,19,2,17,.895,3600000,0,66
81,2357,19,50,36,6,30,.833,3600000,0,66
81,2514,18,0,0,0,0,.00nan,0,0,66
82,595,15,0,0,0,0,.00nan,0,0,66
82,741,14,0,0,0,0,.00nan,0,0,66
82,1413,14,79,22,1,21,.955,3600000,0,66
82,2249,15,79,39,4,35,.897,3600000,0,66
83,232,7,0,0,0,0,.00nan,0,0,66
83,663,5,0,0,0,0,.00nan,0,0,66
83,992,7,82,42,4,38,.905,3534150,0,66
83,1306,5,96,36,2,34,.944,3600000,0,66
84,198,2,33,27,6,21,.778,3600000,0,66
84,764,20,100,41,0,41,1.000,3600000,0,66
84,1097,20,0,0,0,0,.00nan,0,0,66
84,1823,2,0,0,0,0,.00nan,0,0,66
85,1095,12,68,28,3,25,.893,3600000,0,66
85,1268,12,0,0,0,0,.00nan,0,0,66
85,2650,9,48,40,7,33,.825,2430500,0,66
85,2709,9,71,24,2,22,.917,1169500,0,66
86,135,1,80,10,0,10,1.000,3600000,0,66
86,1739,10,71,30,3,27,.900,1887400,0,66
86,1912,10,50,29,5,24,.828,1712600,0,66
86,2179,1,0,0,0,0,.00nan,0,0,66
87,1330,18,0,0,0,0,.00nan,0,0,66
87,1739,10,0,0,0,0,.00nan,0,0,66
87,1912,10,94,54,5,49,.907,3600000,0,66
87,2514,18,84,12,0,12,1.000,3600000,0,66
88,135,1,69,16,1,15,.938,3600000,0,66
88,663,5,0,0,0,0,.00nan,0,0,66
88,1306,5,65,38,5,33,.868,3600000,0,66
88,2179,1,0,0,0,0,.00nan,0,0,66
89,563,21,49,30,5,25,.833,3600000,0,66
89,566,19,84,30,2,28,.933,3600000,0,66
89,2357,19,0,0,0,0,.00nan,0,0,66
89,2522,21,0,0,0,0,.00nan,0,0,66
90,36,4,58,22,3,19,.864,3600000,0,66
90,432,4,0,0,0,0,.00nan,0,0,66
90,563,21,62,43,6,37,.860,3600000,0,66
90,2522,21,0,0,0,0,.00nan,0,0,66
91,232,7,0,0,0,0,.00nan,0,0,66
91,992,7,72,18,1,17,.944,3600000,0,66
91,2650,9,28,35,8,27,.771,3005850,0,66
91,2709,9,64,20,2,18,.900,594150,0,66
92,67,6,0,0,0,0,.00nan,0,0,66
92,565,6,66,45,6,39,.867,3900000,0,66
92,849,13,35,33,6,27,.818,3900000,0,66
92,2259,13,0,0,0,0,.00nan,0,0,66
93,99,3,67,34,4,30,.882,3717000,0,66
93,834,0,55,31,5,26,.839,3717000,0,66
93,991,0,0,0,0,0,.00nan,0,0,66
93,2279,3,0,0,0,0,.00nan,0,0,66
94,741,14,0,0,0,0,.00nan,0,0,66
94,764,20,96,30,1,29,.967,3600000,0,66
94,1097,20,0,0,0,0,.00nan,0,0,66
94,1413,14,35,23,5,18,.783,3600000,0,66
95,595,15,0,0,0,0,.00nan,0,0,66
95,2249,15,80,41,3,38,.927,3600000,0,66
95,2571,11,0,0,0,0,.00nan,0,0,66
95,2575,11,89,33,2,31,.939,3600000,0,66
96,595,15,62,37,5,32,.865,3600000,0,66
96,741,14,100,31,0,31,1.000,3600000,0,66
96,1413,14,0,0,0,0,.00nan,0,0,66
96,2249,15,0,0,0,0,.00nan,0,0,66
97,135,1,37,24,5,19,.792,3600000,0,66
97,566,19,100,38,1,37,.974,3600000,0,66
97,2179,1,0,0,0,0,.00nan,0,0,66
97,2357,19,0,0,0,0,.00nan,0,0,66
98,1095,12,0,0,0,0,.00nan,0,0,66
98,1268,12,64,32,4,28,.875,3594200,0,66
98,1330,18,90,32,2,30,.938,3600000,0,66
98,2514,18,0,0,0,0,.00nan,0,0,66
99,232,7,74,37,4,33,.892,3600000,0,66
99,465,8,66,27,3,24,.889,3600000,0,66
99,992,7,0,0,0,0,.00nan,0,0,66
99,2443,8,0,0,0,0,.00nan,0,0,66
100,198,2,0,0,0,0,.00nan,0,0,66
100,663,5,0,0,0,0,.00nan,0,0,66
100,1306,5,44,38,7,31,.816,3600000,0,66
100,1823,2,84,37,3,34,.919,3600000,0,66
101,198,2,0,0,0,0,.00nan,0,0,66
101,1823,2,53,25,4,21,.840,3600000,0,66
101,2650,9,32,32,7,25,.781,1794650,0,66
101,2709,9,84,44,4,40,.909,1805350,0,66
102,1739,10,0,0,0,0,.00nan,0,0,66
102,1912,10,97,57,3,54,.947,3900000,0,66
102,2571,11,0,0,0,0,.00nan,0,0,66
102,2575,11,55,19,3,16,.842,3900000,0,66
103,563,21,71,42,5,37,.881,3544300,0,66
103,834,0,61,24,3,21,.875,3600000,0,66
103,991,0,0,0,0,0,.00nan,0,0,66
103,2522,21,0,0,0,0,.00nan,0,0,66
104,36,4,49,17,3,14,.824,3600000,0,66
104,432,4,0,0,0,0,.00nan,0,0,66
104,764,20,74,37,4,33,.892,3523850,0,66
104,1097,20,0,0,0,0,.00nan,0,0,66
105,99,3,0,0,0,0,.00nan,0,0,66
105,1095,12,50,1,0,1,1.000,438500,0,66
105,1268,12,12,20,7,13,.650,3109700,0,66
105,2279,3,94,59,6,53,.898,3600000,0,66
106,135,1,40,31,6,25,.806,3600000,0,66
106,566,19,0,0,0,0,.00nan,0,0,66
106,2179,1,0,0,0,0,.00nan,0,0,66
106,2357,19,79,26,2,24,.923,3600000,0,66
107,99,3,46,34,6,28,.824,3600000,0,66
107,834,0,76,20,1,19,.950,3600000,0,66
107,991,0,0,0,0,0,.00nan,0,0,66
107,2279,3,0,0,0,0,.00nan,0,0,66
108,36,4,76,50,5,45,.900,3565300,0,66
108,432,4,0,0,0,0,.00nan,0,0,66
108,849,13,68,28,3,25,.893,3600000,0,66
108,2259,13,0,0,0,0,.00nan,0,0,66
109,1095,12,75,19,1,18,.947,3600000,0,66
109,1268,12,0,0,0,0,.00nan,0,0,66
109,1739,10,71,36,4,32,.889,3332800,0,66
109,1912,10,26,6,3,3,.500,267200,0,66
110,135,1,90,28,1,27,.964,3600000,0,66
110,741,14,0,0,0,0,.00nan,0,0,66
110,1413,14,49,29,5,24,.828,3600000,0,66
110,2179,1,0,0,0,0,.00nan,0,0,66
111,566,19,94,30,1,29,.967,3600000,0,66
111,595,15,73,37,4,33,.892,3600000,0,66
111,2249,15,0,0,0,0,.00nan,0,0,66
111,2357,19,0,0,0,0,.00nan,0,0,66
112,232,7,100,27,0,27,1.000,3600000,0,66
112,563,21,82,29,2,27,.931,3510200,0,66
112,992,7,0,0,0,0,.00nan,0,0,66
112,2522,21,0,0,0,0,.00nan,0,0,66
113,67,6,0,0,0,0,.00nan,0,0,66
113,565,6,39,36,7,29,.806,3600000,0,66
113,764,20,28,24,6,18,.750,1979200,0,66
113,1097,20,67,21,2,19,.905,1609050,0,66
114,741,14,0,0,0,0,.00nan,0,0,66
114,1330,18,71,23,2,21,.913,3600000,0,66
114,1413,14,89,40,3,37,.925,3600000,0,66
114,2514,18,0,0,0,0,.00nan,0,0,66
115,849,13,28,24,6,18,.750,2505400,0,66
115,1095,12,0,0,0,0,.00nan,0,0,66
115,1268,12,56,42,6,36,.857,3900000,0,66
115,2259,13,72,14,0,14,1.000,1365000,0,66
116,36,4,0,0,0,0,.00nan,0,0,66
116,432,4,64,37,5,32,.865,3600000,0,66
116,2571,11,46,11,2,9,.818,1463500,0,66
116,2575,11,44,27,5,22,.815,2102000,0,66
117,465,8,69,41,5,36,.878,3600000,0,66
117,566,19,81,23,1,22,.957,3600000,0,66
117,2357,19,0,0,0,0,.00nan,0,0,66
117,2443,8,0,0,0,0,.00nan,0,0,66
118,198,2,0,0,0,0,.00nan,0,0,66
118,1823,2,77,31,3,28,.903,3600000,0,66
118,2650,9,85,47,5,42,.894,3041300,0,66
118,2709,9,40,13,3,10,.769,558700,0,66
119,67,6,34,16,4,12,.750,984150,0,66
119,232,7,75,37,4,33,.892,3600000,0,66
119,565,6,33,21,5,16,.762,2615850,0,66
119,2501,7,0,0,0,0,.00nan,0,0,66
120,595,15,0,0,0,0,.00nan,0,0,66
120,1739,10,0,0,0,0,.00nan,0,0,66
120,1912,10,73,50,6,44,.880,3600000,0,66
120,2249,15,100,24,0,24,1.000,3600000,0,66
121,135,1,53,26,4,22,.846,3515650,0,66
121,834,0,76,26,2,24,.923,3600000,0,66
121,991,0,0,0,0,0,.00nan,0,0,66
121,2179,1,0,0,0,0,.00nan,0,0,66
122,465,8,0,0,0,0,.00nan,0,0,66
122,764,20,0,0,0,0,.00nan,0,0,66
122,1097,20,52,26,4,22,.846,3900000,0,66
122,2443,8,85,40,4,36,.900,3900000,0,66
123,135,1,73,38,4,34,.895,3581650,0,66
123,2179,1,0,0,0,0,.00nan,0,0,66
123,2571,11,0,0,0,0,.00nan,0,0,66
123,2575,11,86,31,2,29,.935,3600000,0,66
124,232,7,44,32,6,26,.813,3246800,0,66
124,563,21,66,21,2,19,.905,3600000,0,66
124,2501,7,37,6,2,4,.667,353200,0,66
124,2522,21,0,0,0,0,.00nan,0,0,66
125,566,19,0,0,0,0,.00nan,0,0,66
125,1330,18,55,30,5,25,.833,3900000,0,66
125,2357,19,67,40,5,35,.875,3900000,0,66
125,2514,18,0,0,0,0,.00nan,0,0,66
126,1739,10,94,24,0,24,1.000,1807400,0,66
126,1912,10,57,35,5,30,.857,1792600,0,66
126,2650,9,0,0,0,0,.00nan,0,0,66
126,2709,9,90,33,2,31,.939,3600000,0,66
127,36,4,0,0,0,0,.00nan,0,0,66
127,432,4,54,30,5,25,.833,3621550,0,66
127,663,5,0,0,0,0,.00nan,0,0,66
127,1306,5,91,47,4,43,.915,3621550,0,66
128,198,2,0,0,0,0,.00nan,0,0,66
128,764,20,100,34,1,33,.971,3600000,0,66
128,1097,20,0,0,0,0,.00nan,0,0,66
128,1823,2,73,37,4,33,.892,3600000,0,66
129,595,15,0,0,0,0,.00nan,0,0,66
129,1095,12,51,30,5,25,.833,3600000,0,66
129,1268,12,0,0,0,0,.00nan,0,0,66
129,2249,15,54,42,7,35,.833,3560400,0,66
130,663,5,0,0,0,0,.00nan,0,0,66
130,1306,5,93,41,3,38,.927,3600000,0,66
130,2650,9,0,0,0,0,.00nan,0,0,66
130,2709,9,59,39,6,33,.846,3540200,0,66
131,36,4,54,26,4,22,.846,3543250,0,66
131,232,7,100,53,2,51,.962,3600000,0,66
131,432,4,0,0,0,0,.00nan,0,0,66
131,2501,7,0,0,0,0,.00nan,0,0,66
132,99,3,95,37,2,35,.946,3600000,0,66
132,198,2,0,0,0,0,.00nan,0,0,66
132,1823,2,75,37,4,33,.892,3580200,0,66
132,2279,3,0,0,0,0,.00nan,0,0,66
133,67,6,0,0,0,0,.00nan,0,0,66
133,563,21,67,32,4,28,.875,3600000,0,66
133,565,6,100,35,1,34,.971,3600000,0,66
133,2522,21,0,0,0,0,.00nan,0,0,66
134,465,8,0,0,0,0,.00nan,0,0,66
134,741,14,0,0,0,0,.00nan,0,0,66
134,1413,14,81,23,1,22,.957,3600000,0,66
134,2443,8,87,32,2,30,.938,3600000,0,66
135,135,1,0,0,0,0,.00nan,0,0,66
135,465,8,91,27,1,26,.963,3900000,0,66
135,2179,1,88,29,1,28,.966,3900000,0,66
135,2443,8,0,0,0,0,.00nan,0,0,66
