name_fix,PlayerID,seasons
Gottlieb-Odilo-Dankward McZehrl,2000350,"53, 54, 55, 56, 57, 58"
J??rg??tr??d DuB?lk,2000404,"57, 58, 59"
Leopold Lockhart,2000404,"48, 49, 50, 51, 52, 53, 54, 55, 56"
Vince Reaper,2000410,"48, 49, 50, 51, 52, 53, 54"
Vince Rieper,2000410,"43, 44, 45, 46, 47"
Kyle Sutton,2000439,"59, 60, 61, 62, 63, 64, 65, 66"
Thomas Bathory,2000439,"48, 49, 50, 51, 52, 53, 54, 55"
DeMaricus Smyth,2000478,"53, 54, 55, 56, 57, 58, 59"
Demaricus Smyth,2000478,"38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52"
Bjorn Lepp?nen,2000500,60
Bjorn Leppanen,2000500,"49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 63, 64"
Victor Fedorov,2000536,"56, 61"
Viktor Fedorov,2000536,"57, 58, 59, 60"
Denver Wolfe,2000546,"53, 54, 55, 57"
Patrick Shepherd,2000546,56
 Joseph Weston,2000623,"55, 56, 57, 58, 59, 60"
Joseph Weston,2000623,"54, 61, 62, 63, 64, 65, 66"
Raivo Helminen,2000649,"60, 61, 62, 63"
Ravio Helminen,2000649,"58, 59"
Daniel Laforest,2000725,"56, 57, 58, 59, 60"
Mattias Birdstrom,2000725,"54, 55"
Jesse Sepp?nen,2000768,56
Kalevi Karhunen,2000768,"45, 46, 47, 48, 51, 54"
Asclepius Perseus Flitter,2000778,"54, 56, 57"
Asclepius Perseus Flitterwind,2000778,"55, 58, 59, 60, 61, 62, 63, 64"
Chris de Siren,2000892,52
Chris de Siren ,2000892,"53, 54"
Chris Cerullo,2000895,52
Chris Cerullo ,2000895,53
Axel Meszaros,2000898,52
Axel Meszaros ,2000898,56
Axel Mezaros ,2000898,"53, 54, 55, 57, 58, 59"
Samat Beibitzhanov,2000930,52
Samat Beibitzhanov ,2000930,"53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63"
Theo Golury,2000938,52
Theo Golury ,2000938,"53, 54, 56"
Big Manious,2220238,"25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36"
Big Manius,2220238,"23, 24, 37, 38, 39, 40, 41, 42"
Cody Fletcher,2220603,"35, 36, 37"
Oisin Fletcher,2220603,"38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50"
Henry Morris IV,2221015,52
Herny Morris IV,2221015,51
